19-K_n-tot
>   19-K-39:0.932690
>   19-K-41:0.067310
7.986830e+03 7.60215517e-01
7.987070e+03 6.67761308e-01
7.987300e+03 6.17045170e-01
7.987770e+03 5.67008804e-01
7.988250e+03 5.44255933e-01
7.989190e+03 5.24810336e-01
7.990130e+03 5.16898285e-01
7.992020e+03 5.10488254e-01
7.993910e+03 5.07845556e-01
7.998390e+03 5.05563843e-01
8.001460e+03 5.03820227e-01
8.016570e+03 4.99215610e-01
8.046780e+03 4.91059580e-01
8.107210e+03 4.75046573e-01
8.228060e+03 4.43233061e-01
8.270980e+03 4.31987007e-01
8.288480e+03 4.26336648e-01
8.348910e+03 4.06885855e-01
8.407270e+03 3.88287251e-01
8.409340e+03 3.87524341e-01
8.424440e+03 3.82116596e-01
8.439550e+03 3.77078144e-01
8.447100e+03 3.75071938e-01
8.454650e+03 3.74520299e-01
8.458430e+03 3.76216876e-01
8.460320e+03 3.78582329e-01
8.462210e+03 3.83423440e-01
8.464100e+03 3.94346671e-01
8.465040e+03 4.05298535e-01
8.465980e+03 4.24968374e-01
8.466930e+03 4.65267106e-01
8.467400e+03 5.03284671e-01
8.467870e+03 5.68211377e-01
8.468340e+03 6.92453565e-01
8.468580e+03 8.01867468e-01
8.468820e+03 9.75696248e-01
8.469050e+03 1.27442884e+00
8.469290e+03 1.84515030e+00
8.469410e+03 2.33989522e+00
8.469520e+03 3.10017448e+00
8.469640e+03 4.31198496e+00
8.469760e+03 6.26118186e+00
8.469900e+03 9.80067506e+00
8.470050e+03 1.21623899e+01
8.470190e+03 9.80467647e+00
8.470340e+03 6.26534803e+00
8.470430e+03 4.64185525e+00
8.470520e+03 3.53726104e+00
8.470710e+03 2.24316696e+00
8.470900e+03 1.58284247e+00
8.471080e+03 1.21298389e+00
8.471270e+03 9.85784991e-01
8.471460e+03 8.37949143e-01
8.471830e+03 6.64871180e-01
8.472200e+03 5.71171079e-01
8.472580e+03 5.15187830e-01
8.473320e+03 4.54277693e-01
8.474070e+03 4.23624454e-01
8.474820e+03 4.06010483e-01
8.476310e+03 3.87448705e-01
8.477810e+03 3.78215165e-01
8.479300e+03 3.72827949e-01
8.482290e+03 3.66804011e-01
8.488260e+03 3.60985900e-01
8.494240e+03 3.57479645e-01
8.506190e+03 3.52114447e-01
8.518140e+03 3.47353691e-01
8.543560e+03 3.37766062e-01
8.565940e+03 3.28231188e-01
8.661540e+03 2.88118573e-01
8.679850e+03 2.80460814e-01
8.757150e+03 2.47222428e-01
8.816140e+03 2.21897429e-01
8.852750e+03 2.09280139e-01
8.884280e+03 1.98452818e-01
8.952430e+03 1.89392823e-01
8.986500e+03 1.96133488e-01
9.020570e+03 2.16432670e-01
9.054650e+03 2.58500768e-01
9.088720e+03 3.36284440e-01
9.122790e+03 4.74581048e-01
9.156870e+03 7.19958805e-01
9.190940e+03 1.16638079e+00
9.207970e+03 1.52188505e+00
9.225010e+03 2.02207746e+00
9.235170e+03 2.45166767e+00
9.242050e+03 2.74258508e+00
9.259080e+03 3.81143559e+00
9.276120e+03 5.45747200e+00
9.293160e+03 8.11615807e+00
9.310190e+03 1.26819530e+01
9.327230e+03 2.11585269e+01
9.335750e+03 2.81835987e+01
9.344260e+03 3.84313947e+01
9.352780e+03 5.36428742e+01
9.361300e+03 7.61528405e+01
9.374870e+03 1.29218083e+02
9.388440e+03 1.69142747e+02
9.402010e+03 1.41530386e+02
9.415580e+03 9.34408141e+01
9.424710e+03 6.97717969e+01
9.433840e+03 5.32388851e+01
9.442980e+03 4.17457644e+01
9.452110e+03 3.36065041e+01
9.470370e+03 2.32875004e+01
9.488630e+03 1.73021480e+01
9.506900e+03 1.35342664e+01
9.525160e+03 1.10053704e+01
9.561690e+03 7.90915626e+00
9.598210e+03 6.13849069e+00
9.634740e+03 5.01840441e+00
9.671260e+03 4.25725465e+00
9.707790e+03 3.71173347e+00
9.780840e+03 2.99024164e+00
9.853900e+03 2.54013461e+00
9.926950e+03 2.23531277e+00
1.000000e+04 2.01639169e+00
1.017480e+04 1.68196933e+00
1.026220e+04 1.57189474e+00
1.030600e+04 1.52586220e+00
1.032780e+04 1.50499149e+00
1.033870e+04 1.49616503e+00
1.034420e+04 1.49644304e+00
1.034690e+04 1.51383700e+00
1.034830e+04 1.58507999e+00
1.034900e+04 1.82372481e+00
1.034930e+04 2.49204281e+00
1.034950e+04 3.89935954e+00
1.034960e+04 6.10177632e+00
1.034970e+04 1.51271665e+01
1.034980e+04 2.03568062e+01
1.034990e+04 9.69391463e+00
1.035000e+04 5.12196520e+00
1.035010e+04 3.27206724e+00
1.035030e+04 2.16347101e+00
1.035080e+04 1.69715207e+00
1.035160e+04 1.54246244e+00
1.035340e+04 1.49666066e+00
1.035690e+04 1.48174326e+00
1.036400e+04 1.47258583e+00
1.037810e+04 1.45978353e+00
1.040630e+04 1.43659461e+00
1.046270e+04 1.39456310e+00
1.046540e+04 1.39286768e+00
1.057560e+04 1.32373363e+00
1.069800e+04 1.26666393e+00
1.080130e+04 1.21855315e+00
1.081440e+04 1.21475084e+00
1.087260e+04 1.19798429e+00
1.090160e+04 1.19007739e+00
1.090890e+04 1.18847251e+00
1.091620e+04 1.18778095e+00
1.091980e+04 1.18867995e+00
1.092340e+04 1.19296598e+00
1.092530e+04 1.19957114e+00
1.092710e+04 1.21823536e+00
1.092800e+04 1.24277749e+00
1.092850e+04 1.26620492e+00
1.092890e+04 1.30530661e+00
1.092940e+04 1.38171230e+00
1.092960e+04 1.44936312e+00
1.092980e+04 1.55144294e+00
1.093000e+04 1.73356161e+00
1.093030e+04 2.06160693e+00
1.093040e+04 2.37009971e+00
1.093050e+04 2.80329749e+00
1.093060e+04 3.47755887e+00
1.093070e+04 4.60707058e+00
1.093090e+04 6.69603561e+00
1.093100e+04 8.03992255e+00
1.093110e+04 6.69555403e+00
1.093130e+04 4.60353924e+00
1.093140e+04 3.25731970e+00
1.093160e+04 2.53909273e+00
1.093170e+04 2.12198505e+00
1.093190e+04 1.86542978e+00
1.093200e+04 1.68915617e+00
1.093210e+04 1.57846055e+00
1.093240e+04 1.44201387e+00
1.093270e+04 1.36266953e+00
1.093300e+04 1.31566893e+00
1.093360e+04 1.26235318e+00
1.093410e+04 1.23505656e+00
1.093470e+04 1.21920078e+00
1.093580e+04 1.20252673e+00
1.093810e+04 1.18936842e+00
1.094040e+04 1.18412911e+00
1.094490e+04 1.17947396e+00
1.094950e+04 1.17694855e+00
1.096760e+04 1.17054523e+00
1.100390e+04 1.15972952e+00
1.107660e+04 1.13856844e+00
1.114920e+04 1.11751993e+00
1.118560e+04 1.10707824e+00
1.120370e+04 1.10229324e+00
1.121280e+04 1.10141807e+00
1.121510e+04 1.10249169e+00
1.121730e+04 1.10653289e+00
1.121850e+04 1.11229004e+00
1.121960e+04 1.12734856e+00
1.122020e+04 1.14588543e+00
1.122070e+04 1.18869070e+00
1.122100e+04 1.23537669e+00
1.122130e+04 1.32245400e+00
1.122150e+04 1.39806152e+00
1.122160e+04 1.51449634e+00
1.122170e+04 1.70053563e+00
1.122190e+04 2.00339072e+00
1.122200e+04 2.54477566e+00
1.122220e+04 2.90875687e+00
1.122240e+04 2.54527313e+00
1.122250e+04 2.00312390e+00
1.122270e+04 1.73447305e+00
1.122280e+04 1.54616106e+00
1.122290e+04 1.42501895e+00
