Si-30(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.41346E+06 0.000137700
1.41380E+06 9.81788E-05
1.41415E+06 7.55258E-05
1.41449E+06 6.13070E-05
1.41517E+06 4.49940E-05
1.41654E+06 3.07805E-05
1.41791E+06 2.45321E-05
1.42064E+06 1.87154E-05
1.42338E+06 1.58427E-05
1.42885E+06 1.28519E-05
1.43433E+06 1.12848E-05
1.44527E+06 9.77443E-06
1.45622E+06 9.25991E-06
1.47811E+06 9.78042E-06
1.50000E+06 1.22461E-05
1.50000E+06 0.00120000
1.60000E+06 0.00120000
1.70000E+06 0.00120000
1.75000E+06 0.00120000
1.75075E+06 0.00120000
1.75234E+06 0.00120000
1.75393E+06 0.00120000
1.75553E+06 0.00120000
1.75713E+06 0.00120000
1.75873E+06 0.00120000
1.76034E+06 0.00120000
1.76194E+06 0.00120000
1.76355E+06 0.00120000
1.76516E+06 0.00120000
1.76677E+06 0.00120000
1.76839E+06 0.00120000
1.77001E+06 0.00120000
1.77162E+06 0.00120000
1.77325E+06 0.00120000
1.77487E+06 0.00120000
1.77650E+06 0.00120000
1.77812E+06 0.00120000
1.77975E+06 0.00120000
1.78139E+06 0.00120000
1.78237E+06 0.00120000
1.78269E+06 0.00120000
1.78302E+06 0.00120000
1.78335E+06 0.00120000
1.78368E+06 0.00120000
1.78400E+06 0.00120000
1.78433E+06 0.00120000
1.78466E+06 0.00120000
1.78499E+06 0.00120000
1.78531E+06 0.00120000
1.78564E+06 0.00120000
1.78597E+06 0.00120000
1.78630E+06 0.00120000
1.78663E+06 0.00120000
1.78695E+06 0.00120000
1.78728E+06 0.00120000
1.78761E+06 0.00120000
1.78794E+06 0.00120000
1.78860E+06 0.00120000
1.78958E+06 0.00120000
1.79057E+06 0.00120000
1.79156E+06 0.00120000
1.79255E+06 0.00120000
1.79354E+06 0.00120000
1.79453E+06 0.00120000
1.79552E+06 0.00120000
1.79651E+06 0.00120000
1.79751E+06 0.00120000
1.79850E+06 0.00120000
1.79950E+06 0.00120000
1.80049E+06 0.00120000
1.80149E+06 0.00120000
1.80215E+06 0.00120000
1.80249E+06 0.00120000
1.80282E+06 0.00120000
1.80315E+06 0.00120000
1.80348E+06 0.00120000
1.80382E+06 0.00120000
1.80415E+06 0.00120000
1.80448E+06 0.00120000
1.80482E+06 0.00120000
1.80515E+06 0.00120000
1.80548E+06 0.00120000
1.80582E+06 0.00120000
1.80615E+06 0.00120000
1.80648E+06 0.00120000
1.80682E+06 0.00120000
1.80715E+06 0.00120000
1.80748E+06 0.00120000
1.80782E+06 0.00120000
1.80815E+06 0.00120000
1.80849E+06 0.00120000
1.80932E+06 0.00120000
1.81066E+06 0.00120000
1.81200E+06 0.00120000
1.81334E+06 0.00120000
1.81469E+06 0.00120000
1.81603E+06 0.00120000
1.81738E+06 0.00120000
1.81872E+06 0.00120000
1.82007E+06 0.00120000
1.82142E+06 0.00120000
1.82278E+06 0.00120000
1.82413E+06 0.00120000
1.82548E+06 0.00120000
1.82701E+06 0.00120000
1.82871E+06 0.00120000
1.83041E+06 0.00120000
1.83211E+06 0.00120000
1.83382E+06 0.00120000
1.83518E+06 0.00120000
1.83621E+06 0.00120000
1.83724E+06 0.00120000
1.83826E+06 0.00120000
1.83929E+06 0.00120000
1.84032E+06 0.00120000
1.84135E+06 0.00120000
1.84238E+06 0.00120000
1.84341E+06 0.00120000
1.84444E+06 0.00120000
1.84548E+06 0.00120000
1.84651E+06 0.00120000
1.84755E+06 0.00120000
1.84858E+06 0.00120000
1.84962E+06 0.00120000
1.85066E+06 0.00120000
1.85170E+06 0.00120000
1.85274E+06 0.00120000
1.85378E+06 0.00120000
1.85482E+06 0.00120000
1.85586E+06 0.00120000
1.85690E+06 0.00120000
1.85795E+06 0.00120000
1.85899E+06 0.00120000
1.86004E+06 0.00120000
1.86108E+06 0.00120000
1.86213E+06 0.00120000
1.86353E+06 0.00120000
1.86528E+06 0.00120000
1.86703E+06 0.00120000
1.86878E+06 0.00120000
1.87054E+06 0.00120000
1.87230E+06 0.00120000
1.87406E+06 0.00120000
1.87582E+06 0.00120000
1.87759E+06 0.00120000
1.87936E+06 0.00120000
1.88113E+06 0.00120000
1.88291E+06 0.00120000
1.88468E+06 0.00120000
1.88646E+06 0.00120000
1.88824E+06 0.00120000
1.89003E+06 0.00120000
1.89182E+06 0.00120000
1.89361E+06 0.00120000
1.89540E+06 0.00120000
1.89719E+06 0.00120000
1.89899E+06 0.00120000
1.90079E+06 0.00120000
1.90223E+06 0.00120000
1.90331E+06 0.00120000
1.90440E+06 0.00120000
1.90548E+06 0.00120000
1.90656E+06 0.00120000
1.90765E+06 0.00120000
1.90874E+06 0.00120000
1.90983E+06 0.00120000
1.91091E+06 0.00120000
1.91200E+06 0.00120000
1.91309E+06 0.00120000
1.91437E+06 0.00120000
1.91583E+06 0.00120000
1.91728E+06 0.00120000
1.91874E+06 0.00120000
1.92021E+06 0.00120000
1.92167E+06 0.00120000
1.92314E+06 0.00120000
1.92460E+06 0.00120000
1.92570E+06 0.00120000
1.92644E+06 0.00120000
1.92717E+06 0.00120000
1.92791E+06 0.00120000
1.92865E+06 0.00120000
1.92938E+06 0.00120000
1.93012E+06 0.00120000
1.93086E+06 0.00120000
1.93159E+06 0.00120000
1.93233E+06 0.00120000
1.93307E+06 0.00120000
1.93381E+06 0.00120000
1.93510E+06 0.00120000
1.93696E+06 0.00120000
1.93881E+06 0.00120000
1.94067E+06 0.00120000
1.94253E+06 0.00120000
1.94439E+06 0.00120000
1.94625E+06 0.00120000
1.94812E+06 0.00120000
1.94999E+06 0.00120000
1.95186E+06 0.00120000
1.95374E+06 0.00120000
1.95562E+06 0.00120000
1.95750E+06 0.00120000
1.95938E+06 0.00120000
1.96108E+06 0.00120000
1.96259E+06 0.00120000
1.96410E+06 0.00120000
1.96562E+06 0.00120000
1.96713E+06 0.00120000
1.96865E+06 0.00120000
1.97017E+06 0.00120000
