K-41(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
33184.6 1.08592
33185.7 1.49075
33187.5 2.37848
33189.3 2.93025
33191.0 2.31186
33192.8 1.44280
33194.1 1.01073
33195.4 0.727225
33196.7 0.540581
33198.0 0.414372
33200.5 0.262874
33203.1 0.180410
33205.7 0.131162
33208.3 0.0995873
33213.4 0.0631244
33218.6 0.0436680
33223.8 0.0321233
33234.1 0.0197082
33244.4 0.0135185
33254.7 0.00999995
33275.3 0.00635177
33295.9 0.00459657
33316.6 0.00362207
33357.8 0.00263957
33399.1 0.00218880
33440.3 0.00195717
33522.8 0.00178394
33605.3 0.00183859
33687.8 0.00224223
33729.1 0.00285017
33749.7 0.00345933
33770.3 0.00456272
33790.9 0.00687727
33801.3 0.00912524
33811.6 0.0131022
33821.9 0.0211720
33827.0 0.0287423
33832.2 0.0415924
33837.4 0.0661193
33839.9 0.0876439
33842.5 0.121559
33845.1 0.179727
33847.7 0.290014
33849.0 0.384862
33850.2 0.529455
33851.5 0.757501
33852.8 1.11612
33854.4 1.78619
33856.0 2.22938
33857.7 1.78289
33859.3 1.11703
33860.9 0.685280
33862.5 0.444621
33864.2 0.306442
33865.8 0.222641
33867.4 0.168159
33869.0 0.131434
33872.3 0.0863830
33875.5 0.0610412
33878.8 0.0455324
33885.3 0.0283096
33891.8 0.0194775
33898.3 0.0143755
33911.3 0.00900664
33924.3 0.00639253
33937.3 0.00492752
33963.4 0.00343150
33989.4 0.00272355
34015.4 0.00233518
34067.4 0.00194960
34171.5 0.00168853
34275.6 0.00161890
34691.9 0.00169903
35108.2 0.00195420
35316.4 0.00216508
35420.5 0.00242597
35472.5 0.00311831
35498.5 0.00563751
35511.5 0.0151232
35514.8 0.0244380
35518.0 0.0492821
35519.7 0.0812676
35521.3 0.160572
35522.1 0.255370
35522.9 0.462856
35523.3 0.677283
35523.7 1.05999
35524.1 1.86692
35524.3 2.57789
35524.5 3.69735
35524.8 5.94031
35525.1 7.47228
35525.4 6.04164
35525.7 3.77661
35525.9 2.45939
35526.2 1.66002
35526.4 1.17559
35526.7 0.868725
35527.2 0.524137
35527.7 0.350964
35528.7 0.186135
35529.6 0.115717
35531.6 0.0575292
35533.6 0.0348426
35541.6 0.0110625
35557.5 0.00461739
35589.3 0.00297002
35652.9 0.00261806
35780.1 0.00268196
36034.5 0.00307916
36543.3 0.00441239
36797.8 0.00549374
37052.2 0.00704626
37306.6 0.00932028
37561.0 0.0126554
38338.0 0.0285240
38462.2 0.0351935
38524.3 0.0464005
38555.4 0.0589701
38586.4 0.0820892
38646.8 0.142004
38677.0 0.117793
38707.1 0.0808559
38732.6 0.0597203
38758.1 0.0465714
38809.1 0.0326756
38860.1 0.0259064
38911.1 0.0219374
39013.0 0.0172748
39115.0 0.0143884
39288.2 0.0111358
39374.8 0.0100336
39418.1 0.00992863
39439.7 0.0112902
39445.1 0.0128044
39450.5 0.0169151
39453.2 0.0221961
39455.9 0.0351873
39457.3 0.0503857
39458.7 0.0830321
39459.3 0.115708
39460.0 0.172902
39460.7 0.286905
39461.0 0.385660
39461.4 0.527700
39462.4 1.08202
39462.9 0.892977
39463.4 0.563869
39463.8 0.407096
39464.1 0.298881
39464.5 0.226148
39464.8 0.176262
39465.5 0.115596
39466.2 0.0825617
39467.6 0.0494991
39469.0 0.0344233
39471.8 0.0215529
39474.5 0.0163615
39480.1 0.0122686
39485.7 0.0106965
39507.9 0.00892895
39552.4 0.00809744
39641.4 0.00723604
39819.4 0.00599801
40175.3 0.00439008
40531.3 0.00345619
40887.2 0.00294222
41243.2 0.00279213
41599.1 0.00324231
41777.1 0.00404986
41866.1 0.00481913
41955.1 0.00608452
42044.0 0.00831809
