33-As_n-g
>  33-As-75:1.000000
9.292950e+02 2.29600000e+02
9.295900e+02 1.43410000e+02
9.298650e+02 9.10282000e+01
9.301400e+02 6.05618000e+01
9.304150e+02 4.24532000e+01
9.306900e+02 3.11440000e+01
9.312400e+02 1.86046000e+01
9.317900e+02 1.22825000e+01
9.323410e+02 8.68947000e+00
9.328910e+02 6.46349000e+00
9.339910e+02 3.97258000e+00
9.350910e+02 2.68732000e+00
9.361910e+02 1.94002000e+00
9.372910e+02 1.46779000e+00
9.383910e+02 1.15064000e+00
9.405920e+02 7.64378000e-01
9.427920e+02 5.47035000e-01
9.449920e+02 4.12699000e-01
9.471930e+02 3.23862000e-01
9.515930e+02 2.17258000e-01
9.559940e+02 1.58054000e-01
9.603940e+02 1.21723000e-01
9.647950e+02 9.77852000e-02
9.735960e+02 6.91086000e-02
9.823980e+02 5.31766000e-02
1.000000e+03 3.69913000e-02
1.027440e+03 2.72155000e-02
1.054870e+03 2.52763000e-02
1.068590e+03 2.75747000e-02
1.082310e+03 3.66366000e-02
1.089170e+03 4.99311000e-02
1.092600e+03 6.33098000e-02
1.096030e+03 8.77553000e-02
1.097740e+03 1.08363000e-01
1.099460e+03 1.39818000e-01
1.101170e+03 1.91311000e-01
1.102890e+03 2.84240000e-01
1.103740e+03 3.61841000e-01
1.104600e+03 4.79019000e-01
1.105460e+03 6.68596000e-01
1.106320e+03 1.00419000e+00
1.106750e+03 1.27917000e+00
1.107170e+03 1.68729000e+00
1.107600e+03 2.33031000e+00
1.108030e+03 3.42548000e+00
1.108460e+03 5.52920000e+00
1.108670e+03 7.38215000e+00
1.108890e+03 1.03328000e+01
1.109100e+03 1.54543000e+01
1.109210e+03 1.94966000e+01
1.109320e+03 2.52713000e+01
1.109420e+03 3.38430000e+01
1.109530e+03 4.71120000e+01
1.109640e+03 6.84658000e+01
1.109750e+03 1.03208000e+02
1.109870e+03 1.65369000e+02
1.110000e+03 2.06365000e+02
1.110130e+03 1.64822000e+02
1.110260e+03 1.03176000e+02
1.110350e+03 7.23627000e+01
1.110440e+03 5.22419000e+01
1.110530e+03 3.87960000e+01
1.110620e+03 2.97825000e+01
1.110800e+03 1.88713000e+01
1.110990e+03 1.29489000e+01
1.111170e+03 9.38619000e+00
1.111350e+03 7.11272000e+00
1.111720e+03 4.47338000e+00
1.112080e+03 3.06547000e+00
1.112450e+03 2.23302000e+00
1.112810e+03 1.69961000e+00
1.113180e+03 1.33769000e+00
1.113910e+03 8.92043000e-01
1.114640e+03 6.39353000e-01
1.115370e+03 4.82093000e-01
1.116100e+03 3.77909000e-01
1.117560e+03 2.52561000e-01
1.119020e+03 1.82988000e-01
1.120480e+03 1.40433000e-01
1.121940e+03 1.12538000e-01
1.124870e+03 7.94404000e-02
1.127790e+03 6.13475000e-02
1.133630e+03 4.33984000e-02
1.139470e+03 3.52873000e-02
1.145320e+03 3.11417000e-02
1.157000e+03 2.78175000e-02
1.180380e+03 2.87951000e-02
1.203750e+03 3.58718000e-02
1.227130e+03 5.29428000e-02
1.238820e+03 7.00192000e-02
1.250500e+03 1.00701000e-01
1.256350e+03 1.26138000e-01
1.262190e+03 1.64394000e-01
1.268030e+03 2.25902000e-01
1.273880e+03 3.34337000e-01
1.276800e+03 4.22792000e-01
1.279720e+03 5.53735000e-01
