11-Na_n-g
>  11-Na-23:1.000000
4.580000e+05 2.90129000e-04
4.593100e+05 2.46522000e-04
4.624000e+05 1.85637000e-04
4.654900e+05 1.54320000e-04
4.740950e+05 1.22824000e-04
4.827000e+05 1.21342000e-04
4.858100e+05 1.24520000e-04
4.903600e+05 1.32015000e-04
4.915000e+05 1.34403000e-04
4.936100e+05 1.39361000e-04
4.955600e+05 1.44571000e-04
4.977200e+05 1.51059000e-04
5.000000e+05 2.18373000e-04
5.001100e+05 2.78077000e-04
5.040100e+05 2.80819000e-04
5.078000e+05 2.83490000e-04
5.081700e+05 2.83751000e-04
5.083900e+05 2.83906000e-04
5.085200e+05 2.83997000e-04
5.086000e+05 2.84054000e-04
5.086700e+05 2.84103000e-04
5.088600e+05 2.84237000e-04
5.090100e+05 2.84343000e-04
5.092700e+05 2.84527000e-04
5.114000e+05 2.86031000e-04
5.194600e+05 2.91737000e-04
5.225600e+05 2.93938000e-04
5.269400e+05 2.97054000e-04
5.274100e+05 2.97389000e-04
5.298200e+05 2.99106000e-04
5.330900e+05 3.01440000e-04
5.367900e+05 3.04085000e-04
5.391300e+05 3.05761000e-04
5.410600e+05 3.07144000e-04
5.417700e+05 3.07653000e-04
5.437200e+05 3.09053000e-04
5.461500e+05 3.10799000e-04
5.485400e+05 3.12518000e-04
5.532200e+05 3.15890000e-04
5.581000e+05 3.19414000e-04
5.592600e+05 3.20253000e-04
5.629500e+05 3.22924000e-04
5.634000e+05 3.23250000e-04
5.636800e+05 3.23453000e-04
5.637900e+05 3.23533000e-04
5.639400e+05 3.23642000e-04
5.639900e+05 3.23678000e-04
5.640800e+05 3.23743000e-04
5.642800e+05 3.23888000e-04
5.644600e+05 3.24019000e-04
5.648000e+05 3.24265000e-04
5.658200e+05 3.25005000e-04
5.662600e+05 3.25324000e-04
5.699000e+05 3.27968000e-04
5.729100e+05 3.30158000e-04
5.745900e+05 3.31381000e-04
5.803100e+05 3.35554000e-04
5.834100e+05 3.37820000e-04
5.839700e+05 3.38230000e-04
5.875800e+05 3.40873000e-04
5.905600e+05 3.43058000e-04
5.924200e+05 3.44424000e-04
5.936000e+05 3.45291000e-04
5.963200e+05 3.47291000e-04
5.964600e+05 3.47394000e-04
5.975900e+05 3.48225000e-04
5.987900e+05 3.49109000e-04
5.989200e+05 3.49204000e-04
5.992600e+05 3.49455000e-04
5.995600e+05 3.49676000e-04
5.997400e+05 3.49808000e-04
5.999200e+05 3.49941000e-04
6.000000e+05 3.50000000e-04
6.001600e+05 3.50000000e-04
6.004000e+05 3.50000000e-04
6.007500e+05 3.50000000e-04
6.008700e+05 3.50000000e-04
6.014100e+05 3.50000000e-04
6.041200e+05 3.50000000e-04
6.053400e+05 3.50000000e-04
6.067200e+05 3.50000000e-04
6.073700e+05 3.50000000e-04
6.099700e+05 3.50000000e-04
6.114800e+05 3.50000000e-04
6.147000e+05 3.50000000e-04
6.158200e+05 3.50000000e-04
