32-Ge_n-tot
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
6.682460e+02 9.83338366e+00
6.683150e+02 8.69807104e+00
6.683850e+02 8.04441026e+00
6.684540e+02 7.63655139e+00
6.685240e+02 7.36533761e+00
6.686630e+02 7.03767321e+00
6.688020e+02 6.85351556e+00
6.689410e+02 6.73899166e+00
6.692190e+02 6.60800462e+00
6.694970e+02 6.53725832e+00
6.697750e+02 6.49383154e+00
6.700530e+02 6.46469887e+00
6.703310e+02 6.44387420e+00
6.708870e+02 6.41601520e+00
6.714430e+02 6.39803436e+00
6.720000e+02 6.38522372e+00
6.725560e+02 6.37543307e+00
6.736680e+02 6.36091796e+00
6.747800e+02 6.35008719e+00
6.770040e+02 6.33354375e+00
6.782750e+02 6.32592159e+00
6.792290e+02 6.32023308e+00
6.814530e+02 6.30849702e+00
6.859020e+02 6.28727262e+00
6.914730e+02 6.26312568e+00
6.947990e+02 6.24910600e+00
7.036960e+02 6.21385494e+00
7.079870e+02 6.19743893e+00
7.125940e+02 6.17992041e+00
7.154150e+02 6.16948859e+00
7.195210e+02 6.15443392e+00
7.214910e+02 6.14738625e+00
7.228430e+02 6.14268444e+00
7.259400e+02 6.13215331e+00
7.265570e+02 6.13011555e+00
7.281640e+02 6.12515136e+00
7.302710e+02 6.11893264e+00
7.303880e+02 6.11865520e+00
7.321280e+02 6.11509332e+00
7.326130e+02 6.11453319e+00
7.330570e+02 6.11427904e+00
7.337250e+02 6.11487765e+00
7.339850e+02 6.11535690e+00
7.348370e+02 6.12002387e+00
7.349140e+02 6.12055502e+00
7.353780e+02 6.12684839e+00
7.353930e+02 6.12721273e+00
7.358420e+02 6.13893957e+00
7.359490e+02 6.14341747e+00
7.360750e+02 6.14911237e+00
7.363070e+02 6.16429049e+00
7.365050e+02 6.18436609e+00
7.365390e+02 6.18804715e+00
7.367710e+02 6.22973381e+00
7.370030e+02 6.30950185e+00
7.370610e+02 6.34536006e+00
7.371190e+02 6.38181013e+00
7.372350e+02 6.50048865e+00
7.373390e+02 6.69266944e+00
7.373510e+02 6.71499866e+00
7.374090e+02 6.89421503e+00
7.374670e+02 7.16352503e+00
7.375250e+02 7.59331872e+00
7.375830e+02 8.32690156e+00
7.376170e+02 9.12228764e+00
7.376410e+02 9.68428786e+00
7.376990e+02 1.23247269e+01
7.377500e+02 1.60395878e+01
7.378000e+02 1.85169716e+01
7.378500e+02 1.60464654e+01
7.378960e+02 1.27013975e+01
7.379010e+02 1.23380348e+01
7.379330e+02 1.06746289e+01
7.379650e+02 9.52245184e+00
7.380290e+02 8.17107934e+00
7.380930e+02 7.47795785e+00
7.381570e+02 7.08853492e+00
7.381740e+02 7.02582936e+00
7.382210e+02 6.85747260e+00
7.382850e+02 6.71250881e+00
7.384130e+02 6.55308128e+00
7.384520e+02 6.53058446e+00
7.385410e+02 6.49516740e+00
7.385910e+02 6.49104642e+00
7.386690e+02 6.50488757e+00
7.387300e+02 6.52888723e+00
7.388690e+02 6.65951957e+00
7.389250e+02 6.75918796e+00
7.389380e+02 6.78398489e+00
7.390080e+02 6.98879866e+00
7.390770e+02 7.32549367e+00
7.391470e+02 7.91837318e+00
7.391810e+02 8.47709445e+00
7.392160e+02 9.05416942e+00
7.392510e+02 1.00052582e+01
7.392860e+02 1.13511009e+01
7.393430e+02 1.44717884e+01
7.394000e+02 1.65499381e+01
7.394360e+02 1.52307984e+01
7.394570e+02 1.44620468e+01
7.395140e+02 1.13343234e+01
7.395820e+02 9.06619947e+00
7.396500e+02 7.92147682e+00
7.397180e+02 7.31048116e+00
7.397860e+02 6.95621975e+00
7.398540e+02 6.73437485e+00
7.399220e+02 6.58704619e+00
7.399480e+02 6.55289950e+00
7.400570e+02 6.41190131e+00
7.401930e+02 6.31506024e+00
7.403290e+02 6.25548969e+00
7.404600e+02 6.22274459e+00
7.406000e+02 6.18889072e+00
7.408720e+02 6.15397982e+00
7.409720e+02 6.14601886e+00
