Pt-198(n,g) JEFF-3.2
Energy(eV) XS(b)
3800.89 5.39094
3801.15 6.42504
3801.41 7.78675
3801.67 9.61039
3801.93 12.1438
3802.19 15.7554
3802.45 21.1507
3802.71 29.4971
3802.97 43.0415
3803.23 65.1126
3803.53 104.232
3803.84 130.448
3803.99 122.842
3804.15 104.446
3804.45 65.2760
3804.64 48.5700
3804.82 36.7239
3805.18 22.4346
3805.55 14.8270
3805.91 10.4477
3806.28 7.71986
3806.65 5.92696
3807.38 3.79421
3808.11 2.63029
3808.84 1.92849
3810.30 1.16260
3811.76 0.776634
3813.22 0.555569
3814.69 0.417372
3816.15 0.325305
3819.07 0.214182
3822.00 0.152301
3824.92 0.114410
3827.84 0.0895993
3833.69 0.0603455
3839.54 0.0447140
3845.39 0.0358029
3851.24 0.0307913
3862.93 0.0286757
3868.78 0.0318961
3874.63 0.0403432
3880.48 0.0608784
3883.40 0.0821050
3886.32 0.121205
3887.79 0.154205
3889.25 0.204510
3890.71 0.286569
3892.17 0.433787
3892.90 0.555683
3893.63 0.738560
3894.37 1.03092
3895.10 1.54094
3895.83 2.55175
3896.19 3.47843
3896.56 5.00902
3896.92 7.81631
3897.02 8.88878
3897.11 10.1774
3897.20 11.7602
3897.29 13.7311
3897.38 16.2534
3897.47 19.4653
3897.56 23.7258
3897.66 29.3678
3897.75 37.1691
3897.84 47.9312
3897.93 63.1092
3898.02 84.3794
3898.10 108.199
3898.18 135.055
3898.33 168.693
3898.41 158.514
3898.49 134.730
3898.64 84.1232
3898.76 56.8244
3898.89 39.7765
3899.01 28.8711
3899.13 21.7709
3899.38 13.4664
3899.63 9.08182
3899.88 6.51567
3900.12 4.89369
3900.62 3.04389
3901.11 2.07247
3901.60 1.50119
3902.10 1.13742
3902.59 0.892135
3903.58 0.591087
3904.57 0.420867
3905.56 0.315363
3906.54 0.245548
3908.52 0.161625
3910.49 0.115080
3912.47 0.0865618
3914.44 0.0678345
3918.40 0.0454893
3922.35 0.0331368
3926.30 0.0255668
3930.25 0.0205738
3938.15 0.0145623
3946.05 0.0111805
3961.86 0.00764095
3977.66 0.00587577
3993.46 0.00484835
4025.07 0.00374466
4090.05 0.00291026
4155.04 0.00276744
4220.02 0.00301993
4285.01 0.00376493
4349.99 0.00555533
4382.48 0.00738507
4414.97 0.0107407
4431.22 0.0135722
4447.47 0.0178979
4463.71 0.0249883
4479.96 0.0378233
4488.08 0.0485581
4496.20 0.0648330
4504.33 0.0912395
4512.45 0.138333
4516.51 0.177130
4520.57 0.235051
4524.63 0.327106
4528.70 0.486281
4530.73 0.613437
4531.74 0.696583
4532.76 0.797674
4533.77 0.922489
4534.79 1.07867
4535.30 1.17205
4535.80 1.27775
4536.31 1.39853
4536.82 1.53678
4537.83 1.88240
4538.85 2.35599
4539.86 3.02807
4540.88 4.02202
4541.90 5.56906
4542.91 8.11771
4543.42 10.0288
4543.93 12.5883
4544.43 16.0546
4544.94 20.6925
4545.93 33.1549
4546.92 41.6138
4547.42 39.2475
4547.91 33.4019
4548.90 20.8818
4549.65 14.3597
4550.41 10.1694
4551.16 7.46279
4551.91 5.66156
4553.42 3.53514
4554.93 2.39857
4556.43 1.72737
4557.94 1.30102
4560.95 0.811985
4563.97 0.553911
4566.98 0.401677
4569.99 0.304539
4573.00 0.238856
4579.03 0.158293
4585.05 0.112695
4591.08 0.0844169
4597.11 0.0656934
4609.16 0.0432310
4621.21 0.0307993
4633.26 0.0232194
4645.31 0.0182704
4669.41 0.0124468
4693.51 0.00932823
4741.72 0.00645153
4789.92 0.00560358
4838.13 0.00622995
4862.23 0.00758827
4874.28 0.00894024
4886.33 0.0113385
4898.38 0.0162872
4904.41 0.0211053
4910.43 0.0297724
4913.45 0.0370242
4916.46 0.0480614
4919.47 0.0661149
4922.48 0.0987690
4923.99 0.126120
4925.50 0.167615
4927.00 0.235138
4928.51 0.355898
4929.26 0.455874
4930.02 0.605524
4930.77 0.844440
4931.52 1.26052
4932.28 2.08313
4932.65 2.83531
4933.03 4.07442
4933.22 5.02521
4933.41 6.33780
4933.59 8.22747
4933.69 9.49739
4933.78 11.0759
4933.88 13.0910
4933.97 15.6515
4934.07 18.9958
4934.16 23.4497
4934.25 29.5023
4934.35 37.8827
4934.44 49.6282
4934.54 65.9905
4934.62 84.6203
4934.70 105.739
4934.86 132.883
4934.94 125.360
4935.02 106.852
4935.19 66.8585
4935.31 45.6041
4935.44 32.0685
4935.57 23.4070
4935.69 17.7223
4935.95 11.0227
4936.20 7.45949
4936.45 5.35791
4936.71 4.03170
4937.21 2.51431
4937.72 1.71388
4938.23 1.24342
4938.73 0.943424
4939.24 0.740606
4940.25 0.491857
4941.26 0.351171
4942.28 0.263987
4943.29 0.206325
4945.32 0.137115
4947.34 0.0988560
4949.37 0.0755352
4951.39 0.0603308
4955.44 0.0424605
4959.49 0.0329010
4967.59 0.0239670
4975.70 0.0206935
4983.80 0.0199421
5000.00 0.0228495
5010.36 0.0277194
5020.72 0.0362027
5031.08 0.0513532
5041.44 0.0811959
5045.93 0.103759
5050.42 0.137836
5054.91 0.192750
5059.40 0.289597
5061.65 0.368459
5063.89 0.484789
5066.14 0.666737
5067.26 0.798766
5068.38 0.973981
5068.95 1.08415
5069.51 1.21377
