35-Br_n-tot
>  35-Br-79:0.506900
>  35-Br-81:0.493100
3.190300e+02 9.02214382e+02
3.191770e+02 6.54841658e+02
3.193250e+02 4.86380589e+02
3.194720e+02 3.71915524e+02
3.196190e+02 2.92491443e+02
3.199130e+02 1.94344555e+02
3.202080e+02 1.39162001e+02
3.205020e+02 1.05334133e+02
3.207970e+02 8.31725662e+01
3.213850e+02 5.68413466e+01
3.214180e+02 5.60287611e+01
3.219740e+02 4.23380779e+01
3.225630e+02 3.34641963e+01
3.231520e+02 2.76105768e+01
3.237410e+02 2.35271029e+01
3.249180e+02 1.83095555e+01
3.260960e+02 1.51908247e+01
3.264710e+02 1.45427270e+01
3.272740e+02 1.31554426e+01
3.284510e+02 1.17401884e+01
3.289980e+02 1.13188083e+01
3.302610e+02 1.03470246e+01
3.308070e+02 9.92772419e+00
3.315250e+02 9.59416576e+00
3.327880e+02 9.01197528e+00
3.331620e+02 8.84201810e+00
3.334200e+02 8.76509741e+00
3.340510e+02 8.58360730e+00
3.346830e+02 8.41783444e+00
3.349990e+02 8.34922326e+00
3.353150e+02 8.30289527e+00
3.355170e+02 8.30635547e+00
3.356310e+02 8.31854425e+00
3.357890e+02 8.37917298e+00
3.359460e+02 8.50407410e+00
3.361040e+02 8.76488170e+00
3.361830e+02 8.99954903e+00
3.362620e+02 9.36874883e+00
3.363410e+02 9.98510515e+00
3.364200e+02 1.10914056e+01
3.364990e+02 1.32730093e+01
3.365390e+02 1.51481499e+01
3.365780e+02 1.78627161e+01
3.366390e+02 2.38186961e+01
3.367000e+02 2.77700768e+01
3.367620e+02 2.37419438e+01
3.368230e+02 1.77305348e+01
3.368850e+02 1.38739020e+01
3.369470e+02 1.17194998e+01
3.370080e+02 1.04766143e+01
3.370700e+02 9.71344437e+00
3.371320e+02 9.21596658e+00
3.371940e+02 8.87432812e+00
3.373170e+02 8.44667597e+00
3.374410e+02 8.19483689e+00
3.375650e+02 8.02983272e+00
3.378120e+02 7.82317508e+00
3.378730e+02 7.79070806e+00
3.380590e+02 7.70547258e+00
3.383060e+02 7.62590308e+00
3.388010e+02 7.51241357e+00
3.392950e+02 7.43130272e+00
3.395420e+02 7.40181739e+00
3.397890e+02 7.38447711e+00
3.400370e+02 7.39184929e+00
3.401600e+02 7.41547066e+00
3.402840e+02 7.46662996e+00
3.404070e+02 7.57393039e+00
3.405310e+02 7.81196966e+00
3.405930e+02 8.04053885e+00
3.406550e+02 8.42247694e+00
3.407160e+02 9.09651438e+00
3.407780e+02 1.03140104e+01
3.408390e+02 1.22027307e+01
3.409000e+02 1.34588036e+01
3.409610e+02 1.21846819e+01
3.410220e+02 1.02772718e+01
3.410770e+02 9.13967007e+00
3.411320e+02 8.46411293e+00
3.411870e+02 8.05364141e+00
3.412430e+02 7.79125105e+00
3.413530e+02 7.49002063e+00
3.414630e+02 7.32864322e+00
3.415730e+02 7.22915480e+00
3.416840e+02 7.16088776e+00
3.419040e+02 7.06978641e+00
3.421250e+02 7.00654843e+00
3.423450e+02 6.95605879e+00
3.425830e+02 6.91052927e+00
3.427860e+02 6.88241969e+00
3.432270e+02 6.83117661e+00
3.436680e+02 6.78429746e+00
3.445500e+02 6.69705301e+00
3.454320e+02 6.61624845e+00
3.458730e+02 6.57942361e+00
3.463140e+02 6.54764812e+00
3.467550e+02 6.52751964e+00
3.469760e+02 6.52747117e+00
3.471960e+02 6.54277602e+00
3.472940e+02 6.56461832e+00
3.474170e+02 6.59541598e+00
3.475270e+02 6.65069261e+00
3.476370e+02 6.74409572e+00
3.477470e+02 6.91336228e+00
3.478580e+02 7.25305378e+00
3.479130e+02 7.56023542e+00
3.479680e+02 8.04852775e+00
3.480230e+02 8.86175326e+00
3.480780e+02 1.02387449e+01
3.481390e+02 1.25617572e+01
3.482000e+02 1.41113914e+01
3.482610e+02 1.25558270e+01
3.483220e+02 1.02250601e+01
3.483630e+02 9.13424784e+00
3.484040e+02 8.39353656e+00
3.484850e+02 7.53956427e+00
3.485670e+02 7.10710347e+00
3.486480e+02 6.86388978e+00
3.487290e+02 6.71399033e+00
3.488110e+02 6.61486019e+00
3.489740e+02 6.49453464e+00
3.491370e+02 6.42471732e+00
3.493000e+02 6.37860331e+00
3.496260e+02 6.31855994e+00
3.499510e+02 6.27754064e+00
3.502770e+02 6.24461777e+00
3.509290e+02 6.18922082e+00
3.515810e+02 6.13968682e+00
3.520040e+02 6.10912766e+00
3.522330e+02 6.09621743e+00
3.535360e+02 6.02582293e+00
3.561430e+02 5.88926554e+00
3.567150e+02 5.85976556e+00
3.587500e+02 5.78057697e+00
3.613570e+02 5.68091498e+00
3.626610e+02 5.63233580e+00
