Nd-145(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
189.384 451.859
189.407 748.657
189.428 1198.47
189.450 1498.52
189.472 1198.23
189.493 748.411
189.514 471.313
189.535 312.240
189.555 218.244
189.576 159.749
189.617 95.0362
189.658 62.6215
189.699 44.1976
189.740 32.8309
189.822 20.1118
189.904 13.5601
189.986 9.75469
190.068 7.35241
190.150 5.74189
190.314 3.78007
190.479 2.67820
190.643 1.99851
190.807 1.55024
191.135 1.01385
191.464 0.717739
191.792 0.537170
192.120 0.419015
192.777 0.278907
193.433 0.202194
194.090 0.155675
194.747 0.125367
196.060 0.0895825
197.373 0.0700894
200.000 0.0507482
203.861 0.0395327
207.722 0.0353470
215.443 0.0351815
215.443 0.0351817
215.444 0.0351820
215.444 0.0351822
215.445 0.0351828
215.447 0.0351838
215.451 0.0351859
215.459 0.0351901
215.475 0.0351986
215.508 0.0352157
215.572 0.0352504
215.701 0.0353218
215.959 0.0354724
216.475 0.0358066
217.507 0.0366180
219.572 0.0389433
223.700 0.0488351
225.764 0.0606740
226.796 0.0715557
227.828 0.0903912
228.861 0.128851
229.377 0.166172
229.893 0.233157
230.151 0.289078
230.409 0.373915
230.667 0.512071
230.925 0.760332
231.054 0.966822
231.183 1.27782
231.312 1.77843
231.441 2.66103
231.505 3.37974
231.570 4.44091
231.634 6.10125
231.699 8.90984
231.763 14.2153
231.796 18.8367
231.828 26.0613
231.860 38.2878
231.892 60.9209
231.909 80.1024
231.925 108.583
231.941 152.303
231.957 219.609
231.978 351.325
232.000 439.119
232.022 351.288
232.043 219.566
232.069 123.678
232.095 75.5378
232.121 49.9738
232.146 35.2133
232.172 26.0433
232.198 19.9988
232.250 12.8195
232.301 8.90093
232.353 6.53798
232.456 3.96087
232.559 2.66053
232.662 1.91647
232.765 1.45090
232.869 1.14110
233.075 0.766997
233.281 0.558992
233.488 0.431785
233.694 0.348610
234.107 0.250707
234.519 0.198374
235.344 0.149835
236.170 0.132790
236.995 0.130141
238.645 0.152241
240.296 0.220891
241.121 0.292361
241.946 0.423167
242.359 0.533216
242.772 0.700862
243.184 0.974905
243.597 1.46964
243.803 1.88285
244.010 2.50822
244.216 3.52137
244.422 5.32501
244.525 6.80925
244.629 9.02032
244.732 12.5305
244.835 18.5796
244.886 23.4027
244.938 30.3742
244.990 40.9732
245.041 58.1427
245.093 88.6663
245.119 113.543
245.144 150.078
245.170 206.335
245.196 297.844
245.222 455.282
245.247 731.924
245.274 1170.80
245.300 1463.20
245.326 1170.55
245.353 731.677
245.379 453.489
245.404 296.783
245.430 205.669
245.456 149.634
245.482 113.115
245.508 88.3561
245.559 57.9625
245.611 40.8076
245.663 30.2648
245.766 18.5206
245.869 12.4959
245.972 9.00706
246.076 6.81040
246.179 5.34137
246.386 3.56097
246.592 2.57159
246.799 1.97354
247.005 1.59491
247.418 1.21401
247.625 1.16601
247.832 1.23584
248.038 1.52977
248.141 1.86084
248.245 2.47154
248.348 3.72221
248.400 4.88581
248.451 6.82625
248.503 10.4139
248.529 13.4457
248.555 18.0653
248.580 25.5432
248.606 38.5963
248.632 63.4612
248.645 84.2427
248.658 113.790
248.679 181.864
248.700 227.269
248.721 181.839
248.742 113.754
248.763 71.2174
248.783 46.9489
248.803 32.7532
248.824 23.9843
248.865 14.3664
