73-Ta_n-g
> 73-Ta-181:1.000000
4.904540e+01 3.23046000e+01
4.906480e+01 4.70322000e+01
4.908420e+01 7.40719000e+01
4.909390e+01 9.65865000e+01
4.910360e+01 1.29795000e+02
4.911330e+01 1.80085000e+02
4.912300e+01 2.56326000e+02
4.913650e+01 4.10160000e+02
4.915000e+01 5.12793000e+02
4.916350e+01 4.10042000e+02
4.917700e+01 2.56180000e+02
4.918990e+01 1.61179000e+02
4.920270e+01 1.06557000e+02
4.921560e+01 7.44085000e+01
4.922840e+01 5.44621000e+01
4.925420e+01 3.24961000e+01
4.927990e+01 2.14887000e+01
4.930560e+01 1.52564000e+01
4.933130e+01 1.14050000e+01
4.938280e+01 7.10520000e+00
4.943420e+01 4.89062000e+00
4.948560e+01 3.60416000e+00
4.958850e+01 2.24583000e+00
4.969140e+01 1.58038000e+00
4.979430e+01 1.20496000e+00
5.000000e+01 8.16818000e-01
5.018040e+01 6.46016000e-01
5.036080e+01 5.43187000e-01
5.072150e+01 4.28327000e-01
5.144300e+01 3.28205000e-01
5.288600e+01 2.55764000e-01
5.432900e+01 2.31740000e-01
5.505050e+01 2.38289000e-01
5.541130e+01 2.72930000e-01
5.550140e+01 3.04263000e-01
5.559160e+01 3.81952000e-01
5.563670e+01 4.74248000e-01
5.568180e+01 6.82512000e-01
5.570440e+01 9.00614000e-01
5.572690e+01 1.31428000e+00
5.573820e+01 1.67096000e+00
5.574950e+01 2.21536000e+00
5.576070e+01 3.07644000e+00
5.577200e+01 4.44901000e+00
5.578600e+01 6.97438000e+00
5.580000e+01 8.65672000e+00
5.581400e+01 6.97356000e+00
5.582800e+01 4.44863000e+00
5.584120e+01 2.90285000e+00
5.585430e+01 2.00692000e+00
5.586750e+01 1.47645000e+00
5.588060e+01 1.14621000e+00
5.590690e+01 7.81192000e-01
5.593330e+01 5.98081000e-01
5.598590e+01 4.31126000e-01
5.603850e+01 3.61327000e-01
5.614370e+01 3.08410000e-01
5.624900e+01 2.93186000e-01
5.667000e+01 3.32396000e-01
5.688040e+01 4.13275000e-01
5.698570e+01 4.93351000e-01
5.709090e+01 6.35760000e-01
5.719620e+01 9.26271000e-01
5.724880e+01 1.20082000e+00
5.730140e+01 1.67245000e+00
5.735400e+01 2.58585000e+00
5.738040e+01 3.40180000e+00
5.740670e+01 4.71884000e+00
5.743300e+01 7.03675000e+00
5.745930e+01 1.16372000e+01
5.747240e+01 1.57926000e+01
5.748560e+01 2.24448000e+01
5.749880e+01 3.36628000e+01
5.751190e+01 5.29522000e+01
5.752600e+01 8.45464000e+01
5.754000e+01 1.05589000e+02
5.755410e+01 8.45267000e+01
5.756810e+01 5.29282000e+01
5.757950e+01 3.56980000e+01
5.759080e+01 2.49135000e+01
5.760220e+01 1.81093000e+01
5.761350e+01 1.36626000e+01
5.763630e+01 8.51097000e+00
5.765900e+01 5.80444000e+00
5.768170e+01 4.22462000e+00
5.770440e+01 3.22893000e+00
5.774980e+01 2.09633000e+00
5.779530e+01 1.50396000e+00
5.784070e+01 1.15727000e+00
5.793160e+01 7.91145000e-01
5.802240e+01 6.15087000e-01
5.811330e+01 5.20737000e-01
5.829500e+01 4.41791000e-01
5.847670e+01 4.44533000e-01
5.865850e+01 5.52320000e-01
5.874930e+01 7.14198000e-01
5.879480e+01 8.69545000e-01
5.884020e+01 1.13596000e+00
5.888560e+01 1.64603000e+00
5.890830e+01 2.09482000e+00
5.893100e+01 2.80627000e+00
5.895380e+01 4.02622000e+00
5.897650e+01 6.34635000e+00
5.898780e+01 8.34998000e+00
5.899920e+01 1.14166000e+01
5.901060e+01 1.62793000e+01
5.902190e+01 2.40454000e+01
5.903600e+01 3.83160000e+01
5.905000e+01 4.78366000e+01
5.906410e+01 3.83070000e+01
5.907810e+01 2.40343000e+01
5.909380e+01 1.41491000e+01
5.910940e+01 8.96752000e+00
5.912510e+01 6.12412000e+00
5.914070e+01 4.44720000e+00
5.915640e+01 3.38881000e+00
5.917200e+01 2.68399000e+00
5.920330e+01 1.83781000e+00
5.923460e+01 1.37129000e+00
5.926600e+01 1.08843000e+00
5.932860e+01 7.78942000e-01
5.939120e+01 6.23495000e-01
5.945380e+01 5.35645000e-01
5.957900e+01 4.47889000e-01
5.982950e+01 3.95663000e-01
6.007990e+01 3.96543000e-01
6.058080e+01 4.63469000e-01
6.108180e+01 6.20003000e-01
6.158270e+01 9.69535000e-01
6.183310e+01 1.31894000e+00
6.208360e+01 1.95228000e+00
6.220880e+01 2.48167000e+00
6.233400e+01 3.28317000e+00
6.245930e+01 4.58061000e+00
6.258450e+01 6.88555000e+00
6.264710e+01 8.77700000e+00
6.270970e+01 1.15899000e+01
6.277230e+01 1.60359000e+01
6.283500e+01 2.36639000e+01
6.289760e+01 3.84012000e+01
6.292890e+01 5.15235000e+01
6.296020e+01 7.26169000e+01
6.299150e+01 1.09537000e+02
6.300710e+01 1.39180000e+02
6.302280e+01 1.82099000e+02
6.303850e+01 2.46992000e+02
6.305410e+01 3.49803000e+02
6.306980e+01 5.20570000e+02
6.308540e+01 8.09293000e+02
6.310270e+01 1.29510000e+03
6.312000e+01 1.61901000e+03
6.313730e+01 1.29471000e+03
6.315460e+01 8.08816000e+02
6.316800e+01 5.53752000e+02
6.318130e+01 3.90797000e+02
6.319460e+01 2.86002000e+02
6.320800e+01 2.16581000e+02
6.323470e+01 1.34942000e+02
6.326140e+01 9.14251000e+01
6.328810e+01 6.58003000e+01
6.331470e+01 4.95361000e+01
6.336810e+01 3.09170000e+01
6.342150e+01 2.11016000e+01
6.347490e+01 1.53165000e+01
6.352830e+01 1.16273000e+01
6.358160e+01 9.13345000e+00
6.368840e+01 6.07642000e+00
6.379510e+01 4.34674000e+00
6.390190e+01 3.27432000e+00
6.400860e+01 2.56425000e+00
6.422220e+01 1.71228000e+00
6.443570e+01 1.24045000e+00
6.464920e+01 9.52403000e-01
6.486270e+01 7.63943000e-01
6.528970e+01 5.41014000e-01
6.571670e+01 4.19929000e-01
6.657070e+01 3.01923000e-01
6.742480e+01 2.51880000e-01
6.827880e+01 2.30663000e-01
6.998690e+01 2.32201000e-01
7.169490e+01 2.84483000e-01
7.254900e+01 3.42699000e-01
7.340300e+01 4.47631000e-01
7.425700e+01 6.61884000e-01
7.468400e+01 8.65745000e-01
7.511100e+01 1.22262000e+00
7.553810e+01 1.94723000e+00
7.575160e+01 2.63864000e+00
7.596510e+01 3.85372000e+00
7.607180e+01 4.84766000e+00
7.617860e+01 6.32968000e+00
7.628530e+01 8.69303000e+00
7.639210e+01 1.28298000e+01
7.644550e+01 1.61894000e+01
7.649890e+01 2.11511000e+01
7.655220e+01 2.89361000e+01
7.657890e+01 3.46132000e+01
7.660560e+01 4.21921000e+01
7.663230e+01 5.26364000e+01
7.665900e+01 6.75840000e+01
7.668570e+01 9.00270000e+01
7.671240e+01 1.25854000e+02
7.673900e+01 1.87983000e+02
7.675240e+01 2.37461000e+02
7.676570e+01 3.08447000e+02
7.677910e+01 4.14614000e+02
7.679240e+01 5.80349000e+02
7.680580e+01 8.50313000e+02
7.681910e+01 1.29610000e+03
7.683460e+01 2.07401000e+03
7.685000e+01 2.59312000e+03
7.686550e+01 2.07361000e+03
7.688090e+01 1.29579000e+03
7.689230e+01 9.02134000e+02
7.690370e+01 6.45518000e+02
7.691510e+01 4.77818000e+02
7.692650e+01 3.65170000e+02
