U-238(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
116.714 146.141
116.736 197.709
116.758 277.914
116.780 410.808
116.803 652.098
116.814 849.795
116.825 1141.08
116.836 1589.56
116.847 2315.64
116.858 3551.36
116.869 5700.75
116.880 9344.55
116.886 11136.1
116.892 11958.3
116.898 11378.7
116.904 9798.49
116.916 6277.98
116.926 4347.20
116.935 3106.99
116.944 2306.96
116.954 1778.80
116.972 1145.09
116.991 804.312
117.010 599.405
117.029 467.985
117.066 313.864
117.104 229.700
117.141 178.516
117.179 144.858
117.216 121.464
117.291 91.4919
117.366 73.5761
117.441 61.8569
117.516 53.6897
117.666 43.1881
117.815 36.8200
117.965 32.5900
118.115 29.5955
118.415 25.6539
118.715 23.1883
119.014 21.5063
119.164 20.8679
119.239 20.6432
119.258 20.6333
119.277 20.7021
119.286 20.8139
119.295 21.0557
119.305 21.6325
119.309 22.2048
119.314 23.1096
119.320 24.8087
119.326 25.9086
119.331 24.7369
119.337 23.0291
119.343 21.9386
119.348 21.3104
119.359 20.7015
119.370 20.4242
119.382 20.2671
119.426 19.9652
119.515 19.6370
119.693 19.1268
120.048 18.3085
120.759 17.1392
121.470 16.3311
122.182 15.7309
123.604 14.8819
124.315 14.5671
124.671 14.4384
124.759 14.4170
124.848 14.4171
124.893 14.4445
124.915 14.4778
124.937 14.5411
124.959 14.6718
124.971 14.7922
124.982 14.9899
124.993 15.3428
125.004 16.0536
125.009 16.7103
125.015 17.7549
125.021 19.5740
125.026 22.7006
125.032 27.7881
125.038 31.1002
125.043 27.6912
125.049 22.6933
125.053 20.2047
125.057 18.5887
125.061 17.4852
125.065 16.7510
125.073 15.8483
125.081 15.3568
125.089 15.0562
125.098 14.8621
125.114 14.6359
125.130 14.5118
125.146 14.4362
125.178 14.3496
125.243 14.2684
125.307 14.2243
125.436 14.1648
125.565 14.1168
126.081 13.9521
127.113 13.6698
129.177 13.2129
131.242 12.8475
132.274 12.6884
132.790 12.6152
133.048 12.5872
133.112 12.5866
133.177 12.6002
133.209 12.6247
133.241 12.6923
133.257 12.7755
133.274 12.9605
133.282 13.1506
133.290 13.4933
133.298 14.2005
133.302 14.8237
133.306 15.7555
133.312 17.7013
133.317 18.9682
133.323 17.6642
133.329 15.7526
133.334 14.5883
133.339 13.9156
133.345 13.5037
133.350 13.2493
133.360 12.9614
133.371 12.8146
133.392 12.6773
133.413 12.6166
133.455 12.5635
133.497 12.5394
133.581 12.5138
133.665 12.4972
134.000 12.4468
134.672 12.3578
135.343 12.2732
135.679 12.2334
135.847 12.2190
135.931 12.2298
135.973 12.2862
135.994 12.4221
136.004 12.6345
136.010 12.8502
136.015 13.2151
136.021 13.8350
136.026 14.2385
136.032 13.8222
136.038 13.2124
