31-Ga_n-g
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
7.788500e+02 2.56371337e-02
7.851820e+02 2.26117765e-02
7.972790e+02 1.86654069e-02
8.007510e+02 1.76691245e-02
8.157080e+02 1.45894351e-02
8.163200e+02 1.44783934e-02
8.474590e+02 1.07608961e-02
8.525670e+02 1.03619193e-02
8.785970e+02 8.77671485e-03
9.097350e+02 7.65174350e-03
9.253040e+02 7.95558541e-03
9.262830e+02 8.14178576e-03
9.291970e+02 8.71994333e-03
9.330890e+02 1.10730137e-02
9.350350e+02 1.43959906e-02
9.369810e+02 2.37361990e-02
9.379540e+02 3.64368823e-02
9.384410e+02 4.88543419e-02
9.389270e+02 7.09796106e-02
9.394140e+02 1.16330364e-01
9.396570e+02 1.59367929e-01
9.399010e+02 2.33514384e-01
9.401440e+02 3.77759396e-01
9.402650e+02 5.07043111e-01
9.403870e+02 7.16458597e-01
9.405090e+02 1.08725204e+00
9.405700e+02 1.38815230e+00
9.406300e+02 1.82850312e+00
9.406910e+02 2.50329317e+00
9.407520e+02 3.59373604e+00
9.408130e+02 5.45306844e+00
9.408740e+02 8.70077541e+00
9.409370e+02 1.39234389e+01
9.410000e+02 1.73988230e+01
9.410630e+02 1.39155640e+01
9.411270e+02 8.70185573e+00
9.411840e+02 5.58799648e+00
9.412420e+02 3.75065684e+00
9.412990e+02 2.64668890e+00
9.413570e+02 1.95128706e+00
9.414720e+02 1.17427621e+00
9.415870e+02 7.79612353e-01
9.417020e+02 5.54257704e-01
9.418170e+02 4.14199913e-01
9.420460e+02 2.57038859e-01
9.422760e+02 1.75683002e-01
9.425060e+02 1.28294778e-01
9.429660e+02 7.81773705e-02
9.434260e+02 5.36226334e-02
9.438860e+02 3.98057697e-02
9.448060e+02 2.56237919e-02
9.466460e+02 1.51137157e-02
9.484860e+02 1.13112113e-02
9.521650e+02 8.50263519e-03
9.558450e+02 7.46265836e-03
9.632040e+02 6.63229035e-03
9.705630e+02 6.26343757e-03
1.000000e+03 5.60221292e-03
1.045940e+03 5.33248068e-03
1.062970e+03 5.53763962e-03
1.068910e+03 5.63776161e-03
1.074650e+03 6.06189847e-03
1.080400e+03 7.25976432e-03
1.083270e+03 8.91164673e-03
1.086140e+03 1.35414669e-02
1.087570e+03 1.98838536e-02
1.088290e+03 2.61428870e-02
1.089010e+03 3.74014651e-02
1.089730e+03 6.09286682e-02
1.090090e+03 8.37185582e-02
1.090440e+03 1.23922104e-01
1.090620e+03 1.56780741e-01
1.090800e+03 2.05035694e-01
1.090980e+03 2.80988461e-01
1.091160e+03 4.08762532e-01
1.091340e+03 6.51585130e-01
1.091430e+03 8.63068576e-01
1.091520e+03 1.19056993e+00
1.091610e+03 1.74845157e+00
1.091700e+03 2.76967081e+00
1.091750e+03 3.63587771e+00
1.091790e+03 4.92827479e+00
1.091840e+03 6.91046838e+00
1.091880e+03 9.87332700e+00
1.091940e+03 1.58310376e+01
1.092000e+03 1.97100559e+01
1.092060e+03 1.57277971e+01
1.092120e+03 9.87436419e+00
1.092160e+03 7.02124845e+00
1.092210e+03 5.10930468e+00
1.092250e+03 3.82935390e+00
1.092290e+03 2.97024377e+00
1.092370e+03 1.89643889e+00
1.092460e+03 1.31097592e+00
1.092540e+03 9.53790930e-01
1.092620e+03 7.26191111e-01
1.092790e+03 4.59604837e-01
1.092960e+03 3.17031622e-01
1.093120e+03 2.32190110e-01
1.093460e+03 1.40706175e-01
1.093790e+03 9.51052209e-02
1.094130e+03 6.91638421e-02
1.094790e+03 4.23263199e-02
1.095460e+03 2.94117837e-02
1.096130e+03 2.22369881e-02
1.097460e+03 1.49697033e-02
1.100130e+03 9.68529037e-03
1.102800e+03 7.84251984e-03
1.108150e+03 6.63809335e-03
1.113490e+03 6.46701755e-03
1.118830e+03 6.92145628e-03
1.124170e+03 8.72772719e-03
1.125940e+03 1.04688834e-02
1.126840e+03 1.13584702e-02
1.128180e+03 1.39979142e-02
1.129510e+03 1.88006145e-02
1.130850e+03 2.89689554e-02
1.131520e+03 3.89555136e-02
1.132180e+03 5.68065332e-02
1.132520e+03 7.15841266e-02
1.132850e+03 9.37309223e-02
1.133180e+03 1.29088752e-01
1.133520e+03 1.90409139e-01
1.133850e+03 3.11796859e-01
1.134020e+03 4.22482400e-01
1.134190e+03 6.05064893e-01
1.134350e+03 9.36919214e-01
1.134440e+03 1.21600008e+00
1.134520e+03 1.63080545e+00
1.134600e+03 2.29894098e+00
1.134690e+03 3.42281074e+00
1.134770e+03 5.47822647e+00
1.134850e+03 9.41229610e+00
1.134930e+03 1.50654716e+01
1.135000e+03 1.88376993e+01
1.135070e+03 1.50655121e+01
1.135150e+03 9.41277621e+00
1.135210e+03 6.45007744e+00
1.135260e+03 4.58113747e+00
1.135320e+03 3.35328593e+00
1.135370e+03 2.55115777e+00
1.135490e+03 1.59495906e+00
1.135600e+03 1.08363589e+00
1.135710e+03 7.81897310e-01
1.135830e+03 5.90089159e-01
1.136050e+03 3.70145251e-01
1.136280e+03 2.54049442e-01
1.136500e+03 1.85548331e-01
1.136730e+03 1.41827779e-01
1.136960e+03 1.12357847e-01
1.137410e+03 7.60259273e-02
1.137860e+03 5.54525448e-02
1.138760e+03 3.42471523e-02
1.139670e+03 2.40830347e-02
1.140570e+03 1.84509205e-02
1.142380e+03 1.27427372e-02
1.145990e+03 8.58379550e-03
1.149600e+03 7.11094172e-03
1.156830e+03 6.06601126e-03
1.164060e+03 5.72156038e-03
1.188900e+03 5.57172934e-03
1.192970e+03 5.58947983e-03
1.220390e+03 6.14986438e-03
1.228260e+03 6.49954861e-03
1.236130e+03 7.26203055e-03
1.240070e+03 8.19755412e-03
1.244000e+03 1.06980201e-02
1.245970e+03 1.40729805e-02
1.247940e+03 2.33938242e-02
1.248920e+03 3.59914506e-02
1.249410e+03 4.82846544e-02
1.249900e+03 7.01643628e-02
1.250400e+03 1.14954710e-01
1.250640e+03 1.57421093e-01
1.250780e+03 1.98378904e-01
1.250890e+03 2.30561203e-01
1.251130e+03 3.72632081e-01
1.251260e+03 4.99869561e-01
1.251380e+03 7.05738965e-01
1.251500e+03 1.06922597e+00
1.251630e+03 1.79415456e+00
1.251690e+03 2.45856531e+00
1.251750e+03 3.51089505e+00
1.251810e+03 5.28802509e+00
1.251870e+03 8.35605858e+00
1.251940e+03 1.33873397e+01
1.252000e+03 1.67506838e+01
1.252070e+03 1.33879429e+01
1.252130e+03 8.35684412e+00
1.252180e+03 5.72681937e+00
1.252230e+03 4.04471582e+00
1.252280e+03 2.96324146e+00
1.252330e+03 2.25773061e+00
1.252430e+03 1.41420659e+00
1.252530e+03 9.62394374e-01
1.252630e+03 6.95450325e-01
1.252730e+03 5.25610150e-01
1.252920e+03 3.30677518e-01
1.253120e+03 2.27302754e-01
1.253320e+03 1.66650351e-01
1.253720e+03 1.01689582e-01
1.254110e+03 6.94526522e-02
1.254510e+03 5.12456894e-02
1.255300e+03 3.24611007e-02
1.256890e+03 1.84949914e-02
