Ba-138(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
55403.2 4.16856
55467.2 3.95348
55531.1 3.83902
55595.0 3.76778
55722.9 3.68066
55850.8 3.62472
55978.7 3.58175
56234.4 3.51172
56490.2 3.44941
56745.9 3.38824
57257.4 3.25522
57768.9 3.08151
58024.7 2.96142
58280.4 2.79747
58408.3 2.68825
58536.2 2.55019
58664.0 2.36864
58791.9 2.11756
58855.8 1.95181
58919.8 1.74664
58983.7 1.48718
59047.7 1.15245
59111.6 0.718781
59175.5 0.209663
59191.5 0.100709
59207.5 0.0301315
59223.5 0.0396452
59231.5 0.0975698
59239.5 0.211383
59247.5 0.405246
59255.5 0.713438
59263.5 1.18723
59271.4 1.90238
59279.4 2.97177
59287.4 4.56261
59295.4 6.91659
59303.4 10.3603
59312.6 16.1161
59321.7 24.0626
59340.0 41.1824
59349.2 44.6102
59358.3 43.2488
59376.6 34.3589
59396.1 25.7608
59415.6 20.0988
59435.1 16.4364
59454.5 13.9711
59474.0 12.2341
59493.5 10.9591
59532.5 9.23401
59571.4 8.13356
59610.4 7.37685
59688.3 6.41017
59766.2 5.82207
59844.2 5.42799
59922.1 5.14596
60000.0 4.93445
60000.0 4.93020
60000.1 4.93009
60000.1 4.92999
60000.2 4.92980
60000.3 4.92942
60000.7 4.92864
60001.3 4.92710
60002.6 4.92404
60005.2 4.91792
60010.4 4.90586
60020.9 4.88231
60041.7 4.83748
60083.4 4.75587
60166.8 4.61919
60333.6 4.42298
60417.0 4.35606
60458.7 4.33158
60500.4 4.31634
60542.1 4.31854
60563.0 4.33335
60583.8 4.36838
60604.7 4.44955
60615.1 4.52984
60625.5 4.67073
60636.0 4.95158
60641.2 5.21076
60646.4 5.64718
60651.6 6.47580
60654.2 7.20445
60656.8 8.36156
60659.4 10.3804
60662.0 14.3204
60663.3 17.8759
60664.6 23.4986
60665.9 32.9056
60667.2 48.9559
60668.6 74.6496
60670.0 90.8113
60671.4 72.1924
60672.8 45.9837
60673.8 32.9001
60674.8 24.5107
60675.8 19.0465
60676.8 15.3886
60678.8 11.0545
60680.9 8.73496
60682.9 7.37120
60684.9 6.50974
60688.9 5.53334
60693.0 5.02777
60697.0 4.73560
60705.1 4.43211
60713.2 4.28797
60721.3 4.20927
60737.4 4.13102
60769.7 4.07302
60802.1 4.04800
60866.7 4.01758
60931.4 3.99354
61060.6 3.95178
61189.9 3.91607
61448.5 3.86141
61707.1 3.83072
61965.7 3.83666
62095.0 3.86674
62224.3 3.93681
62288.9 4.00045
62353.5 4.09943
62418.2 4.26093
62482.8 4.54490
62547.5 5.10658
62579.8 5.61707
62612.1 6.45570
62644.4 7.97177
62660.6 9.23194
62676.8 11.1210
62692.9 14.1146
62709.1 19.1904
62725.2 28.4662
62741.4 46.2099
62755.7 71.3760
62770.0 87.7734
62784.3 70.4687
62798.6 45.1050
62810.3 31.2485
62822.0 22.6679
62833.7 17.2931
62845.4 13.8067
62868.8 9.79517
62892.2 7.70502
62915.5 6.49290
62938.9 5.73269
62985.7 4.87318
63032.5 4.42571
63079.3 4.16405
63126.0 3.99778
63172.8 3.88534
63266.3 3.74653
63359.9 3.66617
63453.4 3.61439
63547.0 3.57822
63734.1 3.53021
63921.2 3.49852
64295.3 3.45591
64669.5 3.42598
65043.7 3.40294
65792.1 3.37374
66540.4 3.37896
66914.6 3.41071
67288.8 3.48972
67663.0 3.68439
67850.1 3.88477
68037.1 4.24404
68224.2 4.96043
68317.8 5.60773
68411.3 6.65348
68504.9 8.48012
68598.4 12.0253
68645.2 15.1338
68692.0 19.9495
68738.7 27.6940
68785.5 40.2811
68842.8 63.6010
68900.0 79.8859
68957.3 65.3071
69014.5 42.5083
69054.5 31.3341
69094.5 23.8241
69134.5 18.7781
69174.5 15.3099
69254.5 11.0665
69334.5 8.70567
69414.6 7.26984
69494.6 6.33417
69654.6 5.22874
69814.6 4.62264
69974.6 4.25206
70294.6 3.83496
70614.7 3.61201
70934.7 3.47470
71574.8 3.31458
72214.8 3.22979
72534.9 3.21042
72854.9 3.21592
73174.9 3.27579
73334.9 3.35272
73494.9 3.50150
73655.0 3.81168
73735.0 4.09763
73815.0 4.56454
73895.0 5.38793
73975.0 7.00286
74015.0 8.43194
74055.0 10.6652
74095.0 14.2970
74135.0 20.2772
74182.5 31.0628
74230.0 38.5287
74277.5 31.6945
74325.0 21.0935
74364.3 15.1568
74403.6 11.4570
74442.9 9.12875
74482.2 7.60781
74560.7 5.83962
74639.3 4.90139
74717.9 4.34599
74796.4 3.98916
74953.6 3.56879
75110.7 3.33362
75267.9 3.18296
75582.2 2.99334
75896.4 2.86552
76210.7 2.75916
76839.3 2.54922
77467.9 2.27942
77782.2 2.09253
78096.5 1.84170
78410.7 1.48287
78567.9 1.23948
78725.0 0.935356
78882.2 0.561709
78960.8 0.358159
79039.3 0.172483
79078.6 0.106760
79117.9 0.0826958
79137.5 0.0962511
79157.2 0.134931
79176.8 0.207422
79196.5 0.325469
79216.1 0.505159
79235.8 0.768169
79255.4 1.14457
79275.0 1.67560
79294.7 2.41816
79314.3 3.44787
79334.0 4.86552
79353.6 6.79594
79382.7 10.8879
79411.8 16.6675
79470.0 29.6779
79499.1 32.6613
79528.2 32.1074
79586.4 26.1094
79623.6 22.1769
79660.8 18.9944
79735.1 14.6137
79809.5 11.9352
79883.9 10.1976
79958.2 9.00140
80032.6 8.13674
80181.3 6.98136
80330.1 6.25104
80478.8 5.75023
80776.2 5.10998
81073.7 4.71831
81371.1 4.45349
81668.6 4.26183
81966.1 4.11613
82561.0 3.90766
83155.9 3.76376
84345.7 3.57258
85535.5 3.44513
86725.3 3.34830
87320.3 3.30617
87915.2 3.26599
88510.1 3.22442
88807.5 3.20101
88881.9 3.19693
88956.3 3.20303
88993.4 3.22391
89012.0 3.24980
89030.6 3.30243
89049.2 3.42302
89058.5 3.54557
89067.8 3.76605
89077.1 4.21299
89081.8 4.62431
89086.4 5.29994
89091.0 6.51424
89095.7 8.96906
89098.0 11.2183
89100.3 14.8350
89102.7 20.9691
89105.0 31.5997
89107.5 49.5441
89110.0 62.2601
89112.5 51.3504
89115.0 33.8599
89117.7 21.9169
89120.3 15.3566
89123.0 11.6274
89125.7 9.37147
89128.3 7.90977
89131.0 6.91728
89136.3 5.69997
89141.6 5.00806
89146.9 4.57824
89157.5 4.09051
89168.2 3.83280
89178.8 3.67880
89200.1 3.50932
89221.3 3.42118
89242.6 3.36843
89285.1 3.30932
89327.6 3.27726
89370.1 3.25701
89455.2 3.23217
89625.3 3.20531
89795.3 3.18836
90135.5 3.16324
90475.6 3.14221
91155.9 3.10412
91836.2 3.06790
93196.9 2.99612
94557.5 2.92124
97278.7 2.74505
98639.3 2.63090
99999.9 2.48269
100000 2.48167
100000 2.48166
100000 2.48162
100001 2.48160
100001 2.48155
100002 2.48145
100003 2.48124
100007 2.48083
100013 2.48002
100026 2.47837
100052 2.47505
100103 2.46836
100206 2.45470
100413 2.42619
100825 2.36374
101650 2.20975
102062 2.11188
102475 1.99330
102681 1.92391
102887 1.84732
102990 1.80849
103093 1.77908
103145 1.78214
103171 1.79872
103196 1.84020
103222 1.94265
103235 2.04698
