28-Ni_n-tot
>  28-Ni-58:0.680770
>  28-Ni-59:0.000000
>  28-Ni-60:0.262230
>  28-Ni-61:0.011399
>  28-Ni-62:0.036346
>  28-Ni-64:0.009255
2.052850e+03 1.52761887e+01
2.100000e+03 1.52975771e+01
2.126450e+03 1.53095754e+01
2.189680e+03 1.53387251e+01
2.200000e+03 1.53437367e+01
2.205490e+03 1.53464027e+01
2.213390e+03 1.53504949e+01
2.221290e+03 1.53550124e+01
2.229200e+03 1.53606068e+01
2.233150e+03 1.53644012e+01
2.237100e+03 1.53698458e+01
2.241050e+03 1.53794171e+01
2.243030e+03 1.53880145e+01
2.245000e+03 1.54028105e+01
2.245990e+03 1.54148655e+01
2.246980e+03 1.54328646e+01
2.247970e+03 1.54616798e+01
2.248950e+03 1.55124074e+01
2.249450e+03 1.55537934e+01
2.249940e+03 1.56150906e+01
2.250440e+03 1.57115029e+01
2.250930e+03 1.58759561e+01
2.251420e+03 1.61908769e+01
2.251670e+03 1.64687612e+01
2.251920e+03 1.69113836e+01
2.252170e+03 1.76751722e+01
2.252410e+03 1.91441681e+01
2.252540e+03 2.04329651e+01
2.252660e+03 2.24113170e+01
2.252780e+03 2.55873519e+01
2.252910e+03 3.07400294e+01
2.253050e+03 4.00045047e+01
2.253200e+03 4.61283089e+01
2.253350e+03 3.99396541e+01
2.253500e+03 3.07428542e+01
2.253660e+03 2.42454026e+01
2.253830e+03 2.08821554e+01
2.254000e+03 1.90558907e+01
2.254170e+03 1.79903027e+01
2.254330e+03 1.73164655e+01
2.254500e+03 1.68690559e+01
2.254840e+03 1.63349762e+01
2.255170e+03 1.60403701e+01
2.255510e+03 1.58624144e+01
2.256180e+03 1.56672369e+01
2.256850e+03 1.55683870e+01
2.257520e+03 1.55117980e+01
2.258140e+03 1.54790355e+01
2.258190e+03 1.54763953e+01
2.258860e+03 1.54529251e+01
2.260200e+03 1.54247619e+01
2.261540e+03 1.54093159e+01
2.262880e+03 1.54000744e+01
2.264220e+03 1.53942165e+01
2.266910e+03 1.53877648e+01
2.269590e+03 1.53848020e+01
2.274950e+03 1.53831310e+01
2.280320e+03 1.53837602e+01
2.284860e+03 1.53850639e+01
2.285680e+03 1.53853009e+01
2.296410e+03 1.53895102e+01
2.300000e+03 1.53911563e+01
2.317870e+03 1.53993505e+01
2.339320e+03 1.54097063e+01
2.399680e+03 1.54394743e+01
2.400000e+03 1.54400513e+01
2.425150e+03 1.54853957e+01
2.463420e+03 1.55545432e+01
2.500000e+03 1.56222228e+01
2.569710e+03 1.57511989e+01
2.596810e+03 1.58014027e+01
2.598500e+03 1.58045383e+01
2.600000e+03 1.58073214e+01
2.603130e+03 1.58131288e+01
2.606250e+03 1.58189176e+01
2.612500e+03 1.58305139e+01
2.625000e+03 1.58537063e+01
2.650000e+03 1.59000913e+01
2.700000e+03 1.59928611e+01
2.712140e+03 1.60153856e+01
2.750000e+03 1.60857846e+01
2.799350e+03 1.61796040e+01
2.800000e+03 1.61823875e+01
2.854570e+03 1.64160740e+01
2.900000e+03 1.66109516e+01
2.925780e+03 1.67215381e+01
2.940120e+03 1.67832230e+01
2.950000e+03 1.68257455e+01
2.956110e+03 1.68520424e+01
2.996990e+03 1.70302207e+01
3.000000e+03 1.70433952e+01
3.032600e+03 1.71861289e+01
3.050000e+03 1.72627435e+01
3.068210e+03 1.73429246e+01
3.075000e+03 1.73730474e+01
3.086010e+03 1.74218917e+01
3.100000e+03 1.74845545e+01
3.103810e+03 1.75016200e+01
3.112720e+03 1.75420880e+01
3.121620e+03 1.75834492e+01
3.124250e+03 1.75962128e+01
3.126070e+03 1.76050454e+01
3.128290e+03 1.76163972e+01
3.130520e+03 1.76286106e+01
3.132750e+03 1.76426020e+01
