In-115(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
161.535 0.424821
161.757 0.560420
161.868 0.690308
161.979 0.940234
162.035 1.17202
162.090 1.56706
162.146 2.31060
162.201 3.81516
162.246 5.80988
162.290 7.14608
162.335 5.84999
162.379 3.89446
162.414 2.85206
162.449 2.20134
162.520 1.53268
162.590 1.24794
162.660 1.12219
162.801 1.06843
162.941 1.13560
163.222 1.48697
163.504 2.20385
163.644 2.81202
163.785 3.73218
163.925 5.21345
164.066 7.81516
164.136 9.92667
164.206 13.0316
164.277 17.8617
164.347 25.9491
164.417 41.0418
164.452 54.0037
164.488 73.9778
164.523 107.070
164.558 166.420
164.575 214.909
164.593 284.622
164.611 388.061
164.628 539.284
164.654 858.360
164.680 1069.20
164.706 858.186
164.732 539.083
164.758 332.832
164.784 216.746
164.810 149.648
164.836 108.575
164.862 81.9881
164.888 63.9306
164.940 41.8326
164.992 29.4179
165.044 21.7871
165.148 13.3172
165.252 8.97401
165.356 6.46194
165.460 4.88167
165.564 3.82565
165.772 2.54711
165.980 1.83821
166.188 1.41091
166.396 1.14234
166.812 0.881697
167.020 0.860021
167.227 0.932842
167.435 1.18901
167.539 1.46767
167.643 1.97203
167.747 2.98541
167.799 3.90976
167.851 5.42488
167.903 8.14195
167.929 10.3758
167.955 13.6826
167.981 18.8270
168.007 27.3120
168.033 42.1926
168.059 68.9848
168.085 110.169
168.110 137.608
168.135 110.145
168.161 68.9492
168.184 44.3478
168.207 29.8784
168.230 21.1366
168.253 15.6497
168.299 9.49658
168.345 6.36720
168.391 4.57773
168.437 3.46364
168.530 2.20913
168.622 1.55617
168.714 1.17276
168.898 0.761164
169.083 0.553983
169.267 0.433419
169.636 0.302821
170.005 0.235120
170.373 0.194567
171.111 0.150279
171.849 0.130721
172.586 0.130267
172.955 0.143110
173.324 0.183878
173.508 0.236536
173.600 0.284422
173.692 0.362778
173.785 0.503198
173.877 0.789863
173.923 1.05667
173.969 1.49812
174.015 2.27611
174.061 3.68927
174.106 5.83915
174.150 7.27195
174.195 5.84135
174.239 3.69258
174.267 2.72746
174.296 2.05817
174.352 1.27246
174.409 0.867355
174.465 0.638207
174.578 0.406856
174.691 0.300495
174.917 0.211769
175.143 0.180389
175.595 0.171573
176.047 0.200207
176.499 0.280198
176.725 0.362487
176.951 0.511683
177.177 0.822241
177.290 1.12114
177.403 1.64426
177.516 2.68638
177.573 3.64551
177.629 5.24405
177.686 8.19554
177.714 10.7062
177.742 14.5333
177.771 20.7888
177.799 31.7693
177.827 53.0637
177.841 71.0446
177.855 96.8708
177.866 123.942
177.878 154.866
177.900 193.492
177.922 154.846
177.945 96.8461
177.962 66.4788
177.979 47.0077
177.996 34.4669
178.014 26.1386
178.048 16.3319
178.082 11.0959
178.117 8.00952
178.151 6.04914
178.220 3.80317
178.289 2.61882
178.358 1.92063
178.495 1.17453
178.633 0.806135
178.770 0.598220
179.046 0.385542
179.321 0.285846
179.596 0.232746
180.146 0.185091
181.247 0.175057
182.347 0.220817
182.898 0.268545
183.448 0.345084
183.998 0.473564
184.549 0.709042
184.824 0.907135
185.099 1.20846
185.374 1.69903
185.649 2.57709
185.787 3.30328
185.925 4.39158
186.062 6.12911
186.200 9.15213
186.337 15.1311
186.406 20.5881
186.475 29.6003
186.544 46.0103
186.578 59.7389
186.613 80.4340
186.647 113.453
186.681 169.919
186.699 213.706
186.716 274.271
186.733 359.020
186.750 475.997
186.780 761.931
186.810 952.660
186.840 761.773
186.870 475.816
186.901 288.677
186.932 185.720
186.963 127.184
186.994 91.8457
187.024 69.0637
187.055 53.6823
187.117 34.9924
187.179 24.5310
187.241 18.1339
187.364 11.0479
187.487 7.42498
187.611 5.33239
187.734 4.01658
187.858 3.13681
188.105 2.06926
188.352 1.47232
188.599 1.10564
188.846 0.865057
189.339 0.581745
189.833 0.434998
190.327 0.377071
190.574 0.423502
190.698 0.553335
190.759 0.729771
190.821 1.12344
190.866 1.61392
190.910 1.94137
190.955 1.61524
190.999 1.12599
191.034 0.867059
191.069 0.703970
191.138 0.534318
191.277 0.430915
191.416 0.431018
191.555 0.491341
191.694 0.640143
191.764 0.778873
191.833 1.00263
191.903 1.38837
191.972 2.11969
192.007 2.74689
192.042 3.69452
192.076 5.18074
192.111 7.50964
192.156 11.9004
192.200 14.8225
192.245 11.8987
192.289 7.50422
192.322 5.25256
192.355 3.78864
192.389 2.83428
192.422 2.19588
192.488 1.43433
192.554 1.02279
192.621 0.777886
192.687 0.621032
192.820 0.439379
192.952 0.342202
193.085 0.284425
193.350 0.223499
193.615 0.199245
193.881 0.205147
194.013 0.229793
194.146 0.295708
194.212 0.367405
194.278 0.503125
194.345 0.790730
194.378 1.05656
194.411 1.46502
194.456 2.26616
194.500 2.79976
194.545 2.26404
194.589 1.46041
194.621 1.05798
194.654 0.793851
194.718 0.501426
194.782 0.359178
194.847 0.281259
194.976 0.203880
195.104 0.167968
195.362 0.135955
195.620 0.122043
196.650 0.107425
197.681 0.119092
197.938 0.130807
198.196 0.157992
198.325 0.188710
198.453 0.255257
198.518 0.322495
198.582 0.445493
198.647 0.698769
198.679 0.927748
198.711 1.27546
198.756 1.97193
198.800 2.43650
198.845 1.97384
198.889 1.27895
198.924 0.910074
198.959 0.676315
199.028 0.428374
199.097 0.313372
199.167 0.253062
199.306 0.196796
199.445 0.173841
200.000 0.159814
200.694 0.183113
201.388 0.229596
202.081 0.310404
202.775 0.460317
203.122 0.587255
203.469 0.781358
203.816 1.09950
204.163 1.67442
204.336 2.15461
204.510 2.88060
204.683 4.05537
204.856 6.13868
204.943 7.84792
205.030 10.3844
205.117 14.3852
205.203 21.2319
205.247 26.6493
205.290 34.3997
205.333 46.0854
205.377 64.7386
205.420 97.2145
205.442 123.119
205.463 160.168
205.485 215.847
205.507 303.025
205.529 445.430
205.550 679.878
205.575 1088.47
205.600 1359.27
205.625 1086.54
205.650 679.671
205.674 424.919
205.698 279.437
205.722 194.288
205.746 141.848
205.770 107.494
205.794 84.0420
205.843 55.2343
205.891 38.9225
205.939 28.8784
206.035 17.6742
206.131 11.9069
206.228 8.56182
206.324 6.45228
206.420 5.03889
206.613 3.31901
206.805 2.35435
206.998 1.75971
207.190 1.36767
207.575 0.899640
207.960 0.642350
208.346 0.486822
208.731 0.386797
209.501 0.275662
210.271 0.237692
210.656 0.252099
211.041 0.328951
211.234 0.438602
211.330 0.541182
211.426 0.711482
211.522 1.02143
211.619 1.66369
211.667 2.27155
211.715 3.28997
211.763 5.11982
