Y-89(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
28221.6 9.63357
28222.1 6.04523
28222.7 3.76739
28223.2 2.48939
28223.8 1.73709
28224.3 1.27012
28224.9 0.960055
28225.4 0.752314
28226.5 0.495738
28227.6 0.349211
28228.6 0.259572
28230.8 0.159315
28233.0 0.107437
28235.1 0.0774518
28239.5 0.0457321
28243.8 0.0302130
28248.1 0.0215219
28256.8 0.0126221
28265.5 0.00838925
28274.1 0.00605723
28291.5 0.00370975
28326.1 0.00202558
28360.8 0.00145152
28430.1 0.00109295
28499.4 0.00103731
28638.0 0.00121087
28776.7 0.00166481
28915.3 0.00261856
28984.6 0.00350483
29053.9 0.00499495
29123.3 0.00780595
29157.9 0.0102645
29192.6 0.0141660
29227.2 0.0209072
29261.9 0.0339949
29279.2 0.0455894
29296.6 0.0638532
29313.9 0.0939937
29331.2 0.144600
29350.6 0.230779
29370.0 0.288315
29389.4 0.231039
29408.8 0.145911
29420.9 0.108672
29433.0 0.0829298
29457.2 0.0530915
29481.4 0.0387020
29505.6 0.0321244
29529.7 0.0305567
29553.9 0.0336608
29566.0 0.0374231
29578.1 0.0432186
29590.2 0.0517196
29602.3 0.0637013
29613.7 0.0785820
29625.2 0.0957336
29648.0 0.116856
29659.4 0.109879
29670.9 0.0938538
29693.7 0.0599882
29712.9 0.0409384
29732.0 0.0291447
29751.1 0.0217444
29770.3 0.0169220
29808.6 0.0113457
29846.9 0.00846558
29885.1 0.00690680
29923.4 0.00615660
29961.7 0.00608456
30000.0 0.00688999
30037.1 0.00936251
30055.7 0.0120367
30074.3 0.0169734
30092.8 0.0273222
30102.1 0.0372493
30111.4 0.0544887
30120.7 0.0883687
30125.3 0.118989
30130.0 0.169034
30134.6 0.258706
30136.9 0.332481
30139.2 0.441839
30141.6 0.612342
30143.9 0.894536
30146.2 1.39203
30148.5 2.29894
30150.8 3.67815
