50-Sn_n-g
> 50-Sn-112:0.009700
> 50-Sn-114:0.006600
> 50-Sn-115:0.003400
> 50-Sn-116:0.145400
> 50-Sn-117:0.076800
> 50-Sn-118:0.242200
> 50-Sn-119:0.085900
> 50-Sn-120:0.325800
> 50-Sn-122:0.046300
> 50-Sn-124:0.057900
6.620140e+01 7.48795604e-02
6.626600e+01 7.27957956e-02
6.647140e+01 6.86658760e-02
6.658510e+01 6.69563907e-02
6.660650e+01 6.66574937e-02
6.674150e+01 6.58657689e-02
6.685780e+01 6.74220331e-02
6.687650e+01 6.78489714e-02
6.694400e+01 7.16530495e-02
6.701150e+01 7.88872803e-02
6.705260e+01 8.79407471e-02
6.707900e+01 9.37678097e-02
6.711270e+01 1.07366157e-01
6.714650e+01 1.29443630e-01
6.718030e+01 1.68236271e-01
6.721400e+01 2.44273211e-01
6.723090e+01 3.11785631e-01
6.724780e+01 4.17818688e-01
6.726460e+01 5.91855473e-01
6.728150e+01 8.81269621e-01
6.730080e+01 1.38014491e+00
6.732000e+01 1.71275614e+00
6.733930e+01 1.37996829e+00
6.735850e+01 8.80629663e-01
6.737440e+01 6.03169558e-01
6.739040e+01 4.31400782e-01
6.740630e+01 3.23984819e-01
6.742230e+01 2.54215877e-01
6.745410e+01 1.73776777e-01
6.748600e+01 1.31574723e-01
6.751790e+01 1.06851838e-01
6.752010e+01 1.05767696e-01
6.754980e+01 9.11406975e-02
6.761350e+01 7.29198674e-02
6.767730e+01 6.29584078e-02
6.774100e+01 5.67439593e-02
6.786850e+01 4.92819631e-02
6.799600e+01 4.46874956e-02
6.804150e+01 4.34803988e-02
6.812350e+01 4.18197594e-02
6.827150e+01 3.97088282e-02
6.837860e+01 3.81866088e-02
6.838240e+01 3.81477534e-02
6.845510e+01 3.74060986e-02
6.875000e+01 3.44723068e-02
6.888860e+01 3.31057288e-02
6.922510e+01 3.02946991e-02
6.939000e+01 2.94152232e-02
6.939860e+01 2.93729647e-02
6.979410e+01 2.76434346e-02
6.991430e+01 2.71274166e-02
7.032500e+01 2.53792845e-02
7.040880e+01 2.51043391e-02
7.041870e+01 2.50880105e-02
7.068020e+01 2.47089960e-02
7.079250e+01 2.45530028e-02
7.102620e+01 2.45646845e-02
7.125990e+01 2.51102251e-02
7.131680e+01 2.55518376e-02
7.143870e+01 2.65230590e-02
