W-182(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1081.66 0.364610
1082.00 0.387945
1082.68 0.478000
1083.02 0.549387
1083.35 0.641729
1083.69 0.758961
1084.03 0.904850
1084.71 1.30176
1085.39 1.88247
1086.07 2.71857
1086.75 3.91555
1087.43 5.63274
1088.11 8.11807
1088.79 11.7712
1089.47 17.2736
1090.15 25.7996
1090.83 39.5966
1091.50 63.2373
1092.18 107.052
1092.52 143.628
1092.86 197.679
1093.20 281.322
1093.54 415.906
1093.88 643.439
1094.22 1032.31
1094.61 1740.80
1095.00 2292.26
1095.39 1937.93
1095.78 1279.76
1096.03 960.821
1096.29 735.046
1096.80 463.931
1097.30 319.678
1097.81 235.810
1098.32 182.829
1098.83 147.341
1099.84 103.899
1100.86 79.1272
1101.87 63.5055
1103.90 45.3601
1105.93 35.3765
1107.96 29.1607
1109.99 24.9500
1112.02 21.9186
1116.08 17.8364
1120.14 15.1878
1124.20 13.2872
1128.26 11.8088
1136.38 9.45169
1140.44 8.35301
1144.49 7.16198
1148.55 5.70562
1150.58 4.78691
1152.61 3.66647
1153.63 3.01297
1154.64 2.30290
1155.66 1.58436
1156.67 1.04541
1156.93 0.998241
1157.18 1.02093
1157.44 1.14501
1157.69 1.41567
1157.82 1.62748
1157.94 1.90511
1158.07 2.26342
1158.20 2.72115
1158.45 4.03656
1158.70 6.12577
1158.96 9.49274
1159.21 15.0160
1159.47 24.4071
1159.72 41.1743
1159.85 54.6419
1159.97 73.8379
1160.10 102.055
1160.23 144.692
1160.35 213.149
1160.48 328.223
1160.61 532.288
1160.73 899.855
1160.87 1539.36
1161.00 2042.08
1161.13 1730.41
1161.27 1149.50
1161.38 804.084
1161.49 584.309
1161.60 442.268
1161.71 347.261
1161.94 233.599
1162.16 171.141
1162.38 133.099
1162.60 108.095
1163.05 78.0093
1163.49 61.0189
1163.93 50.3210
1164.38 43.0560
1164.82 37.8411
1165.71 30.9076
1166.60 26.5529
1167.49 23.5767
1168.37 21.4188
1170.15 18.4995
1171.93 16.6141
1173.70 15.2888
1175.48 14.3007
1179.03 12.9106
1182.59 11.9637
1189.69 10.7187
1196.80 9.90185
1203.90 9.30090
1218.11 8.42827
1232.32 7.77212
1246.53 7.19306
1253.64 6.88956
1260.74 6.52525
1264.30 6.28289
1266.07 6.12868
1267.85 5.93415
1269.63 5.66631
1270.51 5.48281
1271.40 5.24014
1271.85 5.08448
1272.29 4.89487
1272.73 4.65802
1273.18 4.35521
1273.40 4.17278
1273.62 3.96944
1273.84 3.75591
1274.07 3.57962
1274.18 3.55239
1274.29 3.63564
1274.40 3.96614
1274.51 4.88669
1274.57 5.83530
1274.62 7.39653
1274.65 8.58114
1274.68 10.1670
1274.71 12.3252
1274.73 15.1962
1274.76 19.4060
1274.79 25.5763
1274.82 34.9692
1274.84 49.2899
1274.86 60.0270
1274.87 74.2193
1274.89 93.3515
1274.90 119.707
1274.91 156.850
1274.93 210.357
1274.94 288.637
1274.95 393.096
1274.98 663.313
1275.00 876.117
1275.02 741.002
1275.05 489.235
1275.07 312.350
1275.09 214.929
1275.12 156.843
1275.14 120.232
1275.16 95.0030
1275.19 78.2654
1275.23 57.0006
1275.28 44.2364
1275.33 36.2309
1275.42 26.7733
1275.51 21.4773
1275.60 18.1918
1275.70 15.9830
1275.79 14.4234
1275.97 12.3410
1276.16 11.0456
1276.35 10.1577
1276.53 9.51760
1276.90 8.64682
1277.27 8.07831
1278.01 7.36105
1278.76 6.89822
1279.50 6.54664
1280.98 5.96006
1281.72 5.66799
1282.46 5.34802
1283.21 4.97671
1283.95 4.52712
1284.32 4.26487
1284.69 3.98010
1285.06 3.69326
1285.43 3.48489
1285.62 3.48547
