83-Bi_n-g
> 83-Bi-209:1.000000
1.743560e+04 6.53074000e-02
1.743650e+04 1.02023000e-01
1.743690e+04 1.32932000e-01
1.743740e+04 1.78548000e-01
1.743790e+04 2.53104000e-01
1.743830e+04 3.78035000e-01
1.743880e+04 6.15067000e-01
1.743920e+04 1.06704000e+00
1.743960e+04 1.72020000e+00
1.744000e+04 2.14284000e+00
1.744040e+04 1.70262000e+00
1.744080e+04 1.06695000e+00
1.744120e+04 6.67222000e-01
1.744150e+04 4.43544000e-01
1.744190e+04 3.10887000e-01
1.744230e+04 2.28063000e-01
1.744300e+04 1.36262000e-01
1.744380e+04 8.99654000e-02
1.744450e+04 6.36424000e-02
1.744520e+04 4.73283000e-02
1.744670e+04 2.90632000e-02
1.744820e+04 1.96354000e-02
1.744970e+04 1.41519000e-02
1.745260e+04 8.35935000e-03
1.745560e+04 5.52583000e-03
1.745860e+04 3.93269000e-03
1.746450e+04 2.29970000e-03
1.747040e+04 1.52250000e-03
1.747630e+04 1.09285000e-03
1.748820e+04 6.58865000e-04
1.751190e+04 3.42959000e-04
1.753550e+04 2.30612000e-04
1.758290e+04 1.49741000e-04
1.763030e+04 1.23291000e-04
1.767760e+04 1.17579000e-04
1.772500e+04 1.36594000e-04
1.774870e+04 1.72968000e-04
1.776050e+04 2.11449000e-04
1.777240e+04 2.83512000e-04
1.778420e+04 4.40267000e-04
1.779010e+04 5.97848000e-04
1.779610e+04 8.86866000e-04
1.780200e+04 1.50641000e-03
1.780490e+04 2.12370000e-03
1.780790e+04 3.24768000e-03
1.781090e+04 5.63312000e-03
1.781230e+04 7.98561000e-03
1.781380e+04 1.22208000e-02
1.781530e+04 2.10478000e-02
1.781600e+04 2.95825000e-02
1.781680e+04 4.46077000e-02
1.781750e+04 7.48246000e-02
1.781830e+04 1.50283000e-01
1.781900e+04 4.36035000e-01
1.781920e+04 6.43715000e-01
1.781940e+04 1.00427000e+00
1.781950e+04 1.34025000e+00
1.781960e+04 1.79128000e+00
1.781970e+04 2.99582000e+00
1.781980e+04 4.55972000e+00
1.781990e+04 5.61826000e+00
1.782000e+04 7.06111000e+00
1.782010e+04 5.61816000e+00
1.782030e+04 3.52395000e+00
1.782040e+04 2.13234000e+00
1.782050e+04 1.38205000e+00
1.782070e+04 9.26721000e-01
1.782080e+04 6.73534000e-01
1.782090e+04 4.99288000e-01
1.782110e+04 3.90706000e-01
1.782130e+04 2.57022000e-01
1.782160e+04 1.79190000e-01
1.782190e+04 1.33264000e-01
1.782240e+04 8.11527000e-02
1.782290e+04 5.41449000e-02
1.782350e+04 3.88913000e-02
1.782450e+04 2.28397000e-02
1.782560e+04 1.49616000e-02
1.782660e+04 1.05935000e-02
1.782880e+04 6.10696000e-03
1.783090e+04 3.97975000e-03
1.783300e+04 2.80680000e-03
1.783730e+04 1.62677000e-03
1.784150e+04 1.07214000e-03
