57-La_n-tot
> 57-La-139:1.000000
1.207640e+03 7.55826000e+00
1.207700e+03 8.05143000e+00
1.207750e+03 8.91177000e+00
1.207810e+03 1.06042000e+01
1.207840e+03 1.21707000e+01
1.207860e+03 1.46379000e+01
1.207890e+03 1.92286000e+01
1.207910e+03 2.30409000e+01
1.207920e+03 2.82471000e+01
1.207930e+03 3.69277000e+01
1.207950e+03 5.14251000e+01
1.207960e+03 7.72848000e+01
1.207970e+03 1.22781000e+02
1.207990e+03 1.94318000e+02
1.208000e+03 2.39739000e+02
1.208010e+03 1.94317000e+02
1.208030e+03 1.22778000e+02
1.208040e+03 8.24485000e+01
1.208050e+03 5.72890000e+01
1.208060e+03 4.21801000e+01
1.208070e+03 3.26734000e+01
1.208100e+03 2.20675000e+01
1.208120e+03 1.68556000e+01
1.208150e+03 1.37209000e+01
1.208170e+03 1.18445000e+01
1.208220e+03 9.66885000e+00
1.208260e+03 8.53485000e+00
1.208310e+03 7.86930000e+00
1.208400e+03 7.15635000e+00
1.208500e+03 6.79580000e+00
1.208590e+03 6.58867000e+00
1.208780e+03 6.36119000e+00
1.209160e+03 6.15543000e+00
1.209530e+03 6.04522000e+00
1.210290e+03 5.89695000e+00
1.211040e+03 5.77972000e+00
1.212550e+03 5.57971000e+00
1.214060e+03 5.40603000e+00
1.220090e+03 4.86991000e+00
1.226120e+03 4.49620000e+00
1.232150e+03 4.22118000e+00
1.238180e+03 4.01073000e+00
1.244210e+03 3.84528000e+00
1.247230e+03 3.77594000e+00
1.250240e+03 3.71604000e+00
1.251750e+03 3.69200000e+00
1.253260e+03 3.67991000e+00
1.254010e+03 3.68885000e+00
1.254760e+03 3.73931000e+00
1.255140e+03 3.82054000e+00
1.255330e+03 3.90445000e+00
1.255520e+03 4.05788000e+00
1.255710e+03 4.38498000e+00
1.255800e+03 4.70324000e+00
1.255900e+03 5.26790000e+00
1.255940e+03 5.73000000e+00
1.255990e+03 6.41522000e+00
1.256040e+03 7.49312000e+00
1.256080e+03 9.32999000e+00
1.256130e+03 1.28390000e+01
1.256150e+03 1.60078000e+01
1.256180e+03 2.08286000e+01
1.256200e+03 2.94914000e+01
1.256220e+03 4.53493000e+01
1.256240e+03 5.96871000e+01
1.256250e+03 8.19935000e+01
1.256260e+03 1.18112000e+02
1.256270e+03 1.76018000e+02
1.256290e+03 2.80144000e+02
1.256300e+03 3.48215000e+02
1.256310e+03 2.80147000e+02
1.256330e+03 1.76024000e+02
1.256340e+03 1.22022000e+02
1.256350e+03 8.94282000e+01
1.256360e+03 6.60198000e+01
1.256370e+03 5.17738000e+01
1.256390e+03 3.38293000e+01
1.256410e+03 2.45176000e+01
1.256430e+03 1.86577000e+01
1.256450e+03 1.49331000e+01
1.256490e+03 1.07352000e+01
1.256540e+03 8.45155000e+00
1.256580e+03 7.13280000e+00
1.256620e+03 6.26799000e+00
1.256660e+03 5.69595000e+00
1.256740e+03 4.98259000e+00
1.256830e+03 4.57744000e+00
1.256990e+03 4.15768000e+00
1.257160e+03 3.95512000e+00
1.257320e+03 3.84149000e+00
1.257660e+03 3.72368000e+00
1.258320e+03 3.63101000e+00
1.258980e+03 3.59135000e+00
1.260310e+03 3.54989000e+00
1.261640e+03 3.52280000e+00
1.264300e+03 3.48012000e+00
1.266950e+03 3.44338000e+00
1.272260e+03 3.37872000e+00
1.277570e+03 3.32223000e+00
1.288190e+03 3.22708000e+00
1.298820e+03 3.14956000e+00
1.320060e+03 3.02987000e+00
1.341300e+03 2.94069000e+00
1.383790e+03 2.81325000e+00
1.405040e+03 2.76477000e+00
1.415660e+03 2.74328000e+00
1.420970e+03 2.73388000e+00
1.423620e+03 2.73226000e+00
1.424950e+03 2.74267000e+00
1.425620e+03 2.79065000e+00
1.425780e+03 2.83942000e+00
1.425950e+03 2.97257000e+00
1.426030e+03 3.14776000e+00
1.426110e+03 3.60160000e+00
1.426160e+03 4.17120000e+00
1.426200e+03 5.48064000e+00
1.426220e+03 6.95153000e+00
1.426240e+03 9.73105000e+00
1.426250e+03 1.25212000e+01
1.426260e+03 1.66375000e+01
1.426270e+03 2.35132000e+01
1.426280e+03 3.55371000e+01
1.426290e+03 5.50849000e+01
1.426300e+03 6.84629000e+01
1.426310e+03 5.50908000e+01
1.426320e+03 3.55444000e+01
1.426330e+03 2.74880000e+01
1.426340e+03 2.10596000e+01
1.426350e+03 1.39378000e+01
1.426360e+03 1.01500000e+01
1.426370e+03 7.95971000e+00
1.426400e+03 5.69832000e+00
1.426430e+03 4.62936000e+00
1.426480e+03 3.69258000e+00
1.426530e+03 3.30735000e+00
1.426630e+03 3.00149000e+00
1.426740e+03 2.88517000e+00
1.426950e+03 2.79736000e+00
1.427150e+03 2.76515000e+00
1.427990e+03 2.73235000e+00
1.429650e+03 2.72366000e+00
1.431310e+03 2.73302000e+00
1.431730e+03 2.74636000e+00
1.432150e+03 2.78547000e+00
1.432350e+03 2.83963000e+00
1.432560e+03 2.98900000e+00
1.432670e+03 3.18776000e+00
1.432770e+03 3.71132000e+00
1.432820e+03 4.37100000e+00
1.432850e+03 4.97468000e+00
1.432870e+03 5.97433000e+00
1.432900e+03 7.80159000e+00
1.432910e+03 9.33615000e+00
1.432930e+03 1.16580000e+01
1.432940e+03 1.53809000e+01
1.432950e+03 2.17901000e+01
1.432970e+03 3.37420000e+01
1.432980e+03 5.64398000e+01
