46-Pd_n-tot
> 46-Pd-102:0.011554
> 46-Pd-104:0.126189
> 46-Pd-105:0.252945
> 46-Pd-106:0.309583
> 46-Pd-108:0.299728
8.658150e+01 9.22147625e+01
8.661610e+01 1.39888292e+02
8.663330e+01 1.76583671e+02
8.665060e+01 2.25552436e+02
8.668530e+01 3.61444622e+02
8.672000e+01 4.55909447e+02
8.675470e+01 3.70833788e+02
8.678940e+01 2.37417776e+02
8.681520e+01 1.68514674e+02
8.683770e+01 1.29186631e+02
8.684100e+01 1.23421126e+02
8.686680e+01 9.38703765e+01
8.689260e+01 7.39651850e+01
8.694420e+01 5.01700258e+01
8.699580e+01 3.72841391e+01
8.704740e+01 2.96267555e+01
8.709900e+01 2.47523507e+01
8.715530e+01 2.17244948e+01
8.720220e+01 1.92555575e+01
8.730550e+01 1.65277076e+01
8.740870e+01 1.50600348e+01
8.747280e+01 1.45622879e+01
8.750000e+01 1.43968512e+01
8.751190e+01 1.43244694e+01
8.761510e+01 1.40824459e+01
8.779040e+01 1.42098316e+01
8.782150e+01 1.43128793e+01
8.802790e+01 1.54415758e+01
8.810800e+01 1.59672814e+01
8.823430e+01 1.73217047e+01
8.842550e+01 1.94903195e+01
8.844070e+01 1.97700791e+01
8.874310e+01 2.54867311e+01
8.885360e+01 2.90046918e+01
8.906070e+01 3.56696276e+01
8.926640e+01 4.76682694e+01
8.937820e+01 5.42091696e+01
8.953700e+01 6.94968381e+01
8.967920e+01 8.97430799e+01
8.969580e+01 9.21082041e+01
8.985460e+01 1.27324289e+02
9.001340e+01 1.85976717e+02
9.009210e+01 2.39089018e+02
9.017220e+01 2.93152561e+02
9.025160e+01 3.82600415e+02
9.033090e+01 5.16626850e+02
9.041030e+01 7.28034083e+02
9.048970e+01 1.08251055e+03
9.056910e+01 1.71702002e+03
9.064850e+01 2.89499654e+03
9.072430e+01 4.69840133e+03
9.080000e+01 5.95679847e+03
9.087580e+01 4.83463484e+03
9.091770e+01 3.85640079e+03
9.095150e+01 3.06727834e+03
9.102220e+01 1.97490045e+03
9.109290e+01 1.33281913e+03
9.116360e+01 9.47982477e+02
9.123430e+01 7.05636583e+02
9.137570e+01 4.34138423e+02
9.151700e+01 2.95295151e+02
9.165840e+01 2.15287304e+02
9.174340e+01 1.85092012e+02
9.179980e+01 1.65058664e+02
9.208260e+01 1.07811175e+02
9.236530e+01 7.75122479e+01
9.264810e+01 5.94536130e+01
9.293090e+01 4.77648005e+01
9.321360e+01 3.97272820e+01
9.339470e+01 3.64891025e+01
9.377920e+01 2.96226756e+01
9.434470e+01 2.36842710e+01
9.491020e+01 1.98558326e+01
9.504600e+01 1.92227149e+01
9.547580e+01 1.72233850e+01
9.660680e+01 1.38895211e+01
9.669740e+01 1.37299387e+01
9.773790e+01 1.19033953e+01
9.834870e+01 1.11992291e+01
9.886890e+01 1.06016143e+01
9.917430e+01 1.03554352e+01
1.000000e+02 9.69505834e+00
1.002540e+02 9.55660842e+00
1.005080e+02 9.42545091e+00
1.006340e+02 9.36861388e+00
1.007610e+02 9.32887600e+00
1.008250e+02 9.32620863e+00
1.008880e+02 9.35446122e+00
1.009200e+02 9.39195967e+00
1.009520e+02 9.45984949e+00
1.009830e+02 9.58075403e+00
1.010150e+02 9.78832271e+00
1.010530e+02 1.01662705e+01
1.010900e+02 1.04122315e+01
1.011280e+02 1.01270128e+01
1.011650e+02 9.70964020e+00
1.011940e+02 9.48292713e+00
1.012240e+02 9.33327134e+00
1.012530e+02 9.23311686e+00
1.012830e+02 9.16221807e+00
1.013410e+02 9.07001535e+00
1.014000e+02 9.01230175e+00
1.014590e+02 8.97638698e+00
1.015180e+02 8.96358127e+00
1.015760e+02 8.99371042e+00
1.015800e+02 8.99998673e+00
1.016060e+02 9.04516589e+00
1.016350e+02 9.13629562e+00
1.016730e+02 9.31677074e+00
1.017100e+02 9.43226002e+00
