25-Mn_n-tot
>  25-Mn-55:1.000000
1.163460e+04 1.11494000e+01
1.163490e+04 9.26624000e+00
1.163510e+04 8.40215000e+00
1.163560e+04 7.73213000e+00
1.163620e+04 7.49381000e+00
1.163670e+04 7.38411000e+00
1.163870e+04 7.24892000e+00
1.164290e+04 7.19773000e+00
1.165120e+04 7.16509000e+00
1.166770e+04 7.11989000e+00
1.170090e+04 7.03612000e+00
1.176710e+04 6.87509000e+00
1.189960e+04 6.57200000e+00
1.216460e+04 6.02939000e+00
1.242960e+04 5.55486000e+00
1.256220e+04 5.33906000e+00
1.259530e+04 5.28780000e+00
1.262840e+04 5.23935000e+00
1.264500e+04 5.21829000e+00
1.266150e+04 5.20591000e+00
1.266980e+04 5.21149000e+00
1.267810e+04 5.25042000e+00
1.268220e+04 5.31482000e+00
1.268430e+04 5.38129000e+00
1.268640e+04 5.50307000e+00
1.268840e+04 5.75852000e+00
1.268950e+04 6.00634000e+00
1.269050e+04 6.43501000e+00
1.269160e+04 7.29256000e+00
1.269210e+04 8.07782000e+00
1.269260e+04 9.34533000e+00
1.269310e+04 1.16883000e+01
1.269340e+04 1.36477000e+01
1.269360e+04 1.65988000e+01
1.269390e+04 2.12985000e+01
1.269410e+04 2.93056000e+01
1.269440e+04 4.39906000e+01
1.269470e+04 7.06035000e+01
1.269490e+04 1.09284000e+02
1.269510e+04 1.34859000e+02
1.269530e+04 1.09424000e+02
1.269560e+04 7.07727000e+01
1.269580e+04 4.41413000e+01
1.269610e+04 2.98426000e+01
1.269630e+04 2.18747000e+01
1.269660e+04 1.72718000e+01
1.269680e+04 1.41992000e+01
1.269710e+04 1.22125000e+01
1.269750e+04 9.73992000e+00
1.269800e+04 8.33927000e+00
1.269850e+04 7.50283000e+00
1.269950e+04 6.57511000e+00
1.270050e+04 6.09621000e+00
1.270150e+04 5.82194000e+00
1.270350e+04 5.53072000e+00
1.270540e+04 5.38742000e+00
1.270740e+04 5.30572000e+00
1.271130e+04 5.21915000e+00
1.271920e+04 5.14763000e+00
1.272710e+04 5.11428000e+00
1.274290e+04 5.07503000e+00
1.275860e+04 5.04607000e+00
1.279010e+04 4.99580000e+00
1.282160e+04 4.94878000e+00
1.294770e+04 4.77045000e+00
1.319980e+04 4.43880000e+00
1.370410e+04 3.84731000e+00
1.420830e+04 3.32485000e+00
1.446040e+04 3.08222000e+00
1.458650e+04 2.96460000e+00
1.464950e+04 2.90683000e+00
1.468100e+04 2.87916000e+00
1.469680e+04 2.86949000e+00
1.470470e+04 2.88053000e+00
1.470860e+04 2.94337000e+00
1.471060e+04 3.15968000e+00
1.471110e+04 3.34206000e+00
1.471160e+04 3.74442000e+00
1.471210e+04 4.89622000e+00
1.471230e+04 6.45456000e+00
1.471260e+04 9.78266000e+00
1.471270e+04 1.40823000e+01
1.471290e+04 1.67459000e+01
1.471310e+04 1.38422000e+01
1.471330e+04 9.79941000e+00
1.471350e+04 6.46819000e+00
1.471370e+04 4.94870000e+00
1.471420e+04 3.78922000e+00
1.471470e+04 3.36649000e+00
1.471520e+04 3.17680000e+00
1.471700e+04 2.94467000e+00
1.472080e+04 2.86911000e+00
1.472840e+04 2.84199000e+00
1.474350e+04 2.82283000e+00
1.477380e+04 2.79401000e+00
1.483440e+04 2.73923000e+00
1.489500e+04 2.68554000e+00
1.492530e+04 2.66083000e+00
1.494040e+04 2.65658000e+00
1.494800e+04 2.68572000e+00
1.494990e+04 2.71979000e+00
1.495180e+04 2.81342000e+00
1.495270e+04 2.93568000e+00
1.495370e+04 3.23780000e+00
1.495420e+04 3.60146000e+00
1.495460e+04 4.38604000e+00
1.495490e+04 5.19766000e+00
1.495510e+04 6.60216000e+00
1.495530e+04 9.55930000e+00
1.495550e+04 1.22036000e+01
1.495560e+04 1.61378000e+01
1.495570e+04 2.42940000e+01
1.495590e+04 2.97088000e+01
1.495610e+04 2.43355000e+01
1.495630e+04 1.61898000e+01
1.495640e+04 1.14849000e+01
1.495660e+04 8.63545000e+00
1.495670e+04 6.89897000e+00
1.495690e+04 5.79356000e+00
1.495720e+04 4.54555000e+00
1.495750e+04 3.90524000e+00
1.495810e+04 3.30718000e+00
1.495860e+04 3.05064000e+00
1.495980e+04 2.83521000e+00
1.496100e+04 2.74986000e+00
1.496340e+04 2.68267000e+00
1.496580e+04 2.65628000e+00
1.497530e+04 2.62309000e+00
1.499440e+04 2.59959000e+00
1.503250e+04 2.56426000e+00
1.510870e+04 2.49708000e+00
1.526110e+04 2.36485000e+00
1.556590e+04 2.10431000e+00
1.587070e+04 1.84609000e+00
1.602310e+04 1.71700000e+00
1.609930e+04 1.65347000e+00
1.613740e+04 1.62728000e+00
1.615640e+04 1.63717000e+00
1.616120e+04 1.65984000e+00
1.616590e+04 1.72951000e+00
1.616830e+04 1.82542000e+00
1.617070e+04 2.07979000e+00
1.617190e+04 2.39855000e+00
1.617310e+04 3.16154000e+00
1.617370e+04 4.02258000e+00
1.617430e+04 5.75699000e+00
1.617460e+04 7.40308000e+00
1.617490e+04 1.01484000e+01
1.617520e+04 1.50341000e+01
1.617540e+04 2.36279000e+01
1.617570e+04 3.71031000e+01
1.617600e+04 4.56906000e+01
1.617630e+04 3.66875000e+01
1.617660e+04 2.37290000e+01
1.617680e+04 1.72846000e+01
1.617700e+04 1.31580000e+01
1.617740e+04 8.40159000e+00
1.617770e+04 5.99516000e+00
1.617810e+04 4.64798000e+00
1.617890e+04 3.29507000e+00
1.617960e+04 2.67035000e+00
1.618120e+04 2.12912000e+00
1.618270e+04 1.91043000e+00
1.618570e+04 1.73576000e+00
1.618880e+04 1.66811000e+00
1.619490e+04 1.61361000e+00
1.620100e+04 1.59025000e+00
1.622530e+04 1.55087000e+00
1.627400e+04 1.50374000e+00
1.637150e+04 1.41748000e+00
1.656640e+04 1.24398000e+00
1.695630e+04 8.73490000e-01
1.715120e+04 6.66039000e-01
1.734610e+04 4.31821000e-01
1.744360e+04 3.01274000e-01
1.754100e+04 1.63679000e-01
1.758970e+04 9.70259000e-02
1.763850e+04 4.18971000e-02
1.766280e+04 2.58820000e-02
1.768720e+04 2.74411000e-02
1.769940e+04 4.01050000e-02
1.771160e+04 6.63716000e-02
1.772370e+04 1.15866000e-01
1.772980e+04 1.61483000e-01
1.773290e+04 2.20665000e-01
1.773440e+04 3.55025000e-01
1.773520e+04 6.92364000e-01
1.773550e+04 1.35321000e+00
1.773570e+04 2.23008000e+00
1.773590e+04 4.33426000e+00
1.773610e+04 6.85465000e+00
1.773620e+04 8.48987000e+00
1.773630e+04 6.86992000e+00
1.773650e+04 4.35520000e+00
1.773660e+04 2.71226000e+00
1.773670e+04 1.79926000e+00
1.773700e+04 1.00084000e+00
1.773760e+04 5.12194000e-01
1.773860e+04 3.17091000e-01
1.774080e+04 2.71739000e-01
1.774520e+04 3.06587000e-01
1.775390e+04 4.55851000e-01
1.776270e+04 7.07692000e-01
1.777140e+04 1.15005000e+00
1.777580e+04 1.50304000e+00
1.778010e+04 2.00791000e+00
1.778450e+04 2.76376000e+00
1.778880e+04 3.94998000e+00
1.779320e+04 5.94855000e+00
1.779760e+04 9.59955000e+00
1.779980e+04 1.26326000e+01
1.780190e+04 1.70625000e+01
1.780410e+04 2.37357000e+01
1.780630e+04 3.39209000e+01
1.781270e+04 8.19512000e+01
1.781430e+04 8.31440000e+01
1.781590e+04 7.50319000e+01
1.781910e+04 5.00382000e+01
1.782130e+04 3.66764000e+01
1.782340e+04 2.74292000e+01
1.782560e+04 2.11206000e+01
1.782780e+04 1.67541000e+01
1.783210e+04 1.14013000e+01
1.783640e+04 8.43890000e+00
1.784070e+04 6.66062000e+00
1.784500e+04 5.53667000e+00
1.785370e+04 4.30748000e+00
1.786230e+04 3.78032000e+00
1.787100e+04 3.63320000e+00
1.788830e+04 4.07473000e+00
1.790550e+04 5.44350000e+00
1.792280e+04 8.17145000e+00
1.794010e+04 1.34027000e+01
1.795740e+04 2.35018000e+01
1.799340e+04 6.10576000e+01
1.800240e+04 6.19395000e+01
1.801140e+04 5.63172000e+01
1.802940e+04 3.92672000e+01
1.804180e+04 2.98277000e+01
1.805420e+04 2.30914000e+01
1.806660e+04 1.83652000e+01
1.807900e+04 1.50010000e+01
1.810380e+04 1.07006000e+01
1.812860e+04 8.17746000e+00
1.815340e+04 6.56635000e+00
1.817820e+04 5.46898000e+00
1.822780e+04 4.09437000e+00
1.827740e+04 3.28256000e+00
1.832690e+04 2.75299000e+00
1.842610e+04 2.11146000e+00
1.862450e+04 1.51549000e+00
1.872360e+04 1.37102000e+00
1.877320e+04 1.32420000e+00
1.879800e+04 1.31518000e+00
1.881040e+04 1.34992000e+00
1.881350e+04 1.39220000e+00
1.881660e+04 1.51246000e+00
1.881820e+04 1.67393000e+00
1.881970e+04 2.09844000e+00
1.882050e+04 2.63383000e+00
1.882130e+04 3.89777000e+00
1.882170e+04 5.32628000e+00
1.882200e+04 8.16270000e+00
1.882220e+04 1.09537000e+01
1.882240e+04 1.53660000e+01
1.882260e+04 2.30929000e+01
1.882280e+04 3.79969000e+01
1.882300e+04 5.95698000e+01
1.882320e+04 7.49939000e+01
1.882340e+04 5.97241000e+01
1.882360e+04 3.81860000e+01
1.882370e+04 2.55711000e+01
1.882390e+04 1.82380000e+01
1.882400e+04 1.36028000e+01
1.882420e+04 1.05656000e+01
1.882450e+04 6.95188000e+00
1.882480e+04 5.12247000e+00
1.882540e+04 3.34791000e+00
1.882600e+04 2.57665000e+00
1.882720e+04 1.92420000e+00
1.882840e+04 1.66509000e+00
1.883080e+04 1.46251000e+00
