83-Bi_n-tot
> 83-Bi-209:1.000000
6.521660e+03 1.56693000e+01
6.522120e+03 1.86447000e+01
6.522580e+03 2.45627000e+01
6.522810e+03 2.99379000e+01
6.523050e+03 3.85862000e+01
6.523280e+03 5.32387000e+01
6.523510e+03 7.84753000e+01
6.523760e+03 1.19823000e+02
6.524000e+03 1.47370000e+02
6.524250e+03 1.19977000e+02
6.524490e+03 7.88999000e+01
6.524640e+03 6.08036000e+01
6.524800e+03 4.81202000e+01
6.525100e+03 3.30116000e+01
6.525400e+03 2.51146000e+01
6.525710e+03 2.06128000e+01
6.526010e+03 1.78235000e+01
6.526310e+03 1.59936000e+01
6.526920e+03 1.38316000e+01
6.527530e+03 1.26530000e+01
6.528140e+03 1.19443000e+01
6.529350e+03 1.11700000e+01
6.530570e+03 1.07790000e+01
6.531780e+03 1.05544000e+01
6.533000e+03 1.04133000e+01
6.534210e+03 1.03189000e+01
6.536640e+03 1.02039000e+01
6.539070e+03 1.01389000e+01
6.543930e+03 1.00712000e+01
6.548790e+03 1.00378000e+01
6.553650e+03 1.00183000e+01
6.563370e+03 9.99655000e+00
6.573090e+03 9.98419000e+00
6.582810e+03 9.97565000e+00
6.602250e+03 9.96331000e+00
6.641130e+03 9.94502000e+00
6.680010e+03 9.92927000e+00
6.757770e+03 9.89996000e+00
6.835530e+03 9.87178000e+00
7.146570e+03 9.76257000e+00
7.768640e+03 9.54104000e+00
8.390710e+03 9.29185000e+00
8.701750e+03 9.14827000e+00
8.857270e+03 9.06966000e+00
8.935030e+03 9.02835000e+00
8.973910e+03 9.00882000e+00
8.983630e+03 9.00601000e+00
8.993350e+03 9.00921000e+00
8.998210e+03 9.01968000e+00
9.003070e+03 9.05668000e+00
9.005500e+03 9.11222000e+00
9.006710e+03 9.16890000e+00
9.007930e+03 9.27312000e+00
9.009140e+03 9.49446000e+00
9.009750e+03 9.71125000e+00
9.010360e+03 1.00953000e+01
9.010960e+03 1.08748000e+01
9.011270e+03 1.16035000e+01
9.011570e+03 1.28308000e+01
9.011870e+03 1.51487000e+01
9.012030e+03 1.71555000e+01
9.012180e+03 2.02594000e+01
9.012330e+03 2.54747000e+01
9.012480e+03 3.50162000e+01
9.012560e+03 4.29225000e+01
9.012630e+03 5.45445000e+01
9.012710e+03 7.20453000e+01
9.012780e+03 9.82748000e+01
9.012890e+03 1.52021000e+02
9.013000e+03 1.88465000e+02
9.013110e+03 1.52753000e+02
9.013220e+03 9.91911000e+01
9.013280e+03 7.49382000e+01
9.013350e+03 5.80637000e+01
9.013490e+03 3.83727000e+01
9.013630e+03 2.81482000e+01
9.013770e+03 2.24013000e+01
9.013900e+03 1.88499000e+01
9.014040e+03 1.65462000e+01
9.014310e+03 1.38265000e+01
9.014590e+03 1.23448000e+01
9.014860e+03 1.14543000e+01
9.015410e+03 1.04850000e+01
9.015960e+03 9.99470000e+00
9.016510e+03 9.71335000e+00
9.017610e+03 9.41779000e+00
9.018710e+03 9.27327000e+00
9.019810e+03 9.19151000e+00
9.022010e+03 9.10642000e+00
9.026400e+03 9.04052000e+00
9.030800e+03 9.01434000e+00
9.039590e+03 8.99120000e+00
9.048380e+03 8.97924000e+00
9.065960e+03 8.96367000e+00
9.083540e+03 8.95134000e+00
9.118700e+03 8.92944000e+00
9.136280e+03 8.92262000e+00
9.145070e+03 8.93831000e+00
9.147270e+03 8.96046000e+00
9.149460e+03 9.02768000e+00
9.150560e+03 9.12283000e+00
9.151660e+03 9.38848000e+00
9.152210e+03 9.74352000e+00
9.152490e+03 1.00836000e+01
9.152760e+03 1.06712000e+01
9.153040e+03 1.18261000e+01
9.153170e+03 1.28635000e+01
9.153310e+03 1.45500000e+01
9.153450e+03 1.75750000e+01
9.153520e+03 2.00502000e+01
9.153590e+03 2.36328000e+01
9.153650e+03 2.92319000e+01
9.153720e+03 3.82011000e+01
9.153790e+03 5.38566000e+01
9.153860e+03 8.15115000e+01
9.153930e+03 1.25445000e+02
9.154000e+03 1.54871000e+02
9.154070e+03 1.26035000e+02
9.154140e+03 8.22514000e+01
9.154210e+03 5.48430000e+01
9.154280e+03 3.91407000e+01
9.154340e+03 2.99550000e+01
9.154410e+03 2.43462000e+01
9.154480e+03 2.06238000e+01
9.154550e+03 1.81138000e+01
9.154680e+03 1.49885000e+01
9.154820e+03 1.32063000e+01
9.154950e+03 1.21129000e+01
9.155220e+03 1.08879000e+01
9.155490e+03 1.02524000e+01
9.155760e+03 9.88329000e+00
9.156300e+03 9.49059000e+00
9.157390e+03 9.18701000e+00
9.158470e+03 9.07278000e+00
9.160630e+03 8.98550000e+00
9.162790e+03 8.95219000e+00
9.167120e+03 8.92522000e+00
9.171450e+03 8.91339000e+00
9.188750e+03 8.89282000e+00
9.223360e+03 8.86829000e+00
9.292580e+03 8.82371000e+00
9.431020e+03 8.73207000e+00
9.569460e+03 8.63383000e+00
9.638680e+03 8.58187000e+00
9.673290e+03 8.55547000e+00
9.690600e+03 8.54313000e+00
9.699250e+03 8.54092000e+00
9.703580e+03 8.55713000e+00
9.705740e+03 8.63574000e+00
9.706820e+03 8.93725000e+00
9.707090e+03 9.22430000e+00
9.707360e+03 9.94436000e+00
9.707500e+03 1.07964000e+01
9.707630e+03 1.26830000e+01
9.707700e+03 1.46223000e+01
9.707770e+03 1.81169000e+01
9.707840e+03 2.53856000e+01
9.707870e+03 3.19344000e+01
9.707900e+03 4.16976000e+01
9.707950e+03 6.16225000e+01
9.708000e+03 7.52594000e+01
9.708050e+03 6.19216000e+01
9.708100e+03 4.20702000e+01
9.708150e+03 2.86582000e+01
9.708200e+03 2.14516000e+01
9.708300e+03 1.49154000e+01
9.708400e+03 1.22564000e+01
9.708500e+03 1.09698000e+01
9.708700e+03 9.80382000e+00
9.708900e+03 9.31252000e+00
9.709300e+03 8.91442000e+00
9.709700e+03 8.75978000e+00
9.711310e+03 8.59550000e+00
9.714520e+03 8.54740000e+00
9.720950e+03 8.53139000e+00
9.733810e+03 8.52965000e+00
9.740240e+03 8.54260000e+00
9.743460e+03 8.55901000e+00
9.746670e+03 8.59183000e+00
9.749880e+03 8.66557000e+00
9.751490e+03 8.73985000e+00
9.753100e+03 8.87420000e+00
9.754710e+03 9.15209000e+00
9.755510e+03 9.41663000e+00
9.756310e+03 9.87110000e+00
9.757120e+03 1.07497000e+01
9.757520e+03 1.15299000e+01
9.757920e+03 1.27748000e+01
9.758320e+03 1.49388000e+01
9.758720e+03 1.91292000e+01
9.758920e+03 2.28101000e+01
9.759130e+03 2.85391000e+01
9.759330e+03 3.78206000e+01
9.759530e+03 5.29447000e+01
9.759760e+03 7.98906000e+01
9.760000e+03 9.80604000e+01
9.760240e+03 8.03443000e+01
9.760470e+03 5.35148000e+01
9.760710e+03 3.64367000e+01
9.760940e+03 2.67863000e+01
9.761180e+03 2.11832000e+01
9.761410e+03 1.77393000e+01
9.761640e+03 1.55019000e+01
9.761880e+03 1.39775000e+01
9.762350e+03 1.21044000e+01
9.762810e+03 1.10467000e+01
9.763280e+03 1.03935000e+01
9.764220e+03 9.66392000e+00
9.765150e+03 9.28642000e+00
9.766090e+03 9.06607000e+00
9.767960e+03 8.83151000e+00
9.769830e+03 8.71488000e+00
9.771700e+03 8.64802000e+00
9.775450e+03 8.57695000e+00
9.779190e+03 8.54077000e+00
9.782930e+03 8.51897000e+00
9.790420e+03 8.49327000e+00
9.805390e+03 8.46570000e+00
9.820360e+03 8.44723000e+00
9.850300e+03 8.41689000e+00
9.880240e+03 8.38882000e+00
9.940120e+03 8.33331000e+00
1.000000e+04 8.27656000e+00
1.012300e+04 8.15343000e+00
1.024600e+04 8.01961000e+00
1.049200e+04 7.71275000e+00
1.073800e+04 7.34069000e+00
1.098400e+04 6.88889000e+00
1.123000e+04 6.36727000e+00
1.135300e+04 6.11823000e+00
1.147600e+04 5.96327000e+00
1.159900e+04 6.12790000e+00
1.172200e+04 7.34334000e+00
1.178350e+04 9.02383000e+00
1.184500e+04 1.24249000e+01
1.190650e+04 1.94695000e+01
1.193730e+04 2.55257000e+01
1.196800e+04 3.42695000e+01
1.203300e+04 6.45339000e+01
1.209800e+04 9.74982000e+01
1.216300e+04 9.51021000e+01
1.222800e+04 7.26498000e+01
1.227840e+04 5.78759000e+01
1.232880e+04 4.72995000e+01
1.237920e+04 3.98708000e+01
1.242960e+04 3.45570000e+01
1.253040e+04 2.76944000e+01
1.263110e+04 2.35812000e+01
1.273190e+04 2.08932000e+01
1.283270e+04 1.90160000e+01
1.303430e+04 1.65787000e+01
1.323580e+04 1.50587000e+01
1.343740e+04 1.40019000e+01
1.384050e+04 1.25464000e+01
1.424360e+04 1.14219000e+01
1.444520e+04 1.08533000e+01
1.464680e+04 1.02030000e+01
1.484830e+04 9.37043000e+00
1.494910e+04 8.83074000e+00
1.504990e+04 8.15991000e+00
1.515070e+04 7.31184000e+00
1.520110e+04 6.81919000e+00
1.525140e+04 6.31675000e+00
1.530180e+04 5.93799000e+00
1.535220e+04 6.17800000e+00
1.537740e+04 7.01607000e+00
1.540260e+04 9.06707000e+00
1.542780e+04 1.37421000e+01
1.544040e+04 1.79185000e+01
1.545300e+04 2.40561000e+01
1.546730e+04 3.42138000e+01
1.548150e+04 4.82234000e+01
1.551000e+04 7.83748000e+01
1.553850e+04 8.21716000e+01
1.556700e+04 6.66637000e+01
1.559630e+04 5.19869000e+01
1.562550e+04 4.21076000e+01
1.565480e+04 3.56053000e+01
1.568400e+04 3.11765000e+01
1.571330e+04 2.80268000e+01
1.574250e+04 2.57000000e+01
1.580100e+04 2.25268000e+01
1.585950e+04 2.04847000e+01
1.591810e+04 1.90691000e+01
1.603510e+04 1.72415000e+01
1.615210e+04 1.61122000e+01
1.626910e+04 1.53425000e+01
1.650310e+04 1.43520000e+01
1.673710e+04 1.37321000e+01
1.697120e+04 1.32995000e+01
1.720520e+04 1.29734000e+01
1.726370e+04 1.29030000e+01
1.732220e+04 1.28361000e+01
1.735150e+04 1.28045000e+01
1.738070e+04 1.27767000e+01
1.739530e+04 1.27685000e+01
1.741000e+04 1.27780000e+01
1.741730e+04 1.28085000e+01
1.742090e+04 1.28443000e+01
1.742460e+04 1.29140000e+01
1.742830e+04 1.30682000e+01
1.743010e+04 1.32217000e+01
1.743190e+04 1.34937000e+01
1.743370e+04 1.40458000e+01
1.743470e+04 1.45611000e+01
1.743560e+04 1.54123000e+01
1.743650e+04 1.69994000e+01
1.743690e+04 1.83439000e+01
1.743740e+04 2.03370000e+01
1.743790e+04 2.36091000e+01
1.743830e+04 2.91176000e+01
1.743880e+04 3.96208000e+01
1.743920e+04 5.97629000e+01
1.743960e+04 8.90934000e+01
1.744000e+04 1.08503000e+02
1.744040e+04 8.93473000e+01
1.744080e+04 6.10551000e+01
1.744120e+04 4.31379000e+01
1.744150e+04 3.30633000e+01
1.744190e+04 2.70640000e+01
1.744230e+04 2.33043000e+01
1.744300e+04 1.91162000e+01
1.744380e+04 1.69894000e+01
1.744450e+04 1.57719000e+01
1.744520e+04 1.50123000e+01
1.744670e+04 1.41536000e+01
1.744820e+04 1.37041000e+01
1.744970e+04 1.34389000e+01
1.745260e+04 1.31526000e+01
1.745560e+04 1.30077000e+01
1.745860e+04 1.29231000e+01
1.746450e+04 1.28309000e+01
1.747040e+04 1.27821000e+01
1.747630e+04 1.27514000e+01
1.748820e+04 1.27132000e+01
1.751190e+04 1.26683000e+01
1.753550e+04 1.26361000e+01
1.758290e+04 1.25811000e+01
1.763030e+04 1.25285000e+01
1.767760e+04 1.24719000e+01
1.772500e+04 1.24007000e+01
1.774870e+04 1.23491000e+01
1.776050e+04 1.23135000e+01
1.777240e+04 1.22650000e+01
1.778420e+04 1.21906000e+01
1.779010e+04 1.21343000e+01
1.779610e+04 1.20527000e+01
1.780200e+04 1.19217000e+01
1.780490e+04 1.18199000e+01
1.780790e+04 1.16714000e+01
1.781090e+04 1.14328000e+01
1.781230e+04 1.12493000e+01
1.781380e+04 1.09855000e+01
1.781530e+04 1.05744000e+01
1.781600e+04 1.02698000e+01
1.781680e+04 9.85074000e+00
1.781750e+04 9.24485000e+00
1.781830e+04 8.33094000e+00
1.781900e+04 7.21716000e+00
1.781920e+04 7.26846000e+00
1.781940e+04 8.12368000e+00
1.781950e+04 9.46091000e+00
1.781960e+04 1.18035000e+01
1.781970e+04 2.03685000e+01
1.781980e+04 3.44664000e+01
1.781990e+04 4.65708000e+01
1.782000e+04 7.43695000e+01
1.782010e+04 7.68539000e+01
1.782030e+04 6.21177000e+01
1.782040e+04 4.83753000e+01
1.782050e+04 3.94520000e+01
1.782070e+04 3.32385000e+01
1.782080e+04 2.93681000e+01
1.782090e+04 2.64346000e+01
