Ti-46(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
60179.3 4.40663
60621.4 6.52443
60842.4 7.97400
60952.9 8.88815
60980.5 9.19616
61008.2 9.65820
61022.0 10.0737
61028.9 10.4068
61035.8 10.9180
61042.7 11.7971
61049.6 13.5470
61053.1 15.1700
61056.5 17.8501
61060.0 22.5940
61063.4 31.3122
61066.7 44.5642
61070.0 53.6141
61073.3 45.1107
61076.6 32.0423
61079.5 24.3785
61082.4 19.7735
61085.3 16.9694
61088.2 15.1889
61094.1 13.1935
61099.9 12.1896
61105.7 11.6317
61111.5 11.3012
61123.2 10.9721
61146.4 10.8231
61169.7 10.8968
61262.8 11.6588
61449.0 13.6830
61886.8 19.8756
62324.5 27.8688
63200.0 42.3695
63637.8 43.4328
64075.5 40.0275
64951.0 29.1025
65723.2 21.3529
66495.4 16.1352
67267.6 12.6514
67653.6 11.3597
67750.2 11.0847
67846.7 10.8533
67895.0 10.7836
67919.1 10.7807
67943.2 10.8272
67967.3 10.9869
67979.4 11.1620
67991.5 11.4750
68003.5 12.0780
68009.6 12.5971
68015.6 13.3932
68021.6 14.6862
68027.7 16.9298
68033.7 21.1501
68039.7 29.5155
68044.9 41.2316
68050.0 49.1420
68055.1 41.4744
68060.3 29.8343
68063.7 24.4024
68067.1 20.6836
68073.9 16.3800
68080.7 14.1841
68087.5 12.9466
68094.3 12.1841
68101.0 11.6825
68114.6 11.0790
68128.2 10.7367
68141.8 10.5178
68169.0 10.2490
68196.1 10.0811
68223.3 9.95745
68277.6 9.76882
68386.3 9.47987
68495.0 9.23963
68603.7 9.03780
68658.0 8.95902
68712.4 8.90986
68766.7 8.92693
68793.9 8.99232
68821.1 9.14484
68848.2 9.49699
68861.8 9.84097
68875.4 10.4292
68889.0 11.5370
68895.8 12.4871
68902.6 13.9522
68909.4 16.3653
68916.2 20.6688
68923.0 29.1546
68926.4 36.5027
68929.7 47.2053
68934.9 70.1828
68940.0 85.1803
68945.1 69.3925
68950.3 46.2131
68954.0 34.7510
68957.7 27.2404
68961.3 22.2941
68965.0 18.9509
68972.4 14.9423
68979.8 12.7634
68987.2 11.4628
68994.6 10.6282
69009.3 9.65863
69024.1 9.13510
69038.8 8.81713
69068.4 8.45569
69097.9 8.25340
69127.4 8.11861
69186.5 7.93423
69245.5 7.79758
69304.5 7.68124
69422.6 7.47620
69658.8 7.11526
69895.0 6.79046
70367.4 6.22034
70485.5 6.09713
70603.6 5.99587
70662.6 5.97151
70692.1 5.97892
70721.7 6.01768
70751.2 6.13126
70765.9 6.25299
70780.7 6.47237
70795.5 6.90520
70802.8 7.28953
70810.2 7.89827
70817.6 8.93109
70825.0 10.8500
70828.7 12.4594
70832.4 14.8487
70836.1 18.4882
70839.7 24.0407
70844.9 35.3416
70850.0 43.1297
70855.1 35.9411
70860.3 24.7869
70864.5 18.5384
70868.7 14.6506
70873.0 12.1978
70877.2 10.5996
70885.7 8.74158
70894.1 7.75913
70902.6 7.17888
70911.1 6.80817
70928.0 6.37511
70944.9 6.13730
70961.9 5.98925
70995.7 5.81383
71029.6 5.70939
71063.5 5.63581
71131.2 5.52894
71266.6 5.37314
71402.1 5.24350
71943.9 4.80536
73027.5 4.11346
74111.2 3.61309
74382.1 3.53780
74653.0 3.53448
74788.5 3.61538
74856.2 3.71321
74923.9 3.89771
74991.6 4.27805
75025.5 4.63081
75059.4 5.21848
75093.2 6.30129
75110.2 7.21906
75127.1 8.62418
75144.0 10.9212
75160.9 15.0055
75177.9 23.0475
75186.3 30.0088
75194.8 40.1736
75207.4 61.5092
75220.0 74.9107
75232.6 59.4776
75245.2 37.6505
75258.9 23.1119
75272.5 15.4677
75286.2 11.2728
75299.9 8.80182
75313.6 7.24884
75327.2 6.21864
75354.6 4.99095
75381.9 4.32041
75409.2 3.91685
75463.9 3.47697
75518.6 3.25355
75573.3 3.12246
75682.6 2.97583
75792.0 2.89218
75901.3 2.83380
76120.0 2.74919
76338.7 2.68882
76557.4 2.66425
76666.8 2.69271
76721.4 2.73685
76776.1 2.82794
76830.8 3.02804
76858.1 3.21988
76885.5 3.54435
76912.8 4.14518
76926.5 4.65121
76940.1 5.41492
76953.8 6.63021
76967.5 8.69185
76981.1 12.4426
76994.8 19.5493
77007.4 30.1716
77020.0 37.5598
77032.6 30.8781
77045.2 20.4370
77055.0 14.8701
77064.7 11.2960
77074.5 8.98774
77084.3 7.44975
77103.8 5.62761
77123.3 4.64595
77142.8 4.06061
77162.4 3.68450
77201.4 3.24519
77240.5 3.00647
77279.5 2.86101
77357.6 2.69777
77435.7 2.61193
77513.8 2.56235
77670.0 2.52368
77826.2 2.55939
77904.3 2.62448
77982.4 2.75672
78060.5 3.03967
78099.6 3.30731
78138.6 3.75996
78177.7 4.61059
78197.2 5.34660
78216.7 6.49613
78236.2 8.43178
78255.8 12.0264
78265.5 15.0664
78275.3 19.6244
78285.0 26.6789
78294.8 37.6421
78307.4 58.1703
78320.0 71.1588
78332.6 56.4438
78345.2 35.5002
78354.6 24.9348
78364.1 18.1605
78373.5 13.7905
78382.9 10.8872
78401.8 7.47187
78420.7 5.65763
78439.5 4.59413
78458.4 3.92353
78496.1 3.16213
78533.9 2.76519
78571.6 2.53290
78647.0 2.28472
78722.5 2.15931
78798.0 2.08453
78948.9 1.99692
79250.7 1.90247
79552.5 1.84205
79854.3 1.80253
80156.2 1.79812
80307.1 1.82821
80382.5 1.86266
80458.0 1.92384
80533.5 2.04160
80571.2 2.14597
80608.9 2.31591
80646.6 2.62918
80665.5 2.90260
80684.4 3.34347
80703.2 4.14127
80712.7 4.81770
80722.1 5.86746
80731.5 7.63878
80741.0 10.9956
80745.7 13.9233
80750.4 18.4714
80755.1 25.9040
80759.8 38.1700
80764.9 57.4363
80770.0 68.0204
80775.1 52.0584
80780.2 31.4750
80783.4 22.8749
80786.5 17.0167
80792.8 10.2387
80799.1 6.83932
80805.4 4.97587
80811.6 3.86999
80817.9 3.17525
80830.5 2.40234
80843.1 2.02031
80855.6 1.81419
80880.8 1.62722
80905.9 1.56270
80931.1 1.54545
80981.4 1.56508
81031.7 1.61509
81081.9 1.68422
81182.5 1.89584
81283.1 2.30699
81333.4 2.68083
81383.7 3.29889
81434.0 4.43306
81459.1 5.39667
81484.3 6.88294
81509.4 9.36180
81534.6 13.9715
81547.1 17.9273
81559.7 24.0094
81572.3 33.8043
81584.8 49.6670
81597.4 70.7428
81603.7 77.9477
81610.0 77.1260
81622.6 52.5515
81635.2 27.5524
81642.6 18.6685
81650.1 13.2736
81657.6 10.3847
81665.0 9.42057
81672.5 10.1943
81679.9 12.8988
81687.4 18.1302
81694.8 26.8931
81707.4 52.0922
81720.0 77.6383
81726.3 79.0591
81732.6 72.2757
81745.2 51.4636
81760.6 32.7470
81776.1 22.2798
81791.6 16.2505
81807.0 12.5228
81828.2 9.36087
81849.3 7.39827
81891.6 5.17283
81934.0 3.99270
81976.3 3.28501
82060.9 2.50376
82145.5 2.09699
82230.2 1.85352
82314.8 1.69311
82484.1 1.49468
82822.6 1.29018
83161.1 1.17220
83838.1 1.01188
84007.4 0.979374
84176.7 0.951271
84261.3 0.942159
84345.9 0.947079
84388.2 0.969083
84409.4 0.995357
84430.6 1.04665
84451.7 1.15929
84462.3 1.27055
84472.9 1.46760
84483.5 1.86223
84488.7 2.22476
84494.0 2.82498
84499.3 3.91785
84502.0 4.83203
84504.6 6.19961
84507.3 8.37594
84509.9 12.0441
84512.5 18.7017
84515.2 31.3042
84517.6 49.8088
84520.0 62.3533
84522.4 50.3053
84524.8 31.9269
84527.3 19.8311
84529.8 13.1433
84532.3 9.32531
84534.7 7.01357
84537.2 5.51677
84539.7 4.50638
84544.6 3.26789
84549.6 2.57125
84554.5 2.14177
84564.4 1.66176
84574.3 1.41292
84584.2 1.26713
84604.0 1.11030
84623.9 1.03077
84643.7 0.983964
84683.3 0.931748
84762.5 0.883463
84841.7 0.857134
85000.1 0.821518
85158.6 0.793256
85792.3 0.704610
86109.2 0.676075
86426.0 0.675364
86584.5 0.703350
86663.7 0.734950
86742.9 0.790990
86822.1 0.898707
86861.7 0.993874
86901.3 1.14822
86940.9 1.43111
86960.7 1.67688
86980.5 2.07193
87000.4 2.78514
87010.3 3.38965
87020.2 4.32891
87030.1 5.91923
87040.0 8.95637
87044.9 11.6279
87049.9 15.8336
87054.8 22.8019
87059.8 34.5603
87064.9 52.3611
87070.0 62.0022
87075.1 47.0499
87080.3 27.9792
87085.2 16.6428
87090.2 10.4652
87095.2 6.98753
87100.2 4.91599
87105.2 3.61334
