Zn-66(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
17349.7 6.44190
17349.8 7.58622
17349.9 10.6305
17350.0 15.9049
17350.1 10.6297
17350.2 6.93083
17350.3 6.05502
17350.6 5.59082
17351.1 5.42173
17352.1 5.36479
17354.0 5.34005
17358.0 5.31555
17365.9 5.27379
17381.7 5.19455
17413.4 5.04431
17476.6 4.76439
17603.2 4.25021
17856.3 3.29883
18109.4 2.37113
18362.5 1.43203
18615.7 0.527411
18678.9 0.334793
18742.2 0.176316
18773.9 0.116217
18805.5 0.0736680
18821.3 0.0604421
18837.1 0.0535226
18853.0 0.0537352
18868.8 0.0620106
18884.6 0.0794281
18900.4 0.107206
18916.2 0.146738
18932.1 0.199626
18963.7 0.353082
18995.3 0.585875
19027.0 0.922476
19058.6 1.39596
19090.3 2.05148
19121.9 2.95148
19153.5 4.18323
19185.2 5.87018
19216.8 8.18887
19248.5 11.3937
19280.1 15.8522
19311.7 22.0902
19343.4 30.8356
19375.0 43.0066
19447.5 87.4913
19520.0 134.766
19556.3 139.432
19592.5 129.642
19665.0 95.7950
19748.8 65.4719
19832.5 47.4440
19916.3 36.5501
20000.0 29.5430
20090.7 24.4248
20181.5 20.8319
20362.9 16.1587
20544.4 13.2551
20635.1 12.1743
20680.5 11.6986
20703.2 11.4753
20714.5 11.3697
20720.2 11.3286
20723.0 11.3496
20724.5 11.5086
20725.2 12.0679
20725.5 13.5656
20725.7 16.6536
20725.8 20.8660
20725.9 30.5275
20725.9 42.1877
20726.0 49.7891
20726.1 42.1812
20726.1 30.5185
20726.2 20.8562
20726.3 16.6433
20726.5 13.6464
20726.8 12.0698
20727.5 11.4886
20728.9 11.2976
20731.7 11.2222
20737.2 11.1582
20748.3 11.0544
20770.4 10.8584
20792.6 10.6753
20803.7 10.6125
20806.4 10.6210
20809.2 10.6872
20810.6 10.7976
20812.0 11.1124
20812.7 11.5259
20813.4 12.5632
20813.7 13.8051
20814.1 16.4382
20814.2 19.2525
20814.4 24.0650
20814.6 33.5481
20814.7 42.3217
20814.7 53.6848
20814.9 79.7628
20815.0 97.2790
20815.1 80.0742
20815.3 54.0731
20815.4 39.3545
20815.5 30.3316
20815.6 24.7367
20815.7 21.3979
20815.9 17.2657
20816.1 15.0753
20816.5 12.9714
20817.0 12.0346
20817.8 11.2384
20818.6 10.9219
20820.3 10.6649
20822.0 10.5596
20828.8 10.4104
20842.3 10.2771
20869.3 10.0622
20923.3 9.66768
21031.4 8.95901
21247.6 7.77159
21463.7 6.79142
21517.8 6.57106
21571.8 6.36314
21598.8 6.26800
21625.9 6.18838
21639.4 6.16295
21652.9 6.16208
21659.6 6.18109
21666.4 6.22661
21673.1 6.32590
21676.5 6.42473
21678.2 6.54105
21679.1 6.78460
21679.5 7.43610
21679.7 8.91691
21679.8 11.4670
21679.9 18.7459
21680.0 26.5593
21680.0 31.0631
21680.1 26.6383
21680.1 18.8521
21680.2 11.9631
21680.3 9.47047
21680.5 7.76526
21680.8 6.97245
21681.6 6.73258
21683.1 6.74248
21686.0 6.98036
21689.0 7.40153
21691.9 8.14944
21694.8 9.64971
21696.3 11.0319
21697.8 13.3034
21699.3 17.4701
21700.0 20.9582
21700.7 26.1267
21701.5 34.4445
21702.2 48.3549
21703.0 74.0906
21703.7 122.439
21704.3 192.560
21705.0 239.526
21705.7 193.313
21706.3 123.389
21707.0 77.8780
21707.7 52.5404
21708.3 38.0044
21709.0 29.1484
21709.7 23.4324
21710.3 19.5567
21711.7 14.8444
21713.0 12.1715
21714.4 10.5271
21717.0 8.69917
21719.7 7.75128
21722.4 7.19868
21725.1 6.84441
21727.7 6.60386
21733.1 6.30186
21738.4 6.12267
21749.1 5.91862
21759.8 5.80014
21770.5 5.71679
21791.9 5.59381
21813.3 5.49517
21834.7 5.40675
21877.5 5.24339
22048.7 4.64351
22391.1 3.50096
22733.5 2.34399
22904.7 1.74795
22990.3 1.44796
23033.1 1.29870
23054.5 1.22472
23065.2 1.18893
23070.6 1.17544
23073.2 1.18564
23074.6 1.25316
23075.2 1.49471
23075.6 2.16733
23075.7 3.64273
23075.8 5.61509
23075.9 11.1137
23076.0 21.0096
23076.1 11.0462
23076.2 6.45769
23076.2 4.45124
23076.4 2.72583
23076.6 1.73509
23077.1 1.32662
23078.1 1.19368
23080.0 1.15017
23083.9 1.12677
23091.7 1.09733
23107.3 1.04334
23138.6 0.937762
23201.1 0.733434
23326.0 0.371763
23388.5 0.232866
23451.0 0.141698
23482.2 0.121073
23513.5 0.122144
23544.7 0.149795
23575.9 0.210019
23607.2 0.310307
23638.4 0.459909
23669.7 0.670402
23700.9 0.956312
23763.4 1.83259
23825.8 3.30315
23888.3 5.72078
23950.8 9.67341
24013.3 16.1770
24028.9 18.4187
24044.5 21.0888
24052.3 22.7340
24056.2 23.7309
24060.1 24.9629
24064.1 26.7048
24066.0 27.9726
24068.0 29.7846
24069.9 32.6620
24071.9 37.9036
24072.8 42.4145
24073.8 49.2943
24074.8 60.5226
24075.8 78.7852
24076.9 110.739
24078.0 132.038
24079.1 111.392
24080.3 80.3410
24081.0 65.9339
24081.7 56.2140
24083.2 44.9496
24084.7 39.3650
24086.1 36.3690
24087.6 34.6708
24089.1 33.6838
24092.0 32.8130
24095.4 32.6820
24098.8 32.9839
24105.6 34.1611
24119.3 37.4416
24146.5 45.6233
24201.0 66.3234
24310.0 108.694
24364.5 115.572
24419.0 110.224
24528.0 85.2107
24572.5 75.4078
24594.7 70.9899
24605.8 68.9096
24611.4 67.9020
24614.1 67.4134
24615.5 67.1984
24616.2 67.1844
24616.6 67.4536
24616.7 68.1706
24616.8 69.4415
24616.9 72.6663
24617.0 78.4379
24617.1 72.6347
24617.2 69.1624
24617.3 68.0792
24617.4 67.3024
24617.8 66.9156
24618.4 66.6882
24619.8 66.4199
24622.5 65.9452
24627.9 65.0255
24638.6 63.2467
24660.2 59.9066
24703.2 54.0281
24789.3 44.8917
24875.4 38.2901
24961.6 33.3934
25133.8 26.7435
25306.0 22.5142
25478.2 19.6193
25650.5 17.5241
25822.7 15.9404
25908.8 15.2855
25951.9 14.9855
25973.4 14.8419
25984.1 14.7723
25989.5 14.7405
25992.2 14.7349
25993.6 14.7694
25994.2 14.9103
25994.6 15.3393
25994.7 16.3192
25994.8 17.7142
25994.9 22.0764
25995.0 29.3718
25995.1 21.9954
25995.2 17.2388
25995.3 15.8748
25995.5 15.1384
25996.0 14.8300
25996.8 14.7270
25998.5 14.6886
26001.9 14.6595
26008.8 14.6143
26022.5 14.5284
26049.8 14.3617
26104.5 14.0446
26214.0 13.4679
26323.4 12.9567
26378.2 12.7221
26405.5 12.6095
26419.2 12.5551
26426.0 12.5327
26429.5 12.5422
26431.2 12.6276
26432.0 12.9508
26432.5 13.9174
26432.7 15.9919
26432.8 19.2648
26432.9 27.9796
26432.9 37.4706
26433.0 43.5853
26433.1 37.6708
26433.1 28.1057
26433.3 18.6178
26433.4 15.4989
26433.6 13.6775
26434.1 12.8838
26435.1 12.6086
26437.1 12.5186
26441.1 12.4788
26449.2 12.4404
26465.2 12.3762
26497.3 12.2544
26561.4 12.0228
26625.6 11.8048
26657.7 11.7048
26673.7 11.6790
26677.7 11.6949
26681.7 11.7662
26683.7 11.8778
26685.7 12.1972
26686.7 12.6262
26687.7 13.7444
26688.2 15.1211
26688.5 16.3515
26688.7 18.3349
26689.0 21.8128
26689.2 28.6645
26689.4 35.1036
26689.5 44.5326
26689.6 61.5935
26689.7 90.0361
26689.9 136.233
26690.0 169.136
26690.1 136.997
26690.3 90.6931
26690.4 69.9700
26690.5 54.7385
26690.6 37.7653
26690.8 28.8601
26691.0 23.7523
26691.1 20.5904
26691.3 18.5101
26691.6 16.0410
