Gd-156(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
544.817 0.0331217
545.852 0.0338616
546.888 0.0381769
547.406 0.0450374
547.924 0.0648969
548.183 0.0920256
548.442 0.165334
548.572 0.260515
548.636 0.349964
548.701 0.502053
548.766 0.792738
548.798 1.04827
548.831 1.45200
548.863 2.14577
548.895 3.46058
548.911 4.59797
548.928 6.33832
548.944 9.09647
548.960 13.4677
548.980 21.5501
549.000 26.9012
549.020 21.5079
549.040 13.4686
549.054 9.51515
549.069 6.88950
549.083 5.14548
549.097 3.95862
549.125 2.52522
549.154 1.74277
549.182 1.27190
549.210 0.970307
549.267 0.620004
549.324 0.433211
549.380 0.322261
549.494 0.202805
549.607 0.143287
549.721 0.109472
549.948 0.0744211
550.401 0.0481061
550.855 0.0384543
551.762 0.0312377
552.670 0.0285979
556.299 0.0277043
558.114 0.0314900
559.021 0.0359220
559.929 0.0444524
560.836 0.0632092
561.290 0.0820723
561.744 0.116538
561.970 0.145566
562.197 0.189794
562.424 0.262058
562.651 0.392007
562.764 0.500053
562.878 0.662570
562.991 0.923588
563.105 1.38207
563.218 2.30073
563.275 3.15155
563.331 4.57923
563.388 7.24263
563.417 9.53280
563.445 13.0626
563.473 18.9228
563.502 29.4494
563.516 38.0775
563.530 50.6035
563.544 69.1792
563.558 96.4419
563.569 123.582
563.579 154.296
563.600 192.871
563.621 154.306
563.642 96.4474
563.663 59.0964
563.684 38.2940
563.705 26.3557
563.726 19.1095
563.747 14.4074
563.768 11.2343
563.810 7.34627
563.852 5.16505
563.895 3.82546
563.979 2.33847
564.063 1.57712
564.147 1.13658
564.231 0.859190
564.316 0.673386
564.484 0.447684
564.652 0.321217
564.821 0.243277
564.989 0.191875
565.326 0.130412
565.663 0.0964711
566.337 0.0621733
567.010 0.0460207
567.684 0.0371166
569.031 0.0280791
571.726 0.0213118
574.421 0.0187319
585.200 0.0160159
595.979 0.0173384
598.674 0.0192267
601.369 0.0245544
602.716 0.0318844
603.390 0.0391747
604.064 0.0524591
604.738 0.0807504
605.074 0.108794
605.411 0.159578
605.580 0.202101
605.748 0.266559
605.917 0.371170
606.085 0.557761
606.169 0.711461
606.253 0.940953
606.338 1.30552
606.422 1.93578
606.506 3.16744
606.548 4.27769
606.590 6.08670
606.632 9.31448
606.653 11.9665
606.674 15.8629
606.695 21.9347
606.716 31.8604
606.738 49.2600
606.748 62.6022
606.759 80.3931
606.769 102.901
606.779 128.628
606.800 160.809
606.821 128.665
606.842 80.4198
606.855 58.1275
606.869 42.9726
606.896 25.3452
606.924 16.3986
606.951 11.3987
606.978 8.34140
607.005 6.36156
607.060 4.03688
607.114 2.78458
607.169 2.03587
607.278 1.22507
607.387 0.819065
607.496 0.587794
607.605 0.443621
607.714 0.347753
607.932 0.232183
608.150 0.167906
608.586 0.102634
609.022 0.0718461
609.458 0.0549446
610.330 0.0380067
611.202 0.0301449
612.075 0.0258984
613.819 0.0217711
617.307 0.0191514
620.796 0.0186516
634.750 0.0212393
648.704 0.0286403
655.681 0.0391451
657.425 0.0464171
659.169 0.0643332
660.041 0.0876834
660.478 0.110480
660.914 0.151543
661.350 0.237999
661.568 0.322820
661.786 0.474937
661.895 0.601149
662.004 0.790663
662.113 1.09442
662.222 1.62651
662.331 2.68831
662.385 3.66741
662.440 5.30256
662.494 8.33107
662.522 10.9158
662.549 14.8682
662.576 21.3594
662.603 32.8302
662.617 42.1226
662.631 55.3132
662.637 63.9973
662.644 74.4919
662.651 87.1467
662.658 102.275
662.668 130.978
662.679 163.794
662.700 204.654
662.711 192.627
662.721 163.666
662.742 102.414
662.763 63.3789
662.784 41.4496
662.805 28.6676
662.826 20.8593
662.847 15.7687
662.867 12.3220
662.909 8.08409
662.951 5.69872
662.993 4.23053
663.076 2.59887
663.159 1.76063
663.243 1.27559
663.326 0.969562
663.409 0.764723
663.576 0.515652
663.743 0.376113
663.909 0.290181
664.076 0.233582
664.410 0.166106
