17-Cl_n-tot
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
5.496070e-02 3.86617582e+01
5.625000e-02 3.83999522e+01
5.643360e-02 3.83627141e+01
5.791610e-02 3.80744218e+01
5.809500e-02 3.80396867e+01
5.939870e-02 3.77947660e+01
6.088120e-02 3.75263986e+01
6.236380e-02 3.72675769e+01
6.250000e-02 3.72446873e+01
6.384630e-02 3.70189775e+01
6.402680e-02 3.69886652e+01
6.532890e-02 3.67769916e+01
6.681140e-02 3.65440212e+01
6.829400e-02 3.63187025e+01
6.875000e-02 3.62515183e+01
6.977650e-02 3.61005052e+01
7.125910e-02 3.58891264e+01
7.274160e-02 3.56841872e+01
7.422420e-02 3.54853845e+01
7.500000e-02 3.53844140e+01
7.570670e-02 3.52925892e+01
7.718930e-02 3.51054321e+01
7.867180e-02 3.49235025e+01
8.015440e-02 3.47482397e+01
8.088340e-02 3.46620897e+01
8.125000e-02 3.46203777e+01
8.163690e-02 3.45763104e+01
8.311950e-02 3.44074873e+01
8.318110e-02 3.44004972e+01
8.460200e-02 3.42454825e+01
8.524500e-02 3.41754217e+01
8.608460e-02 3.40868870e+01
8.750000e-02 3.39377834e+01
8.756710e-02 3.39307158e+01
8.904970e-02 3.37813629e+01
9.021190e-02 3.36643885e+01
9.053220e-02 3.36336011e+01
9.349730e-02 3.33486837e+01
9.646240e-02 3.30779335e+01
9.942750e-02 3.28193049e+01
1.000000e-01 3.27715405e+01
1.023930e-01 3.25721369e+01
1.053580e-01 3.23362409e+01
1.056090e-01 3.23162600e+01
1.083230e-01 3.21086027e+01
1.112880e-01 3.18908133e+01
1.125000e-01 3.18052372e+01
1.142530e-01 3.16814333e+01
1.172180e-01 3.14800838e+01
1.201830e-01 3.12862346e+01
1.202260e-01 3.12834219e+01
1.231480e-01 3.10992038e+01
1.250000e-01 3.09865902e+01
1.261130e-01 3.09189807e+01
1.290790e-01 3.07450022e+01
1.320440e-01 3.05769333e+01
1.350090e-01 3.04148493e+01
1.353530e-01 3.03960800e+01
1.375000e-01 3.02829958e+01
1.379740e-01 3.02580686e+01
1.388000e-01 3.02145979e+01
1.409390e-01 3.01058334e+01
1.421110e-01 3.00462447e+01
1.439040e-01 2.99581439e+01
1.452870e-01 2.98901869e+01
1.468690e-01 2.98148484e+01
1.483290e-01 2.97453635e+01
1.498340e-01 2.96761743e+01
1.500000e-01 2.96684952e+01
1.527990e-01 2.95399858e+01
1.557640e-01 2.94099420e+01
1.566700e-01 2.93702148e+01
1.587300e-01 2.92817921e+01
1.616950e-01 2.91580364e+01
1.617670e-01 2.91550734e+01
1.625000e-01 2.91255938e+01
1.646600e-01 2.90386747e+01
1.663620e-01 2.89702183e+01
1.676250e-01 2.89212071e+01
1.705900e-01 2.88060880e+01
1.735550e-01 2.86952115e+01
1.741860e-01 2.86716530e+01
1.750000e-01 2.86423155e+01
1.765200e-01 2.85874411e+01
1.794850e-01 2.84804284e+01
1.854150e-01 2.82767819e+01
1.856830e-01 2.82675840e+01
1.913460e-01 2.80817721e+01
1.972760e-01 2.78960050e+01
2.000000e-01 2.78143239e+01
2.032060e-01 2.77184040e+01
2.091360e-01 2.75484940e+01
2.150660e-01 2.73861600e+01
2.155560e-01 2.73727145e+01
2.187500e-01 2.72885382e+01
2.209970e-01 2.72292806e+01
2.269270e-01 2.70800531e+01
2.282570e-01 2.70466212e+01
2.328570e-01 2.69345378e+01
2.375000e-01 2.68255575e+01
2.387870e-01 2.67953864e+01
2.447170e-01 2.66613109e+01
2.506480e-01 2.65318567e+01
2.562500e-01 2.64138663e+01
2.565780e-01 2.64069481e+01
2.625080e-01 2.62868125e+01
2.635410e-01 2.62659027e+01
2.684380e-01 2.61704648e+01
2.707060e-01 2.61263577e+01
2.743680e-01 2.60565414e+01
2.750000e-01 2.60449038e+01
2.802990e-01 2.59472963e+01
2.862290e-01 2.58414006e+01
2.921590e-01 2.57386867e+01
2.980890e-01 2.56390033e+01
3.040190e-01 2.55422744e+01
3.099500e-01 2.54482729e+01
3.125000e-01 2.54089061e+01
3.158800e-01 2.53568473e+01
3.218100e-01 2.52685279e+01
3.235340e-01 2.52428377e+01
3.277400e-01 2.51823297e+01
3.327240e-01 2.51107231e+01
3.336700e-01 2.50976467e+01
3.396010e-01 2.50156910e+01
3.409800e-01 2.49966087e+01
3.455310e-01 2.49361597e+01
3.500000e-01 2.48767754e+01
3.514610e-01 2.48574116e+01
3.573910e-01 2.47821509e+01
3.608470e-01 2.47382552e+01
3.633210e-01 2.47081781e+01
3.692520e-01 2.46359478e+01
3.713670e-01 2.46101243e+01
3.811120e-01 2.44954267e+01
3.875000e-01 2.44236368e+01
3.929720e-01 2.43621027e+01
4.048330e-01 2.42345366e+01
4.166930e-01 2.41123494e+01
4.250000e-01 2.40302729e+01
4.285540e-01 2.39951623e+01
4.404140e-01 2.38826724e+01
4.522740e-01 2.37745766e+01
4.641350e-01 2.36707233e+01
4.647600e-01 2.36652493e+01
4.759950e-01 2.35703550e+01
4.878560e-01 2.34736989e+01
4.997160e-01 2.33804520e+01
5.000000e-01 2.33783220e+01
5.115760e-01 2.32907694e+01
5.122140e-01 2.32859096e+01
5.234370e-01 2.32043482e+01
5.270810e-01 2.31778445e+01
5.352970e-01 2.31195937e+01
5.471580e-01 2.30382484e+01
5.590180e-01 2.29594032e+01
5.625000e-01 2.29369935e+01
5.708780e-01 2.28829824e+01
5.827390e-01 2.28088343e+01
5.945990e-01 2.27368075e+01
6.064600e-01 2.26669020e+01
6.183200e-01 2.25988905e+01
6.250000e-01 2.25617277e+01
6.301800e-01 2.25328488e+01
6.420410e-01 2.24690040e+01
6.470670e-01 2.24419461e+01
6.539010e-01 2.24065230e+01
6.657620e-01 2.23449511e+01
6.776220e-01 2.22858793e+01
6.819600e-01 2.22642880e+01
6.894820e-01 2.22280954e+01
7.013430e-01 2.21709933e+01
7.132030e-01 2.21163913e+01
7.216950e-01 2.20773030e+01
7.250640e-01 2.20623196e+01
7.369240e-01 2.20093844e+01
7.500000e-01 2.19533976e+01
7.606450e-01 2.19079067e+01
7.843660e-01 2.18109146e+01
8.080860e-01 2.17182409e+01
8.096000e-01 2.17123158e+01
8.318070e-01 2.16289763e+01
8.555280e-01 2.15434997e+01
8.750000e-01 2.14760982e+01
8.792490e-01 2.14614324e+01
8.793700e-01 2.14609766e+01
9.029700e-01 2.13823954e+01
9.266900e-01 2.13065404e+01
9.295210e-01 2.12974955e+01
9.504110e-01 2.12328066e+01
9.741320e-01 2.11620275e+01
9.978530e-01 2.10935212e+01
1.000000e+00 2.10875896e+01
1.021570e+00 2.10276815e+01
1.024430e+00 2.10197848e+01
1.045290e+00 2.09640479e+01
1.054160e+00 2.09403559e+01
1.069020e+00 2.09015506e+01
1.116460e+00 2.07833746e+01
1.125000e+00 2.07632454e+01
1.163900e+00 2.06719412e+01
1.211340e+00 2.05667202e+01
1.250000e+00 2.04854936e+01
1.258780e+00 2.04671053e+01
1.306220e+00 2.03740816e+01
1.330900e+00 2.03257456e+01
1.353660e+00 2.02844671e+01
1.393490e+00 2.02122487e+01
1.448550e+00 2.01150111e+01
1.500000e+00 2.00319629e+01
1.543430e+00 1.99619509e+01
1.638310e+00 1.98227305e+01
1.654660e+00 1.97988054e+01
1.733200e+00 1.96928285e+01
1.750000e+00 1.96701896e+01
1.758740e+00 1.96584144e+01
1.828080e+00 1.95726996e+01
1.891570e+00 1.94942795e+01
1.922960e+00 1.94597679e+01
2.000000e+00 1.93750852e+01
2.112730e+00 1.92513286e+01
2.302500e+00 1.90701144e+01
2.324590e+00 1.90490764e+01
2.375000e+00 1.90055462e+01
2.492260e+00 1.89043553e+01
2.506720e+00 1.88920478e+01
