Ta-181(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
118.396 56.7477
118.412 40.8759
118.428 30.7296
118.444 23.9765
118.475 15.7929
118.507 11.2534
118.538 8.48455
118.601 5.42988
118.664 3.86574
118.727 2.95968
118.853 1.99695
118.979 1.51733
119.105 1.24047
119.357 0.942307
119.860 0.697043
120.364 0.598826
121.371 0.549248
122.379 0.620141
123.386 0.867827
123.890 1.13772
124.393 1.64082
124.645 2.06727
124.897 2.71798
125.149 3.78080
125.401 5.68810
125.527 7.26953
125.653 9.64171
125.779 13.4367
125.904 20.0642
125.967 25.4136
126.030 33.2236
126.093 45.3037
126.156 65.3253
126.219 102.132
126.251 133.190
126.282 180.231
126.314 256.365
126.345 388.777
126.377 639.623
126.392 847.319
126.408 1140.83
126.434 1822.01
126.460 2274.57
126.486 1821.35
126.512 1140.14
126.532 789.511
126.551 563.014
126.570 415.389
126.590 316.431
126.629 198.782
126.667 135.378
126.706 97.7749
126.745 73.7889
126.823 46.1954
126.900 31.5727
126.978 22.9425
127.055 17.4270
127.133 13.6922
127.288 9.10497
127.444 6.50705
127.599 4.89455
127.754 3.82590
128.064 2.54261
128.375 1.83216
128.685 1.39885
128.996 1.11632
129.617 0.785433
130.238 0.611735
131.479 0.468699
132.721 0.477105
133.342 0.543397
133.963 0.688099
134.584 1.01116
134.895 1.33088
135.205 1.90350
135.360 2.37841
135.515 3.09337
135.671 4.24683
135.826 6.29575
135.904 7.98429
135.981 10.5051
136.059 14.5210
136.136 21.5045
136.175 27.1173
136.214 35.3034
136.253 47.9040
136.292 68.7354
136.311 84.6459
136.330 106.740
136.350 138.605
136.369 186.751
136.389 263.820
136.408 396.248
136.418 499.425
136.427 642.745
136.437 844.318
136.447 1126.00
136.463 1803.94
136.480 2252.44
136.497 1799.30
136.513 1125.69
136.527 748.255
136.541 515.781
136.555 371.059
136.569 277.437
136.597 170.069
136.624 114.334
136.652 81.8739
136.680 61.5594
136.735 38.4922
136.791 26.4726
136.846 19.4589
136.957 12.0856
137.069 8.57642
137.180 6.74505
137.402 5.41902
137.624 6.10843
137.735 7.44288
137.846 10.1066
137.957 15.7496
138.012 21.0783
138.068 30.0927
138.123 47.0072
138.151 61.6034
138.179 84.1569
138.206 121.719
138.234 189.468
138.248 245.223
138.262 326.464
138.276 447.480
138.290 625.915
138.310 1000.42
138.330 1249.82
138.350 1000.20
138.370 625.635
138.393 364.199
138.416 227.627
138.439 152.970
138.461 109.007
138.484 81.3150
138.507 62.8775
138.552 40.7544
138.597 28.5553
138.643 21.1452
138.734 12.9948
138.824 8.84922
138.915 6.45483
139.006 4.94543
139.097 3.93109
139.278 2.69059
139.460 1.98574
139.823 1.24910
140.186 0.887462
140.550 0.682142
141.276 0.472136
142.002 0.385129
142.729 0.384092
143.092 0.444582
143.273 0.515466
143.455 0.650425
143.637 0.940485
143.727 1.22476
143.818 1.72924
143.909 2.75288
143.954 3.71262
144.000 5.34411
144.045 8.44840
144.068 11.1677
144.091 15.4652
144.113 22.7956
144.136 36.6417
144.147 48.5665
144.159 66.5158
144.170 94.6289
144.181 138.927
144.188 177.757
144.196 222.132
144.210 277.593
144.224 222.109
144.239 138.898
144.255 81.8390
144.270 51.5998
144.286 34.8907
144.302 24.9782
144.318 18.7025
144.334 14.5088
144.365 9.47098
144.397 6.67377
144.428 4.97270
144.491 3.10376
144.555 2.15322
144.618 1.60721
144.744 1.03635
144.870 0.760459
144.997 0.607673
145.249 0.456607
145.754 0.367021
146.259 0.380167
146.764 0.479455
147.017 0.588973
147.269 0.788607
147.522 1.20321
147.648 1.60270
147.774 2.30670
147.901 3.73931
147.964 5.09387
148.027 7.42905
148.090 11.9961
148.122 16.1177
148.153 22.8199
148.185 34.8476
148.201 44.7379
148.216 59.2799
148.232 82.0530
148.248 119.706
148.256 147.976
148.264 185.981
148.272 237.432
148.279 305.467
148.287 391.372
148.295 488.178
148.310 609.850
148.318 573.613
148.325 488.136
148.341 305.429
148.351 218.730
148.361 160.153
148.372 120.647
148.382 93.4304
148.403 60.1366
148.424 41.7527
148.445 30.5831
148.465 23.3718
148.507 15.0010
148.548 10.5212
148.590 7.87629
148.673 5.06893
148.756 3.73735
148.839 3.06623
149.005 2.69839
149.171 3.30220
149.254 4.15316
149.337 5.77442
149.421 9.15014
149.462 12.3142
149.504 17.6507
149.545 27.6729
149.566 36.3004
149.587 49.5990
149.607 71.7414
149.628 111.542
149.639 144.264
149.649 191.857
149.659 262.589
149.670 366.293
149.685 585.266
149.700 731.004
149.715 585.186
149.730 366.186
149.740 265.808
149.750 197.381
149.770 117.407
149.789 76.4227
149.809 53.3062
149.829 39.1714
