In-113(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
196.124 5.00209
196.172 5.51805
196.219 6.50094
196.243 7.35214
196.267 8.67244
196.291 10.8522
196.315 14.7453
196.338 22.3732
196.350 28.9041
196.362 38.2781
196.381 59.9899
196.400 75.2679
196.419 62.0101
196.438 40.9508
196.452 30.0466
196.466 22.9039
196.480 18.1802
196.494 14.9729
196.522 11.0890
196.549 8.96387
196.577 7.67710
196.605 6.84614
196.661 5.86849
196.716 5.33400
196.772 5.00908
196.883 4.64533
196.995 4.45310
197.106 4.33662
197.329 4.20304
197.774 4.07641
198.219 4.00787
199.110 3.92665
199.555 3.91531
200.000 3.98517
200.141 4.07866
200.281 4.32712
200.352 4.63318
200.387 4.90711
200.422 5.34778
200.457 6.12501
200.492 7.66148
200.510 9.05110
200.527 11.2609
200.545 14.9986
200.562 21.3778
200.581 31.9326
200.600 38.9249
200.619 31.8791
200.638 21.3879
200.659 14.0495
200.680 10.2349
200.701 8.14728
200.722 6.91750
200.765 5.62670
200.807 5.01286
200.891 4.47817
200.976 4.26961
201.145 4.14178
201.314 4.15344
201.652 4.39866
201.990 5.05022
202.159 5.68115
202.328 6.71889
202.497 8.52472
202.666 11.9394
202.750 14.8530
202.835 19.2894
202.919 26.4371
203.004 38.8666
203.046 48.7697
203.088 62.9511
203.130 84.2599
203.173 117.922
203.215 175.289
203.257 282.033
203.278 371.852
203.299 505.577
203.320 709.952
203.341 1023.01
203.371 1663.59
203.400 2115.18
203.429 1722.74
203.459 1097.02
203.483 741.654
203.507 519.953
203.532 380.442
203.556 289.322
203.605 183.528
203.654 127.556
203.703 94.5991
203.751 73.5967
203.849 49.3135
203.947 36.2851
204.044 28.4499
204.142 23.3464
204.239 19.8207
204.435 15.3638
204.630 12.7305
204.825 11.0275
205.020 9.85287
205.411 8.36072
205.801 7.46845
206.191 6.88235
206.582 6.47096
207.362 5.93450
208.143 5.60102
208.924 5.37279
209.705 5.20546
211.266 4.97167
212.828 4.80901
215.951 4.57130
219.074 4.36329
220.635 4.25018
222.197 4.12050
223.758 3.96717
224.539 3.88423
225.320 3.81259
225.710 3.79576
226.100 3.81417
226.491 3.91355
226.881 4.21333
227.076 4.53222
227.272 5.08612
227.467 6.09573
227.662 8.08490
227.759 9.82908
227.857 12.5373
227.955 16.9926
228.052 24.9264
228.101 31.3661
228.150 40.7681
228.199 55.1561
228.247 78.5533
228.296 119.799
228.321 152.987
228.345 200.961
228.369 273.081
228.394 386.290
228.418 571.382
228.443 876.468
228.471 1428.80
228.500 1818.59
228.529 1482.73
228.558 946.441
228.581 649.333
228.604 461.286
228.627 340.516
228.650 261.007
228.696 167.285
228.742 117.092
228.788 87.2976
228.834 68.1999
228.926 46.0061
229.018 34.0104
229.111 26.7712
229.203 22.0331
229.295 18.7529
229.479 14.5851
229.664 12.1105
229.848 10.5010
230.032 9.38354
230.401 7.94959
230.769 7.07663
231.138 6.48973
231.507 6.06627
232.244 5.49725
232.613 5.31376
232.981 5.21816
233.350 5.32177
233.534 5.56648
233.719 6.14638
233.811 6.69777
233.903 7.59090
233.995 9.11822
234.087 11.9340
234.179 17.7867
234.225 23.2832
234.271 32.4786
234.318 49.4151
234.341 63.6451
234.364 84.9269
234.387 118.718
234.410 175.214
234.421 218.112
234.433 276.281
234.444 355.791
234.456 463.654
234.478 754.885
234.500 960.741
234.522 784.630
234.544 502.574
234.568 307.802
234.592 201.288
234.615 140.942
234.639 104.531
234.663 80.9586
234.686 64.9678
234.734 45.3726
234.781 34.2372
234.828 27.3229
234.923 19.4821
235.018 15.3537
235.113 12.9121
235.302 10.3561
235.491 9.40624
235.586 9.44804
