Se-76(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
3.53493E+06 0.00613370
3.55043E+06 0.00609780
3.56593E+06 0.00606227
3.58143E+06 0.00602710
3.59694E+06 0.00599228
3.61244E+06 0.00595782
3.62794E+06 0.00592370
3.64344E+06 0.00588991
3.65895E+06 0.00585647
3.67445E+06 0.00582335
3.68995E+06 0.00579056
3.70545E+06 0.00575809
3.72096E+06 0.00572593
3.73646E+06 0.00569409
3.75196E+06 0.00566256
3.76746E+06 0.00563133
3.78297E+06 0.00560040
3.79847E+06 0.00556976
3.81397E+06 0.00553942
3.82947E+06 0.00550936
3.84498E+06 0.00547959
3.86048E+06 0.00545009
3.87598E+06 0.00542087
3.89148E+06 0.00539193
3.90699E+06 0.00536325
3.92249E+06 0.00533484
3.93799E+06 0.00530669
3.95349E+06 0.00527880
3.96900E+06 0.00525116
3.98450E+06 0.00522378
4.00000E+06 0.00519664
4.11804E+06 0.00499595
4.23607E+06 0.00480836
4.35411E+06 0.00463269
4.47214E+06 0.00446788
4.60043E+06 0.00429999
4.72871E+06 0.00414277
4.86246E+06 0.00398920
5.00000E+06 0.00384132
5.16624E+06 0.00362629
5.36313E+06 0.00339510
5.56753E+06 0.00317865
5.77972E+06 0.00297600
6.00000E+06 0.00278626
6.05894E+06 0.00272161
