80-Hg_n-g
> 80-Hg-196:0.001500
> 80-Hg-198:0.099700
> 80-Hg-199:0.168700
> 80-Hg-200:0.231000
> 80-Hg-201:0.131800
> 80-Hg-202:0.298600
> 80-Hg-204:0.068700
2.634280e+02 1.18934832e+01
2.634900e+02 1.52214107e+01
2.635520e+02 2.00746225e+01
2.636150e+02 2.73874981e+01
2.636770e+02 3.87709351e+01
2.637080e+02 4.67137020e+01
2.637390e+02 5.65794802e+01
2.637680e+02 6.80515881e+01
2.637790e+02 7.24030829e+01
2.638200e+02 9.04386963e+01
2.639000e+02 1.12997556e+02
2.639400e+02 1.06332957e+02
2.639810e+02 9.04072364e+01
2.640610e+02 5.65425255e+01
2.641100e+02 4.19918909e+01
2.641580e+02 3.17086899e+01
2.642550e+02 1.93313250e+01
2.643530e+02 1.27928879e+01
2.644500e+02 9.03395052e+00
2.645470e+02 6.70155716e+00
2.646440e+02 5.16832944e+00
2.648380e+02 3.34927555e+00
2.650330e+02 2.35784857e+00
2.652270e+02 1.76124548e+00
2.656160e+02 1.11128189e+00
2.660040e+02 7.84529034e-01
2.663930e+02 5.98053508e-01
2.671700e+02 4.05051469e-01
2.679480e+02 3.13230531e-01
2.687250e+02 2.63230421e-01
2.701450e+02 2.19311952e-01
2.702790e+02 2.15309297e-01
2.710650e+02 2.06297951e-01
2.718340e+02 1.97482058e-01
2.733880e+02 1.91454989e-01
2.742190e+02 1.92353342e-01
2.750000e+02 1.93705998e-01
2.764980e+02 1.96323944e-01
2.765220e+02 1.96470831e-01
2.797100e+02 2.21078415e-01
2.805710e+02 2.29500026e-01
2.827160e+02 2.52513303e-01
2.828990e+02 2.55356762e-01
2.860870e+02 3.17032997e-01
2.869230e+02 3.39787857e-01
2.889340e+02 3.97339939e-01
2.892750e+02 4.09106214e-01
2.900980e+02 4.47178672e-01
2.908700e+02 4.84277434e-01
2.916670e+02 5.30684960e-01
2.920430e+02 5.55211063e-01
2.920650e+02 5.56806541e-01
2.922650e+02 5.72082791e-01
2.924640e+02 5.87931352e-01
2.926630e+02 6.04437933e-01
2.928620e+02 6.21652385e-01
2.930620e+02 6.39659417e-01
2.932610e+02 6.58468072e-01
2.932740e+02 6.59756437e-01
2.934600e+02 6.78805928e-01
2.936600e+02 7.00206055e-01
2.940580e+02 7.46286863e-01
2.944570e+02 7.97617162e-01
2.948550e+02 8.55225284e-01
2.951520e+02 9.03893844e-01
2.952540e+02 9.21958380e-01
2.956520e+02 1.00213540e+00
2.960510e+02 1.09435675e+00
2.964490e+02 1.20172296e+00
2.964500e+02 1.20204133e+00
2.968480e+02 1.33148562e+00
2.972460e+02 1.48685166e+00
2.976450e+02 1.67662264e+00
2.980440e+02 1.91324265e+00
2.982610e+02 2.07813132e+00
2.984420e+02 2.22054641e+00
2.988410e+02 2.62889232e+00
2.992390e+02 3.18020154e+00
2.996260e+02 3.93259206e+00
2.996380e+02 3.95604585e+00
3.000360e+02 5.10883508e+00
3.004350e+02 6.92571290e+00
3.008330e+02 1.00404785e+01
3.010330e+02 1.25008261e+01
3.012140e+02 1.56931775e+01
3.012320e+02 1.60108874e+01
3.013710e+02 1.96536896e+01
3.014310e+02 2.12285156e+01
3.016310e+02 2.93176052e+01
3.018300e+02 4.23569592e+01
3.020290e+02 6.36107956e+01
3.022650e+02 1.01168259e+02
3.025000e+02 1.26099177e+02
3.027360e+02 1.00967873e+02
3.028020e+02 9.04705230e+01
3.029250e+02 7.09102610e+01
3.029720e+02 6.34383675e+01
3.031320e+02 4.57362804e+01
3.032920e+02 3.37912701e+01
3.034520e+02 2.57366535e+01
3.036110e+02 2.01984503e+01
3.039310e+02 1.34425727e+01
3.042510e+02 9.72647821e+00
3.043900e+02 8.75891649e+00
3.044800e+02 8.13690210e+00
3.045700e+02 7.52027166e+00
3.048900e+02 6.14423773e+00
3.052570e+02 5.27293810e+00
3.055290e+02 4.64351588e+00
3.059770e+02 4.16868974e+00
3.060340e+02 4.11244043e+00
3.061690e+02 3.99065846e+00
3.067710e+02 3.79819541e+00
3.068080e+02 3.78976609e+00
3.068120e+02 3.79008641e+00
3.074470e+02 3.92052078e+00
3.075650e+02 3.96573650e+00
3.075890e+02 3.97887477e+00
3.080870e+02 4.34654051e+00
