Mo-92(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
11520.0 3.26482
11521.4 3.07095
11522.8 2.60733
11525.6 1.62586
11528.2 1.03456
11530.8 0.689576
11533.4 0.484085
11536.0 0.355848
11541.1 0.212763
11546.3 0.140608
11551.5 0.0994583
11556.7 0.0739912
11567.0 0.0454522
11577.3 0.0306997
11587.7 0.0221261
11598.0 0.0167026
11608.4 0.0130637
11629.1 0.00863133
11649.8 0.00613999
11670.4 0.00460253
11691.1 0.00358784
11732.5 0.00237443
11773.9 0.00170510
11815.3 0.00129772
11856.7 0.00103201
11939.4 0.000719460
12022.2 0.000551860
12187.7 0.000395006
12353.2 0.000340289
12518.8 0.000340901
12601.5 0.000365958
12684.3 0.000434673
12725.7 0.000521749
12767.1 0.000754151
12808.4 0.00195309
12829.1 0.00665242
12839.5 0.0250709
12842.1 0.0438250
12844.7 0.0957768
12846.0 0.166718
12847.2 0.357785
12847.9 0.610178
12848.5 1.24773
12848.9 2.05539
12849.0 2.75878
12849.2 3.88880
12849.3 5.86381
12849.5 9.74185
12849.6 13.2051
12849.7 18.6958
12849.7 27.8320
12849.8 44.6338
12849.9 70.5967
12850.0 89.2695
12850.1 70.5965
12850.2 44.6338
12850.2 32.7305
12850.3 25.0752
12850.4 14.9615
12850.5 9.74214
12850.6 6.78861
12850.7 4.97975
12850.8 3.79985
12851.1 2.41304
12851.3 1.66380
12851.5 1.21505
12851.9 0.735903
12852.8 0.347760
12853.7 0.202925
12855.4 0.0933734
12857.2 0.0537011
12860.7 0.0245009
12864.1 0.0140753
12878.1 0.00387020
12906.0 0.00129274
12961.9 0.000676339
13017.8 0.000601327
13073.6 0.000617724
13185.3 0.000762305
13297.0 0.00106735
13352.9 0.00132635
13408.8 0.00171803
13464.6 0.00234901
13520.5 0.00346213
13576.3 0.00571566
13604.3 0.00783162
13632.2 0.0114434
13646.2 0.0142939
13653.1 0.0161409
13660.1 0.0183744
13667.1 0.0211135
13674.1 0.0245111
13677.6 0.0265262
13681.1 0.0287998
13684.6 0.0313774
13688.1 0.0343149
13691.6 0.0376915
13695.0 0.0415740
13702.0 0.0513441
13709.0 0.0649052
13716.0 0.0843925
13723.0 0.113547
13729.9 0.159159
13736.9 0.233615
13743.9 0.356887
13752.0 0.571420
13760.0 0.714364
13764.0 0.671793
13768.1 0.570580
13776.1 0.356107
13781.8 0.252022
13787.4 0.182846
13793.0 0.136696
13798.7 0.105280
13810.0 0.0672146
13821.3 0.0463443
13832.6 0.0338334
13843.8 0.0258019
13866.4 0.0165345
13889.0 0.0116509
13911.6 0.00882754
13956.7 0.00608537
14001.9 0.00545078
14024.4 0.00588645
14047.0 0.00720265
14069.6 0.0104965
14080.9 0.0138949
14092.2 0.0200742
14097.8 0.0252227
14103.5 0.0329362
14109.1 0.0452674
14114.7 0.0666405
14120.4 0.108700
14123.2 0.146732
14126.0 0.208969
14128.9 0.320717
14130.3 0.412852
14131.7 0.549726
14133.1 0.763776
14134.5 1.11957
14135.9 1.75073
14137.3 2.91112
14138.7 4.67105
14140.0 5.83477
14141.4 4.65551
14142.7 2.91004
14143.9 1.85571
14145.2 1.23907
14146.4 0.871075
14147.7 0.640402
14150.1 0.383847
14152.6 0.254086
14155.1 0.180181
14157.6 0.134326
14162.5 0.0830003
14167.5 0.0564062
14172.4 0.0409481
14177.4 0.0311458
14182.3 0.0245662
14192.3 0.0165273
14202.2 0.0119901
14212.1 0.00917614
14222.0 0.00730822
14241.8 0.00505372
14261.6 0.00379150
14301.3 0.00250148
14340.9 0.00192171
14380.5 0.00175380
14400.4 0.00191382
14420.2 0.00263966
14440.0 0.00701309
14449.9 0.0244558
14452.4 0.0422151
14454.9 0.0916427
14456.1 0.158520
14457.4 0.339681
14458.0 0.576457
14458.6 1.18469
14458.9 1.92753
14459.2 3.65345
14459.4 5.59769
14459.5 9.17728
14459.6 12.5787
14459.7 17.2084
14459.8 25.8468
14459.8 39.9109
14459.9 62.8205
14460.0 79.8227
14460.1 62.8203
14460.2 39.9109
14460.3 25.8470
14460.3 18.0538
14460.4 12.5789
14460.5 9.52506
14460.6 5.76674
14460.8 3.93318
14461.1 2.07197
14461.4 1.29061
14461.9 0.630726
14462.5 0.372464
14463.7 0.174159
14464.9 0.100746
14467.3 0.0463779
14469.6 0.0268578
14479.0 0.00750792
14497.9 0.00252138
