Mg-24(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
433798 18.0602
433844 18.0578
433936 18.0506
434029 18.0394
434121 18.0256
434170 18.0168
434213 18.0128
434305 18.0019
434397 17.9882
434476 17.9744
434490 17.9728
434536 17.9674
434582 17.9618
434674 17.9486
434766 17.9333
434859 17.9156
434951 17.8968
435043 17.8762
435135 17.8539
435227 17.8301
435251 17.8235
435320 17.8090
435412 17.7886
435504 17.7670
435596 17.7440
435688 17.7197
435781 17.6937
435873 17.6672
435965 17.6396
436026 17.6207
436057 17.6127
436149 17.5885
436242 17.5625
436334 17.5365
436426 17.5093
436611 17.4519
436795 17.3918
436801 17.3899
436826 17.3833
436850 17.3766
436899 17.3632
436979 17.3358
437164 17.2698
437348 17.2020
437533 17.1309
437717 17.0584
437901 16.9836
438086 16.9061
438270 16.8275
438352 16.7916
438455 16.7525
438639 16.6813
438824 16.6080
439008 16.5341
439083 16.5035
439192 16.4548
439377 16.3706
439561 16.2862
439746 16.2000
439902 16.1271
439930 16.1147
440022 16.0738
440114 16.0328
440299 15.9493
440483 15.8660
440668 15.7814
440852 15.6972
441221 15.5269
441452 15.4199
441590 15.3560
441959 15.1853
442328 15.0146
442696 14.8450
443003 14.7034
443065 14.6746
443296 14.5671
443526 14.4601
443778 14.3434
443987 14.2455
444448 14.0309
444541 13.9879
444553 13.9828
444598 13.9637
444642 13.9445
444731 13.9064
444909 13.8304
445328 13.6532
445370 13.6352
445486 13.5852
445601 13.5355
445832 13.4368
446100 13.3236
446104 13.3220
446116 13.3168
446128 13.3117
446151 13.3015
446199 13.2811
446293 13.2403
446509 13.1477
446725 13.0559
446754 13.0449
446817 13.0212
446879 12.9976
447047 12.9322
447214 12.8673
447215 12.8669
447219 12.8655
447222 12.8642
447229 12.8616
447243 12.8563
447270 12.8457
447325 12.8246
447435 12.7826
447654 12.6993
447676 12.6906
447734 12.6680
447791 12.6455
447907 12.6007
448137 12.5118
448429 12.4006
448598 12.3344
448908 12.2142
449059 12.1614
