Au-197(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
546.690 2.15381
546.914 3.19379
547.138 5.26354
547.250 7.16736
547.362 10.3333
547.474 16.1723
547.530 21.1190
547.586 28.6543
547.642 40.9068
547.698 62.3451
547.726 79.4055
547.754 103.532
547.782 138.193
547.810 187.535
547.855 300.061
547.900 375.089
547.945 300.024
547.990 187.495
548.042 107.387
548.095 66.4022
548.147 44.2601
548.199 31.3684
548.251 23.2860
548.303 17.9413
548.407 11.5575
548.512 8.05174
548.616 5.93256
548.824 3.61104
549.033 2.43762
549.241 1.76425
549.450 1.34274
549.658 1.06166
550.075 0.722084
550.492 0.532817
551.326 0.340939
552.160 0.251372
552.994 0.203401
554.662 0.159307
556.331 0.146061
557.999 0.153567
558.833 0.171414
559.667 0.221979
560.084 0.289084
560.292 0.353701
560.501 0.467434
560.709 0.697006
560.813 0.911928
560.918 1.27670
561.022 1.97159
561.074 2.58020
561.126 3.54277
561.178 5.19106
561.230 8.30779
561.257 10.9913
561.283 15.0623
561.309 21.5008
561.335 31.6743
561.367 50.5753
561.400 63.1671
561.433 50.5727
561.465 31.6714
561.499 19.3850
561.532 12.5891
561.565 8.68846
561.598 6.32446
561.632 4.79687
561.665 3.76614
561.731 2.50836
561.798 1.80289
561.864 1.37041
561.997 0.891665
562.130 0.647122
562.263 0.506298
562.529 0.359415
562.795 0.289187
563.061 0.251040
563.592 0.215064
564.656 0.197962
565.719 0.204233
567.846 0.246922
569.973 0.332695
572.100 0.506647
573.164 0.667913
574.227 0.941461
575.291 1.47123
575.823 1.95427
576.354 2.76750
576.886 4.33736
577.152 5.76750
577.219 6.24896
577.285 6.79890
577.352 7.43349
577.418 8.16938
577.484 9.03292
577.551 10.0549
577.617 11.2778
577.684 12.7571
577.750 14.5778
577.817 16.8522
577.883 19.7475
577.950 23.5088
578.016 28.5383
578.083 35.4660
578.149 45.3715
578.216 60.1687
578.282 83.6173
578.349 123.255
578.382 153.824
578.415 195.682
578.448 253.763
578.481 333.773
578.541 532.143
578.600 664.431
578.659 532.494
578.719 334.559
578.771 219.404
578.823 150.425
578.875 108.533
