Cr-53(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
64828.4 17.3435
64840.8 17.3661
64853.3 17.4569
64878.1 17.6906
64903.0 17.9440
65002.6 18.9861
65201.7 21.0134
65600.0 24.3264
66026.2 26.0292
66239.3 26.0912
66292.6 26.0470
66345.9 26.0154
66372.5 26.0428
66385.8 26.0934
66399.1 26.2029
66412.4 26.4482
66419.1 26.6831
66425.8 27.0766
66432.4 27.7901
66439.1 29.2431
66442.4 30.5780
66445.7 32.7456
66449.1 36.4555
66452.4 42.9305
66455.9 53.4738
66459.4 60.6667
66462.8 53.8384
66466.3 43.3546
66468.9 38.0512
66471.4 34.5598
66473.9 32.2576
66476.5 30.7036
66481.5 28.8254
66486.6 27.7939
66491.7 27.1688
66496.8 26.7619
66506.9 26.2748
66517.0 25.9973
66527.2 25.8172
66547.5 25.5872
66588.0 25.3088
66628.6 25.0972
66709.7 24.7054
66790.9 24.3058
66953.2 23.4733
66993.7 23.2803
67014.0 23.1988
67034.3 23.1423
67054.6 23.1452
67064.7 23.1976
67074.9 23.3251
67085.0 23.6139
67090.1 23.8819
67095.2 24.3114
67100.2 25.0376
67105.3 26.3601
67110.4 29.0039
67112.9 31.3109
67115.4 34.6839
67119.3 42.0466
67123.1 47.0508
67127.0 42.2231
67130.8 34.8315
67134.6 30.1475
67138.3 27.4676
67142.0 25.8927
67145.8 24.9144
67153.2 23.8197
67160.7 23.2507
67168.2 22.9093
67175.7 22.6817
67190.6 22.3882
67205.6 22.1936
67220.5 22.0432
67250.4 21.7999
67310.1 21.3928
67369.9 21.0170
67609.0 19.5860
68060.5 17.1006
68512.0 14.9854
68737.7 14.1039
68963.4 13.4158
69076.3 13.2239
69189.2 13.2992
69245.6 13.5699
69302.0 14.1976
69358.5 15.6014
69386.7 16.8721
69414.9 18.7628
69457.5 22.8867
69500.0 25.6808
69542.6 22.6669
69585.1 18.0731
69611.3 16.0459
69637.5 14.6075
69663.6 13.5792
69676.7 13.1584
69683.3 12.9345
69686.5 12.7622
69688.2 12.5687
69689.0 12.3276
69689.4 12.1014
69689.8 12.9659
69690.0 17.1099
69690.2 16.2803
69690.6 14.1483
69691.0 13.5986
69691.8 13.2285
69693.4 12.9946
69696.6 12.8192
69703.0 12.6290
69715.8 12.3545
69741.4 11.9367
69754.3 11.7762
69767.1 11.6643
69773.5 11.6532
69779.9 11.7446
69783.1 11.9079
69786.3 12.3264
69787.9 12.7882
69789.5 13.6875
69791.1 15.6870
69791.9 17.6258
69792.7 20.7863
69793.7 26.5606
69794.7 30.4848
69795.6 26.7496
69796.6 20.9881
69797.3 18.3102
69797.9 16.4884
69799.2 14.3486
69800.5 13.2534
