28-Ni_n-g
>  28-Ni-58:0.680770
>  28-Ni-59:0.000000
>  28-Ni-60:0.262230
>  28-Ni-61:0.011399
>  28-Ni-62:0.036346
>  28-Ni-64:0.009255
2.256850e+03 1.97940387e-01
2.257520e+03 1.46646013e-01
2.258140e+03 1.16855461e-01
2.258190e+03 1.14453013e-01
2.258860e+03 9.29964274e-02
2.260200e+03 6.70130881e-02
2.261540e+03 5.24952311e-02
2.262880e+03 4.35707399e-02
2.264220e+03 3.76968229e-02
2.266910e+03 3.06887046e-02
2.269590e+03 2.68302174e-02
2.274950e+03 2.29474650e-02
2.280320e+03 2.11319639e-02
2.284860e+03 2.02928960e-02
2.285680e+03 2.01413941e-02
2.296410e+03 1.91564862e-02
2.300000e+03 1.90406755e-02
2.317870e+03 1.84642025e-02
2.339320e+03 1.82375465e-02
2.399680e+03 1.81409691e-02
2.400000e+03 1.81411208e-02
2.425150e+03 1.81530406e-02
2.463420e+03 1.82685000e-02
2.500000e+03 1.83892303e-02
2.569710e+03 1.86193045e-02
2.596810e+03 1.87116200e-02
2.598500e+03 1.87180163e-02
2.600000e+03 1.87236935e-02
2.603130e+03 1.87355400e-02
2.606250e+03 1.87473486e-02
2.612500e+03 1.87710036e-02
2.625000e+03 1.88183138e-02
2.650000e+03 1.89129340e-02
2.700000e+03 1.91021745e-02
2.712140e+03 1.91481221e-02
2.750000e+03 1.92992770e-02
2.799350e+03 1.95084729e-02
2.800000e+03 1.95134512e-02
2.854570e+03 1.99314009e-02
2.900000e+03 2.02968176e-02
2.925780e+03 2.05041793e-02
2.940120e+03 2.06287660e-02
2.950000e+03 2.07153465e-02
2.956110e+03 2.07688897e-02
2.996990e+03 2.11386112e-02
3.000000e+03 2.11689318e-02
3.032600e+03 2.14984898e-02
3.050000e+03 2.17015758e-02
3.068210e+03 2.19141159e-02
3.075000e+03 2.20110230e-02
3.086010e+03 2.21681580e-02
3.100000e+03 2.24379789e-02
3.103810e+03 2.25114612e-02
3.112720e+03 2.27846172e-02
3.121620e+03 2.33195509e-02
3.124250e+03 2.36790282e-02
3.126070e+03 2.39277920e-02
3.128290e+03 2.44875024e-02
3.130520e+03 2.54546557e-02
3.132750e+03 2.73962638e-02
3.133860e+03 2.92207975e-02
3.134970e+03 3.23473479e-02
3.136080e+03 3.84119562e-02
3.136380e+03 4.13173992e-02
3.136640e+03 4.38354499e-02
3.137200e+03 5.26105915e-02
3.137750e+03 6.81516469e-02
3.138310e+03 9.91645277e-02
3.138590e+03 1.27370309e-01
3.138860e+03 1.72909447e-01
3.139140e+03 2.50466971e-01
3.139420e+03 3.85744471e-01
3.139710e+03 6.03595264e-01
3.140000e+03 7.48886863e-01
3.140290e+03 6.03624790e-01
3.140580e+03 3.85806943e-01
3.140870e+03 2.45520535e-01
3.141160e+03 1.67285722e-01
3.141460e+03 1.22340512e-01
3.141750e+03 9.50115823e-02
3.142040e+03 7.72966828e-02
3.142330e+03 6.52908585e-02
3.142910e+03 5.06495298e-02
3.143500e+03 4.24261427e-02
3.144080e+03 3.73891555e-02
3.145250e+03 3.18062926e-02
3.146410e+03 2.89568219e-02
3.147580e+03 2.73201561e-02
3.148500e+03 2.66501295e-02
3.149910e+03 2.56232409e-02
3.152250e+03 2.48248830e-02
3.154580e+03 2.44023418e-02
3.156690e+03 2.42340722e-02
3.159250e+03 2.40299996e-02
3.160630e+03 2.40150351e-02
3.166690e+03 2.39493217e-02
3.168580e+03 2.39288270e-02
3.172750e+03 2.40066817e-02
3.177910e+03 2.41030200e-02
3.178810e+03 2.41374298e-02
3.181840e+03 2.42532762e-02
3.184880e+03 2.43695049e-02
3.187910e+03 2.44853512e-02
3.190940e+03 2.46011976e-02
3.193970e+03 2.47170440e-02
3.196580e+03 2.48168324e-02
3.197000e+03 2.48450571e-02
3.199030e+03 2.49814761e-02
3.200000e+03 2.50517536e-02
3.203000e+03 2.52691067e-02
3.206000e+03 2.54864598e-02
3.209000e+03 2.57038129e-02
3.211840e+03 2.59095738e-02
3.214690e+03 2.61160593e-02
3.215240e+03 2.61559074e-02
3.217530e+03 2.64560213e-02
3.220380e+03 2.68295255e-02
3.226060e+03 2.75739128e-02
3.231750e+03 2.83196107e-02
3.233910e+03 2.86026876e-02
3.237440e+03 2.93985042e-02
3.243130e+03 3.06812796e-02
3.243240e+03 3.07060784e-02
3.252570e+03 3.40355229e-02
3.254500e+03 3.52317894e-02
3.261900e+03 3.98185109e-02
3.265880e+03 4.46748928e-02
3.271240e+03 5.12151458e-02
3.275900e+03 6.14991514e-02
3.277250e+03 6.62746623e-02
3.280570e+03 7.80188815e-02
3.285230e+03 1.06061275e-01
3.289900e+03 1.55088902e-01
3.294950e+03 2.39288049e-01
3.300000e+03 2.97079132e-01
3.305050e+03 2.38272125e-01
3.310100e+03 1.54650634e-01
3.313370e+03 1.21982372e-01
3.315490e+03 1.00803041e-01
3.320880e+03 7.25072485e-02
3.325000e+03 6.05757670e-02
3.326270e+03 5.68978588e-02
3.331660e+03 4.76456915e-02
3.337050e+03 4.17989754e-02
3.342440e+03 3.79058200e-02
3.350000e+03 3.46478737e-02
3.353220e+03 3.32602299e-02
3.364000e+03 3.07440187e-02
3.374780e+03 2.92636346e-02
3.396340e+03 2.77551446e-02
3.400000e+03 2.76479193e-02
3.417900e+03 2.71235112e-02
3.439460e+03 2.68772325e-02
3.450000e+03 2.68523074e-02
3.461020e+03 2.68262471e-02
3.482580e+03 2.68846614e-02
3.500000e+03 2.70022165e-02
3.525690e+03 2.71802451e-02
3.547330e+03 2.73895650e-02
3.568810e+03 2.75986912e-02
3.598700e+03 2.79408611e-02
3.600000e+03 2.79617279e-02
3.626750e+03 2.83911027e-02
3.655050e+03 2.88470689e-02
3.700000e+03 2.96136760e-02
3.724700e+03 3.00349262e-02
3.741290e+03 3.03192229e-02
3.750000e+03 3.04718282e-02
3.800000e+03 3.13478631e-02
3.827530e+03 3.18302080e-02
3.850000e+03 3.22292228e-02
3.900000e+03 3.31171064e-02
3.902060e+03 3.31536872e-02
3.950000e+03 3.40101169e-02
4.000000e+03 3.49033477e-02
4.000010e+03 3.49034673e-02
