Pb-206(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
53905.6 0.247507
53906.8 0.179727
53908.0 0.135510
53910.5 0.0836016
53913.0 0.0563451
53915.4 0.0403480
53917.9 0.0302917
53922.8 0.0188276
53927.7 0.0128016
53932.6 0.00926839
53937.5 0.00701539
53942.4 0.00549770
53952.2 0.00363827
53962.0 0.00258761
53981.6 0.00150604
54001.2 0.000989329
54020.9 0.000703069
54060.1 0.000413453
54138.6 0.000202507
54217.1 0.000127543
54531.0 5.43500E-05
55158.9 3.60494E-05
56414.6 3.31413E-05
57670.3 3.60634E-05
58926.0 4.26050E-05
60181.7 5.50048E-05
61437.5 8.06296E-05
62065.3 0.000105292
62693.2 0.000150857
63007.1 0.000193409
63321.0 0.000278408
63478.0 0.000371911
63635.0 0.000602771
63791.9 0.00173327
63870.4 0.00607899
63909.7 0.0228479
63929.3 0.0856427
63934.2 0.146604
63939.1 0.305951
63941.6 0.506463
63944.0 0.988167
63945.2 1.53447
63946.5 2.66255
63947.1 3.75543
63947.7 5.58189
63948.3 8.90768
63948.9 15.2952
63949.5 24.4385
63950.0 30.6020
63950.6 24.4533
63951.1 15.3071
63951.6 9.94535
63952.1 6.70303
63952.6 4.74199
63953.0 3.52140
63954.0 2.11815
63955.0 1.40900
63956.9 0.745149
63958.9 0.459610
63962.8 0.224155
63966.7 0.132235
63974.4 0.0617664
63982.2 0.0357105
64013.4 0.00949557
64075.6 0.00268233
64200.1 0.000984183
64324.7 0.000715512
64449.2 0.000673184
64698.2 0.000803344
64947.3 0.00115530
65071.8 0.00146288
65196.3 0.00193083
65320.8 0.00268495
65445.3 0.00400862
65569.9 0.00665087
65632.1 0.00908688
65694.4 0.0131547
65756.6 0.0206907
65787.8 0.0271125
65818.9 0.0369802
65850.0 0.0531615
65881.2 0.0819967
65888.9 0.0926477
65896.7 0.105322
65904.5 0.120524
65912.3 0.138871
65920.1 0.161130
65927.8 0.188221
65935.6 0.221180
65943.4 0.261023
65949.2 0.295809
65955.1 0.334701
65966.7 0.421509
65990.0 0.547542
66001.7 0.527367
66013.4 0.455526
66036.7 0.287225
66053.9 0.199496
66071.0 0.142089
66088.2 0.104614
66105.4 0.0795418
66139.7 0.0498160
66174.0 0.0338747
66208.3 0.0244612
66242.7 0.0184886
66311.3 0.0117012
66380.0 0.00827429
66448.6 0.00670954
66483.0 0.00674055
66517.3 0.00826654
66534.5 0.0108189
66543.0 0.0133746
66551.6 0.0178886
66560.2 0.0268296
66564.5 0.0349404
66568.8 0.0482014
66573.1 0.0719436
66575.2 0.0915074
66577.4 0.120340
66579.5 0.165468
66581.6 0.239795
66583.8 0.371848
66585.9 0.614437
66590.0 1.29215
66592.0 1.07767
66594.1 0.681949
66595.9 0.442067
66597.7 0.298304
66599.5 0.211377
66601.3 0.156730
66604.9 0.0952112
66608.5 0.0640406
66612.1 0.0461892
66615.6 0.0351225
66622.8 0.0226641
66630.0 0.0161961
66637.2 0.0124069
66651.6 0.00834886
66666.0 0.00630903
66680.4 0.00511925
66709.1 0.00381467
66766.6 0.00266716
66824.1 0.00211042
66939.2 0.00150763
67054.2 0.00116205
67284.3 0.000767626
67514.3 0.000550596
67744.4 0.000416564
67974.4 0.000327670
68434.5 0.000220738
68894.6 0.000161954
69354.8 0.000128591
69814.9 0.000123069
70044.9 0.000186916
70102.4 0.000258567
70160.0 0.000460026
70188.7 0.000731603
70217.5 0.00145733
70231.8 0.00238839
70239.0 0.00325382
70246.2 0.00471165
70253.4 0.00744752
70257.0 0.00981376
70260.6 0.0134876
70264.2 0.0196401
70267.8 0.0308618
70269.6 0.0401920
70271.4 0.0538426
70273.2 0.0745602
70275.0 0.105721
70277.5 0.169774
70280.0 0.214587
70282.5 0.173606
70285.0 0.108929
70287.0 0.0745666
70288.9 0.0526605
70290.8 0.0385638
70292.8 0.0292135
70296.6 0.0182210
70300.5 0.0123627
70304.4 0.00890697
70308.2 0.00672098
70315.9 0.00421831
70323.7 0.00289803
70331.4 0.00212102
70346.8 0.00128978
70362.3 0.000878632
70377.7 0.000645764
70408.6 0.000405347
70439.5 0.000289860
70470.4 0.000225472
70532.2 0.000159526
70655.8 0.000109611
70779.4 9.01583E-05
71026.6 7.31920E-05
71273.7 6.47208E-05
72262.4 4.87001E-05
74239.8 3.70772E-05
76217.1 3.68522E-05
77205.8 4.46115E-05
77453.0 5.00978E-05
77700.2 6.21549E-05
77823.7 7.64690E-05
77885.5 8.98649E-05
77947.3 0.000113422
78009.1 0.000162123
78040.0 0.000209498
78070.9 0.000294095
78101.8 0.000469259
78117.3 0.000637815
78132.7 0.000933096
78148.2 0.00152392
78155.9 0.00207073
78163.6 0.00298597
78171.3 0.00469344
78175.2 0.00615538
78179.1 0.00841502
78182.9 0.0121517
78186.8 0.0188967
78188.7 0.0244238
78190.6 0.0324831
78192.6 0.0445427
78194.5 0.0627192
78200.0 0.134016
78201.4 0.130176
78202.8 0.113103
78205.5 0.0716757
78207.6 0.0491133
78209.7 0.0345587
78211.8 0.0252074
78213.9 0.0190270
78218.1 0.0118004
78222.3 0.00797455
78226.5 0.00573385
78230.7 0.00431760
78239.1 0.00270319
78247.5 0.00185615
78255.9 0.00135847
78272.7 0.000828219
78289.5 0.000567000
78306.3 0.000419648
78339.9 0.000268544
78373.5 0.000197020
78407.1 0.000158001
78474.3 0.000119999
78608.7 9.68433E-05
78743.1 9.45489E-05
79280.7 0.000154308
79818.3 0.000529686
79952.7 0.000917904
80087.1 0.00201543
80154.3 0.00352989
80221.5 0.00775705
80255.1 0.0134977
80271.9 0.0191145
80288.7 0.0291355
80305.5 0.0497199
80313.9 0.0693065
80322.3 0.103172
80330.7 0.169356
80334.9 0.229019
80339.1 0.326235
80343.3 0.499698
80345.4 0.641812
80347.5 0.851613
