Cl-37(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
157563 0.0121055
157601 0.00980919
157638 0.00613823
157666 0.00423689
157694 0.00300907
157723 0.00221442
157751 0.00168648
157807 0.00106114
157863 0.000726131
157920 0.000528240
157976 0.000402376
158089 0.000258002
158201 0.000181751
158314 0.000136839
158539 8.88841E-05
158764 6.52899E-05
158990 5.20978E-05
159440 3.89693E-05
159891 3.33989E-05
160341 3.11811E-05
161242 3.21851E-05
162143 3.99797E-05
163044 6.29058E-05
163495 9.18578E-05
163945 0.000163552
164170 0.000249598
164283 0.000326082
164396 0.000449748
164508 0.000669526
164565 0.000849203
164621 0.00111464
164677 0.00152732
164733 0.00220893
164790 0.00340985
164846 0.00560526
164900 0.00896073
164954 0.0113370
165008 0.00921455
165062 0.00581399
165105 0.00397604
165147 0.00281271
165190 0.00207414
165232 0.00159055
165318 0.00103301
165403 0.000746901
165488 0.000589363
165573 0.000501949
165744 0.000449463
165914 0.000533172
165999 0.000652593
166084 0.000877581
166170 0.00133223
166212 0.00174482
166255 0.00241566
166297 0.00360382
166340 0.00598005
166361 0.00814241
166383 0.0116380
166404 0.0176124
166425 0.0280720
166469 0.0581114
166491 0.0479603
166513 0.0303068
166536 0.0178621
166560 0.0112668
166584 0.00762629
166608 0.00547223
166632 0.00410802
166656 0.00320393
166703 0.00212148
166751 0.00152921
166798 0.00117801
166894 0.000822018
166989 0.000713830
167084 0.000844831
167132 0.00110979
167180 0.00179175
167203 0.00255603
167227 0.00409039
167239 0.00548183
167251 0.00771261
167263 0.0114604
167275 0.0178353
167288 0.0281472
167301 0.0338323
167327 0.0163407
167338 0.0105894
167350 0.00720229
167362 0.00515936
167374 0.00386603
167397 0.00241084
167421 0.00166721
167468 0.000967858
167515 0.000661559
167609 0.000405083
167704 0.000303391
167892 0.000232452
168080 0.000230015
168269 0.000280169
168363 0.000335767
168457 0.000429182
168551 0.000592919
168646 0.000904134
168693 0.00116940
168740 0.00156871
168787 0.00218727
168834 0.00314833
168896 0.00499977
168958 0.00622936
169020 0.00499113
169082 0.00313807
169141 0.00199102
169200 0.00133125
169259 0.000941465
169318 0.000699542
169436 0.000431978
169554 0.000297173
169673 0.000220360
169791 0.000172556
170027 0.000118635
170263 9.04654E-05
170499 7.39571E-05
170971 5.66233E-05
171916 4.53754E-05
172861 4.62597E-05
173805 5.65626E-05
174278 6.74734E-05
174750 8.62930E-05
175222 0.000122571
175458 0.000155382
175694 0.000210195
175931 0.000314787
176049 0.000408618
176167 0.000562845
176285 0.000846352
176344 0.00108815
176403 0.00146086
176462 0.00207966
176521 0.00320189
176551 0.00412774
176580 0.00548551
176610 0.00752697
176639 0.0106011
176681 0.0169581
176723 0.0212327
176765 0.0170551
176806 0.0107721
176842 0.00715037
176878 0.00496925
176914 0.00363486
176950 0.00279247
177022 0.00186311
177094 0.00142781
177165 0.00123252
177237 0.00118586
177381 0.00145169
177610 0.00234189
177725 0.00189902
177840 0.00126444
177993 0.000772883
