S-32(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
640055 0.000195428
641867 0.000288731
643678 0.000472891
644584 0.000650964
645037 0.000842587
645263 0.00122580
645376 0.00240719
645433 0.00611741
645461 0.0158699
645489 0.110073
645495 0.175417
645500 0.219316
645505 0.175417
645511 0.110077
645532 0.0226045
645553 0.00923792
645596 0.00354186
645681 0.00167579
645850 0.00119294
646190 0.00119375
646870 0.00153947
648055 0.00248619
649240 0.00312897
650425 0.00246415
651610 0.00151964
652506 0.00104718
653402 0.000747178
654298 0.000554834
655193 0.000427485
656985 0.000278345
658777 0.000200071
660568 0.000156134
662360 0.000133152
664152 0.000141418
664600 0.000164112
665047 0.000232851
665271 0.000327692
665495 0.000583942
665607 0.000915463
665719 0.00175112
665831 0.00498124
665887 0.0116195
665915 0.0207891
665943 0.0424435
665962 0.0678888
665980 0.0848660
665998 0.0678838
666017 0.0424385
666053 0.0172835
666089 0.00876851
666161 0.00345788
666233 0.00184836
666305 0.00116621
666449 0.000612229
666593 0.000397928
666881 0.000234291
667170 0.000173730
667746 0.000128569
668322 0.000112281
669475 0.000101818
670628 0.000102447
671780 0.000112600
672933 0.000145407
674086 0.000303640
674374 0.000445969
674518 0.000575116
674662 0.000787014
674806 0.00116997
674878 0.00148806
674950 0.00196311
675022 0.00271398
675094 0.00397669
675166 0.00625798
675238 0.0105539
675304 0.0168555
675370 0.0210502
675436 0.0168381
675502 0.0105506
675550 0.00740168
675598 0.00533656
675646 0.00397970
675694 0.00306424
675790 0.00196848
675886 0.00137404
675982 0.00102000
676078 0.000793562
676270 0.000532554
676462 0.000394316
676654 0.000312778
677038 0.000226098
677422 0.000184082
677806 0.000161241
678574 0.000140204
680109 0.000133004
681645 0.000142299
684717 0.000189608
686253 0.000235632
687021 0.000290877
687405 0.000424058
687597 0.000876761
687693 0.00242899
687741 0.00713203
687765 0.0183456
687777 0.0369917
687788 0.0943732
687800 0.188492
687812 0.0943710
687821 0.0454033
687830 0.0250725
687848 0.0106530
687884 0.00376053
687957 0.00129983
688103 0.000565653
688394 0.000375314
688976 0.000350244
689558 0.000371704
690140 0.000403269
690878 0.000451059
691615 0.000505303
692353 0.000564003
693090 0.000624111
694565 0.000728419
696040 0.000770137
697515 0.000723657
698990 0.000616477
701940 0.000391860
704515 0.000263600
707090 0.000188167
709665 0.000144953
712240 0.000122308
714815 0.000116504
717390 0.000133096
718678 0.000157133
719965 0.000202920
721253 0.000292105
722540 0.000469359
723665 0.000722397
724790 0.000888958
725916 0.000715076
727041 0.000459068
728409 0.000271132
729778 0.000178123
731146 0.000129851
732514 0.000103713
733883 9.07102E-05
735251 8.90608E-05
736619 0.000109198
737303 0.000163479
737474 0.000208988
737645 0.000326397
737731 0.000479649
737816 0.000887091
737902 0.00275360
737945 0.00810092
737987 0.0811904
737994 0.129706
738000 0.162259
738006 0.129704
738013 0.0811892
738030 0.0239412
738048 0.0105051
738084 0.00372103
738155 0.00121158
738226 0.000656072
738297 0.000451930
738440 0.000308186
738582 0.000267103
738867 0.000267203
739151 0.000314440
739436 0.000404406
739721 0.000560663
740005 0.000838864
740290 0.00134359
740570 0.00212307
740850 0.00264103
741130 0.00211781
741410 0.00133612
741682 0.000845893
741954 0.000566573
742226 0.000403162
742497 0.000302101
743041 0.000190890
743585 0.000134937
744128 0.000102974
744672 8.29672E-05
745759 6.00836E-05
746846 4.77809E-05
747933 4.02638E-05
750108 3.16864E-05
754457 2.41713E-05
758806 2.13825E-05
763155 2.14342E-05
767503 2.59658E-05
769678 3.26436E-05
770765 3.88298E-05
771852 4.91095E-05
772940 6.83181E-05
774027 0.000113043
774570 0.000165309
774842 0.000212255
775114 0.000290770
775386 0.000441275
775658 0.000801455
775794 0.00121537
775929 0.00211379
775997 0.00301612
776065 0.00464343
776133 0.00792299
776201 0.0151087
776226 0.0192969
776251 0.0240818
776275 0.0283027
776300 0.0300618
776349 0.0240889
776399 0.0151270
776495 0.00632143
776590 0.00330751
776686 0.00205653
776782 0.00144247
776877 0.00110600
776973 0.000909121
777164 0.000720954
777356 0.000670995
777547 0.000700795
777930 0.000954111
778290 0.00141003
778650 0.00171750
779010 0.00138092
779370 0.000887888
779639 0.000637316
779908 0.000476563
780446 0.000309401
780984 0.000245402
781522 0.000239873
782598 0.000506945
782867 0.000783084
783001 0.00103654
783136 0.00145400
783270 0.00220754
783405 0.00376020
783539 0.00765275
783606 0.0119932
783674 0.0200267
783705 0.0256172
783737 0.0320045
783768 0.0376381
783800 0.0399831
783863 0.0319961
783926 0.0200170
783994 0.0119574
784061 0.00761871
784196 0.00373372
784331 0.00218306
784466 0.00142876
784601 0.00100915
784735 0.000752689
785005 0.000468885
785275 0.000323549
785544 0.000239205
786083 0.000149725
786623 0.000105340
787162 7.98970E-05
788240 5.29468E-05
789319 3.94495E-05
790397 3.16040E-05
792554 2.31707E-05
796868 1.65614E-05
801182 1.44912E-05
805496 1.47043E-05
809810 1.83186E-05
811967 2.38131E-05
814124 3.88110E-05
815203 5.83519E-05
815742 7.68158E-05
816281 0.000108545
816820 0.000170107
817090 0.000225215
817360 0.000314393
817629 0.000471968
817899 0.000786757
818034 0.00107298
818168 0.00153500
818303 0.00232166
818438 0.00369370
818579 0.00591202
818720 0.00739184
818861 0.00590751
819002 0.00369153
819116 0.00248538
819230 0.00173226
819345 0.00125785
819459 0.000948135
819687 0.000589664
819916 0.000401501
820144 0.000291749
820372 0.000222633
820829 0.000144143
821286 0.000103246
821742 7.94850E-05
822656 5.48857E-05
823569 4.37980E-05
824483 3.88083E-05
826310 3.86014E-05
828136 5.05120E-05
829050 6.47363E-05
