47-Ag_n-g
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
7.841850e+01 5.35226094e-01
7.850000e+01 7.81296414e-01
7.858150e+01 5.28428406e-01
7.865260e+01 3.86818835e-01
7.872360e+01 3.31841416e-01
7.886580e+01 2.92121882e-01
7.915000e+01 2.69879590e-01
7.943430e+01 2.72732885e-01
7.957640e+01 3.02234339e-01
7.964740e+01 3.51489365e-01
7.971850e+01 4.85929013e-01
7.980000e+01 7.29376967e-01
7.988150e+01 4.81978604e-01
7.992120e+01 3.88506077e-01
7.996080e+01 3.34973615e-01
8.004010e+01 2.83609148e-01
8.019860e+01 2.49462587e-01
8.051580e+01 2.31216639e-01
8.092930e+01 2.25862430e-01
8.115000e+01 2.23624445e-01
8.178430e+01 2.37409605e-01
8.210140e+01 2.81473018e-01
8.218070e+01 3.14339431e-01
8.220390e+01 3.33423222e-01
8.225990e+01 3.79944890e-01
8.233920e+01 5.35327458e-01
8.237890e+01 6.99120249e-01
8.241850e+01 9.86416157e-01
8.245930e+01 1.44343321e+00
8.250000e+01 1.74872772e+00
8.252250e+01 1.58193909e+00
8.254080e+01 1.44660649e+00
8.258150e+01 9.92709144e-01
8.262100e+01 7.09211402e-01
8.266040e+01 5.48352936e-01
8.273930e+01 3.98366874e-01
8.281820e+01 3.38048407e-01
8.284120e+01 3.29935428e-01
8.289720e+01 3.12578994e-01
8.300050e+01 3.09548357e-01
8.315990e+01 3.20853972e-01
8.321280e+01 3.36023929e-01
8.323950e+01 3.47145958e-01
8.331920e+01 4.13656925e-01
8.335900e+01 4.75863741e-01
8.339880e+01 5.80434942e-01
8.343870e+01 7.70086846e-01
8.347850e+01 1.13032333e+00
8.351430e+01 1.64938125e+00
8.355000e+01 1.99598850e+00
8.358580e+01 1.65207222e+00
8.362150e+01 1.13525945e+00
8.365350e+01 8.30744021e-01
8.368550e+01 6.49906597e-01
8.371750e+01 5.40867225e-01
8.374950e+01 4.72172591e-01
8.381340e+01 3.95852316e-01
8.384410e+01 3.77611304e-01
8.387740e+01 3.59828591e-01
8.394140e+01 3.42703525e-01
8.400540e+01 3.34200322e-01
8.413330e+01 3.29646424e-01
8.438930e+01 3.39440416e-01
8.447540e+01 3.45431528e-01
8.464520e+01 3.72471101e-01
8.510670e+01 4.52810967e-01
8.542230e+01 5.48856022e-01
8.566880e+01 6.64821996e-01
8.573790e+01 6.97653534e-01
