Se-76(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
6385.81 0.623382
6387.81 0.849648
6391.82 1.51158
6395.83 2.56676
6399.83 4.22399
6403.84 6.82581
6407.85 10.9576
6411.85 17.6626
6415.86 28.8880
6419.87 48.4362
6423.87 83.9195
6427.88 149.603
6432.44 280.060
6437.00 404.658
6441.56 370.327
6446.12 262.541
6451.51 170.883
6456.91 119.280
6462.30 89.3193
6467.69 70.6621
6473.09 58.2590
6478.48 49.5639
6489.27 38.3711
6500.06 31.5958
6510.84 27.1071
6532.42 21.5779
6553.99 18.3167
6575.56 16.1594
6618.71 13.4404
6661.86 11.7338
6705.01 10.4948
6791.30 8.59755
6877.60 6.83747
6920.74 5.83039
6963.89 4.61949
7007.04 3.07406
7028.61 2.13761
7050.19 1.12211
7060.97 0.638190
7066.37 0.428015
7071.76 0.259639
7074.46 0.198620
7077.15 0.158539
7079.85 0.144770
7082.55 0.164012
7085.24 0.224711
7087.94 0.337517
7090.64 0.515969
7093.33 0.777279
7096.03 1.14398
7098.73 1.64502
7101.42 2.31852
7104.12 3.21457
7109.51 5.97017
7114.91 10.8031
7120.30 19.4487
7125.69 35.4532
7128.39 48.3208
7131.09 66.3613
7133.78 91.8062
7136.48 127.469
7142.24 246.790
7148.00 366.913
7150.88 374.521
7153.76 344.158
7159.52 249.296
7164.67 182.279
7169.83 138.062
7174.98 109.047
7180.13 89.3606
7190.44 65.2778
7200.74 51.5986
7211.05 42.9880
7221.35 37.1470
7241.96 29.8213
7262.57 25.4602
7283.18 22.5847
7303.79 20.5504
7324.40 19.0358
7365.62 16.9275
7406.84 15.5235
7448.06 14.5150
7489.27 13.7502
7571.71 12.6545
7654.15 11.8927
7819.03 10.8619
7983.90 10.1416
8148.78 9.52268
8231.22 9.18351
8272.44 8.98024
8313.66 8.72738
8354.88 8.37325
8375.49 8.12094
8396.10 7.77111
8406.40 7.53547
8416.71 7.23492
8427.01 6.83515
8437.32 6.27322
8442.47 5.89583
8447.62 5.42098
8452.77 4.80635
8457.93 3.98610
8460.50 3.46931
8463.08 2.86401
8465.65 2.16493
8468.23 1.40753
8470.81 0.801717
8471.45 0.752994
8472.09 0.797345
8472.74 0.986620
8473.38 1.40294
8474.03 2.17975
8474.35 2.76804
8474.67 3.54071
8474.99 4.55192
8475.31 5.87439
8475.96 9.88472
8476.60 16.9072
8477.25 29.5944
8477.57 39.5846
8477.89 53.3629
8478.21 72.4349
8478.53 98.6777
8479.27 191.818
8480.00 286.803
8480.37 293.680
8480.73 270.764
8481.47 197.372
8481.97 155.228
8482.48 124.410
8482.99 102.205
8483.49 86.0664
8484.51 64.8704
8485.52 52.0408
8486.53 43.6525
8487.54 37.8262
8489.57 30.3797
8491.60 25.8860
8493.62 22.9132
8495.65 20.8116
8497.67 19.2543
8501.72 17.1068
8505.77 15.7012
8509.82 14.7116
8513.88 13.9777
8521.98 12.9620
8530.08 12.2913
8538.18 11.8142
8546.28 11.4563
8562.49 10.9521
8578.69 10.6103
8594.90 10.3604
8611.10 10.1673
8643.51 9.88283
8675.92 9.67713
8740.73 9.38357
8805.55 9.16861
8870.37 8.99284
9000.00 8.69813
9000.00 13.8790
10000.0 13.4930
12500.0 12.7347
15000.0 12.1687
17000.0 11.8051
20000.0 11.3608
25000.0 10.7963
30000.0 10.3696
35000.0 10.0302
40000.0 9.75007
50000.0 9.30692
60000.0 8.96498
70000.0 8.68772
80000.0 8.45536
99999.9 8.08052
100000 8.07949
150000 7.98680
200000 7.87614
250000 7.74351
300000 7.59284
500000 6.90557
566528 6.67243
633264 6.42205
700000 6.22595
750000 6.06217
800000 5.91794
850000 5.76982
900000 5.63659
950000 5.50386
1.00000E+06 5.38280
1.06861E+06 5.22241
1.13721E+06 5.07884
1.13721E+06 5.07884
1.18474E+06 4.98383
1.23226E+06 4.89639
1.25000E+06 4.86473
1.29929E+06 4.77909
1.34858E+06 4.70174
1.34858E+06 4.70173
1.42429E+06 4.58836
1.50000E+06 4.48989
1.55286E+06 4.42544
1.60572E+06 4.36568
1.65858E+06 4.31015
1.71144E+06 4.25847
1.71144E+06 4.25847
1.75000E+06 4.22295
1.81135E+06 4.17007
1.81135E+06 4.17007
1.85851E+06 4.13202
1.90568E+06 4.09642
1.95284E+06 4.06307
2.00000E+06 4.03182
2.05292E+06 3.99874
2.10419E+06 3.96891
2.15546E+06 3.94070
2.15546E+06 3.94070
2.19934E+06 3.91813
2.21518E+06 3.91052
2.21519E+06 3.91051
2.29236E+06 3.87437
2.39429E+06 3.83228
2.39430E+06 3.83228
2.46137E+06 3.80787
2.46137E+06 3.80787
2.52166E+06 3.78771
2.52167E+06 3.78771
2.54811E+06 3.77942
2.54811E+06 3.77942
2.60415E+06 3.76292
2.64032E+06 3.75302
2.65319E+06 3.74964
2.66585E+06 3.74638
2.66586E+06 3.74637
2.69058E+06 3.74020
2.70537E+06 3.73663
2.70537E+06 3.73663
2.77357E+06 3.72179
2.84176E+06 3.70779
2.84176E+06 3.70779
2.84987E+06 3.70630
2.85412E+06 3.70553
2.85412E+06 3.70553
2.86233E+06 3.70406
2.86233E+06 3.70406
2.89769E+06 3.69802
2.89770E+06 3.69802
2.90793E+06 3.69634
2.94968E+06 3.68989
2.95880E+06 3.68855
2.98980E+06 3.68423
2.98980E+06 3.68423
3.00000E+06 3.68288
3.00784E+06 3.68187
3.02334E+06 3.68182
3.03885E+06 3.68177
3.05435E+06 3.68172
3.06985E+06 3.68167
3.08535E+06 3.68162
3.10086E+06 3.68158
3.11636E+06 3.68153
3.13186E+06 3.68148
3.14736E+06 3.68144
3.16287E+06 3.68139
3.17837E+06 3.68135
3.19387E+06 3.68131
3.20937E+06 3.68126
3.22488E+06 3.68122
3.24038E+06 3.68118
3.25588E+06 3.68114
3.27138E+06 3.68110
3.28689E+06 3.68106
3.30239E+06 3.68102
3.31789E+06 3.68098
3.33339E+06 3.68094
3.34890E+06 3.68091
3.36440E+06 3.68087
3.37990E+06 3.68083
3.39540E+06 3.68079
3.41091E+06 3.68076
3.42641E+06 3.68072
3.44191E+06 3.68069
3.45741E+06 3.68065
3.47292E+06 3.68062
3.48842E+06 3.68059
3.50392E+06 3.68055
3.51942E+06 3.68052
3.53493E+06 3.68049
3.55043E+06 3.68046
3.56593E+06 3.68043
3.58143E+06 3.68039
3.59694E+06 3.68036
3.61244E+06 3.68033
3.62794E+06 3.68030
3.64344E+06 3.68028
3.65895E+06 3.68025
3.67445E+06 3.68022
3.68995E+06 3.68019
3.70545E+06 3.68016
3.72096E+06 3.68014
3.73646E+06 3.68011
3.75196E+06 3.68008
3.76746E+06 3.68006
3.78297E+06 3.68003
3.79847E+06 3.68000
3.81397E+06 3.67998
3.82947E+06 3.67996
3.84498E+06 3.67993
3.86048E+06 3.67991
3.87598E+06 3.67988
3.89148E+06 3.67986
3.90699E+06 3.67984
3.92249E+06 3.67982
3.93799E+06 3.67980
3.95349E+06 3.67978
3.96900E+06 3.67975
3.98450E+06 3.67974
4.00000E+06 3.67972
4.11804E+06 3.70075
4.23607E+06 3.72163
4.35411E+06 3.74236
4.47214E+06 3.76297
4.60043E+06 3.78419
4.72871E+06 3.80529
4.86246E+06 3.82663
5.00000E+06 3.84809
5.16624E+06 3.89314
5.36313E+06 3.94531
5.56753E+06 3.99818
5.77972E+06 4.05177
6.00000E+06 4.10606
6.05894E+06 4.12124
6.11787E+06 4.13638
6.17681E+06 4.15149
6.23574E+06 4.16659
6.29699E+06 4.18197
6.35824E+06 4.19733
6.41949E+06 4.21267
6.48074E+06 4.22801
6.54440E+06 4.24359
6.60806E+06 4.25916
6.67171E+06 4.27475
6.73537E+06 4.29034
6.80153E+06 4.30611
6.86769E+06 4.32190
6.93384E+06 4.33772
7.00000E+06 4.35359
7.07615E+06 4.36501
7.15230E+06 4.37645
7.22845E+06 4.38792
7.30460E+06 4.39942
7.34806E+06 4.40561
7.39153E+06 4.41180
7.43499E+06 4.41799
7.47845E+06 4.42418
7.52191E+06 4.43037
7.56538E+06 4.43657
7.60884E+06 4.44277
7.65230E+06 4.44898
7.69576E+06 4.45520
7.73923E+06 4.46141
7.78269E+06 4.46764
7.82615E+06 4.47388
7.86961E+06 4.48012
7.91308E+06 4.48637
7.95654E+06 4.49263
8.00000E+06 4.49890
8.01517E+06 4.49926
8.03033E+06 4.49962
8.04550E+06 4.49998
8.06066E+06 4.50034
8.07583E+06 4.50071
8.09099E+06 4.50107
8.10616E+06 4.50144
8.12132E+06 4.50180
