Rh-103(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
321.724 58.4033
321.758 44.0528
321.804 32.6127
321.849 27.0274
321.895 23.9925
321.940 22.1171
322.031 19.8661
322.122 18.4715
322.304 16.6325
322.486 15.3463
322.850 13.5172
323.214 12.2303
323.942 10.5151
324.670 9.43376
325.397 8.72400
326.125 8.35176
326.489 8.41406
326.671 8.60845
326.853 9.05277
327.035 10.0701
327.126 11.0542
327.217 12.7104
327.308 15.7325
327.399 21.8941
327.444 27.5504
327.490 36.6929
327.535 52.2057
327.581 78.9998
327.630 124.921
327.680 158.051
327.730 130.938
327.779 86.4933
327.831 56.5664
327.882 39.7730
327.933 30.0628
327.984 24.1024
328.035 20.2070
328.086 17.5411
328.189 14.2217
328.291 12.3056
328.393 11.0939
328.598 9.68321
328.803 8.90407
329.007 8.41435
329.417 7.82859
329.826 7.48100
330.235 7.24244
331.054 6.91958
332.691 6.52941
334.328 6.27921
337.602 5.95347
340.876 5.74040
344.150 5.58522
347.424 5.46456
350.698 5.36712
352.335 5.32844
352.744 5.32265
353.153 5.32458
353.358 5.33509
353.563 5.36905
353.665 5.41281
353.767 5.51365
353.818 5.61907
353.870 5.81577
353.895 5.98231
353.921 6.23171
353.946 6.61593
353.972 7.20662
354.006 8.35943
354.040 9.12739
354.074 8.35812
354.108 7.20378
354.142 6.47601
354.175 6.06339
354.208 5.82233
354.241 5.67341
354.308 5.50970
354.374 5.42735
354.507 5.35059
354.640 5.31624
354.905 5.28482
355.171 5.26907
355.702 5.24999
356.233 5.23595
358.358 5.19178
359.421 5.17413
360.483 5.16254
361.014 5.16328
361.546 5.18029
361.811 5.20929
361.944 5.23875
362.077 5.29149
362.210 5.39805
362.276 5.49675
362.342 5.66181
362.409 5.96753
362.442 6.22764
362.475 6.62633
362.508 7.27728
362.542 8.42814
362.575 10.6635
362.591 12.5670
362.608 15.3145
362.634 21.4370
362.660 25.4968
362.686 21.4124
362.712 15.3149
362.740 11.1958
362.768 8.98561
362.796 7.74819
362.823 7.00730
362.851 6.53378
362.879 6.21718
362.935 5.83409
362.990 5.62095
363.046 5.49124
363.157 5.34829
363.269 5.27602
363.380 5.23500
363.602 5.19423
364.048 5.17449
364.493 5.19349
364.938 5.26194
365.160 5.33609
365.383 5.47227
365.605 5.75481
365.717 6.02276
365.828 6.48114
365.939 7.36124
365.995 8.13888
366.051 9.37461
366.106 11.5082
366.162 15.5939
366.190 19.1492
366.217 24.6333
366.245 33.4171
366.273 47.6263
366.307 73.1546
366.340 90.1641
366.374 73.0765
366.407 47.5662
366.437 32.7506
366.466 23.8670
366.495 18.4236
366.525 14.9651
366.583 11.0466
366.642 9.03370
366.701 7.87589
366.759 7.15252
366.877 6.33651
366.994 5.91112
367.111 5.66200
367.346 5.39579
367.581 5.26307
367.815 5.18658
368.285 5.10433
368.754 5.06128
369.224 5.03440
370.163 5.00138
371.101 4.98235
372.040 4.97846
372.510 4.99149
372.744 5.00862
372.979 5.04227
373.214 5.11446
373.331 5.18348
373.448 5.30116
373.566 5.52422
373.625 5.71779
373.683 6.01944
373.742 6.52518
373.801 7.45271
373.830 8.22485
373.859 9.35894
373.889 11.0713
373.918 13.6580
373.959 18.9084
374.000 22.4105
374.041 18.9083
374.082 13.6570
374.119 10.5409
374.156 8.69931
374.193 7.58563
374.230 6.88401
374.305 6.09633
374.379 5.69526
374.453 5.46516
374.527 5.32190
374.675 5.16024
374.823 5.07615
374.971 5.02713
375.267 4.97697
375.563 4.95964
375.860 4.97430
376.008 5.00933
376.156 5.10479
376.230 5.21634
376.304 5.45009
376.341 5.67279
376.378 6.04714
376.415 6.72254
376.452 7.99008
376.486 9.85387
376.520 11.0908
376.554 9.84694
376.588 7.98705
376.612 7.09495
376.635 6.49466
376.682 5.81486
