12-Mg_n-tot
>  12-Mg-24:0.789900
>  12-Mg-25:0.100000
>  12-Mg-26:0.110100
2.454370e+05 9.99746052e+00
2.459990e+05 1.00923708e+01
2.460930e+05 1.01080076e+01
2.463060e+05 1.01444183e+01
2.463510e+05 1.01522480e+01
2.466090e+05 1.01968226e+01
2.471240e+05 1.02852496e+01
2.473020e+05 1.03154032e+01
2.477760e+05 1.03974375e+01
2.482490e+05 1.04783546e+01
2.483780e+05 1.05002075e+01
2.488580e+05 1.05829423e+01
2.493370e+05 1.06644019e+01
2.493740e+05 1.06709857e+01
2.494520e+05 1.06845150e+01
2.495310e+05 1.06979768e+01
2.496870e+05 1.07248775e+01
2.500000e+05 1.06042803e+01
2.500010e+05 1.04305137e+01
2.500020e+05 1.04306041e+01
2.500030e+05 1.04307735e+01
2.500060e+05 1.04312028e+01
2.500120e+05 1.04319822e+01
2.500240e+05 1.04335411e+01
2.500480e+05 1.04367378e+01
2.500960e+05 1.04430524e+01
2.501920e+05 1.04556025e+01
2.504990e+05 1.04970242e+01
2.509540e+05 1.05569614e+01
2.516310e+05 1.06467647e+01
2.522350e+05 1.07268084e+01
2.527490e+05 1.07950025e+01
2.527750e+05 1.07983801e+01
2.528540e+05 1.08088402e+01
2.529320e+05 1.08192099e+01
2.530890e+05 1.08397238e+01
2.532510e+05 1.08610847e+01
2.534120e+05 1.08822763e+01
2.535730e+05 1.09034678e+01
2.535940e+05 1.09062353e+01
2.536640e+05 1.09143019e+01
2.537340e+05 1.09222896e+01
2.538960e+05 1.09410438e+01
2.540570e+05 1.09595497e+01
2.542180e+05 1.09779765e+01
2.543790e+05 1.09964824e+01
2.545400e+05 1.10149092e+01
2.547010e+05 1.10334151e+01
2.548220e+05 1.10473566e+01
2.549430e+05 1.10612980e+01
2.549990e+05 1.10677829e+01
2.550000e+05 1.10678964e+01
2.550640e+05 1.10756207e+01
2.551850e+05 1.10902741e+01
2.552660e+05 1.11001546e+01
2.553460e+05 1.11097006e+01
2.554270e+05 1.11195811e+01
2.555070e+05 1.11292850e+01
2.555880e+05 1.11390865e+01
2.556690e+05 1.11489670e+01
2.557490e+05 1.11585919e+01
2.558300e+05 1.11684724e+01
2.558700e+05 1.11732454e+01
2.559100e+05 1.11780183e+01
2.559510e+05 1.11832049e+01
2.559910e+05 1.11879778e+01
2.560310e+05 1.11928298e+01
2.560720e+05 1.11979373e+01
2.561120e+05 1.12027103e+01
2.561520e+05 1.12074832e+01
2.561930e+05 1.12125908e+01
2.562330e+05 1.12175217e+01
2.562730e+05 1.12222157e+01
2.563130e+05 1.12270676e+01
2.563540e+05 1.12321752e+01
2.563940e+05 1.12371061e+01
2.564140e+05 1.12394531e+01
2.564340e+05 1.12418791e+01
2.564540e+05 1.12443841e+01
2.564750e+05 1.12470656e+01
2.564950e+05 1.12494916e+01
2.565150e+05 1.12519176e+01
2.565350e+05 1.12544225e+01
2.565550e+05 1.12568485e+01
2.565750e+05 1.12592745e+01
2.565960e+05 1.12620350e+01
2.566160e+05 1.12645400e+01
2.566360e+05 1.12669660e+01
2.566560e+05 1.12694710e+01
2.566760e+05 1.12719759e+01
2.566960e+05 1.12744019e+01
2.567110e+05 1.12763399e+01
2.567160e+05 1.12781707e+01
