40-Zr_n-tot
>  40-Zr-90:0.514500
>  40-Zr-91:0.112200
>  40-Zr-92:0.171500
>  40-Zr-94:0.173800
>  40-Zr-96:0.028000
1.493220e+03 5.83539504e+00
1.497330e+03 6.03639549e+00
1.500000e+03 6.24245413e+00
1.501440e+03 6.35343046e+00
1.505550e+03 6.87163947e+00
1.509660e+03 7.76261054e+00
1.513770e+03 9.40408741e+00
1.515830e+03 1.07561685e+01
1.517880e+03 1.27321098e+01
1.519940e+03 1.57184961e+01
1.521990e+03 2.03987267e+01
1.524050e+03 2.79763145e+01
1.526100e+03 4.03501215e+01
1.531400e+03 8.58510155e+01
1.531790e+03 8.65018877e+01
1.532170e+03 8.67251714e+01
1.532370e+03 8.69805357e+01
1.532560e+03 8.79364826e+01
1.532660e+03 8.91543560e+01
1.532750e+03 9.15346272e+01
1.532850e+03 9.64445539e+01
1.532940e+03 1.06860701e+02
1.533020e+03 1.21317176e+02
1.533100e+03 1.30621876e+02
1.533180e+03 1.20099714e+02
1.533260e+03 1.04853708e+02
1.533310e+03 9.73958573e+01
1.533370e+03 9.22572872e+01
1.533470e+03 8.60891469e+01
1.533580e+03 8.26049369e+01
1.533690e+03 8.03071298e+01
1.533900e+03 7.70978646e+01
1.534120e+03 7.46084688e+01
1.534550e+03 7.02430803e+01
1.534980e+03 6.61542648e+01
1.536700e+03 5.15061260e+01
1.538330e+03 4.08584177e+01
1.539960e+03 3.31215140e+01
1.543210e+03 2.35011864e+01
1.546470e+03 1.82052655e+01
1.549720e+03 1.50400507e+01
1.552980e+03 1.30061989e+01
1.556230e+03 1.16205659e+01
1.562740e+03 9.89787048e+00
1.569250e+03 8.89700254e+00
1.575760e+03 8.25622927e+00
1.588780e+03 7.49829770e+00
1.601800e+03 7.07224251e+00
1.614820e+03 6.80166285e+00
1.625000e+03 6.65563517e+00
1.627840e+03 6.61484112e+00
1.640860e+03 6.47759244e+00
1.666900e+03 6.28801926e+00
1.692940e+03 6.16090782e+00
1.718980e+03 6.06746761e+00
1.745020e+03 5.99409660e+00
1.750000e+03 5.98335663e+00
1.797100e+03 5.87538124e+00
1.823150e+03 5.82616756e+00
1.849190e+03 5.78146826e+00
1.875000e+03 5.74061570e+00
1.875230e+03 5.74022373e+00
1.888250e+03 5.71919204e+00
1.901270e+03 5.69900408e+00
1.906250e+03 5.69175149e+00
1.914290e+03 5.67983024e+00
1.920800e+03 5.67103031e+00
1.927310e+03 5.66346683e+00
1.930560e+03 5.66058315e+00
1.933820e+03 5.65882503e+00
1.937070e+03 5.65915027e+00
1.937500e+03 5.65975794e+00
1.940330e+03 5.66345910e+00
1.941950e+03 5.66882028e+00
1.943580e+03 5.67829609e+00
1.945210e+03 5.69534204e+00
1.946840e+03 5.72785812e+00
1.947650e+03 5.75558792e+00
1.948460e+03 5.79776796e+00
1.949280e+03 5.86584514e+00
1.950090e+03 5.98513575e+00
1.950910e+03 6.22233872e+00
1.951310e+03 6.43936628e+00
1.951720e+03 6.79822723e+00
1.952130e+03 7.45238737e+00
1.952330e+03 8.00172373e+00
1.952530e+03 8.82627547e+00
1.952740e+03 1.01496586e+01
1.952940e+03 1.24040983e+01
1.953130e+03 1.63624828e+01
1.953140e+03 1.65708187e+01
1.953350e+03 2.46619136e+01
1.953520e+03 3.61131016e+01
1.953700e+03 4.37499284e+01
1.953880e+03 3.60869389e+01
1.954050e+03 2.46314870e+01
1.954220e+03 1.75210924e+01
1.954390e+03 1.34532925e+01
1.954560e+03 1.10684477e+01
1.954730e+03 9.59979442e+00
1.954900e+03 8.63468354e+00
1.955070e+03 7.97859390e+00
1.955410e+03 7.16705101e+00
1.955750e+03 6.70774881e+00
1.956090e+03 6.42391618e+00
1.956770e+03 6.10681597e+00
1.957450e+03 5.94304828e+00
1.958120e+03 5.84777738e+00
1.958800e+03 5.78730214e+00
1.959480e+03 5.74640130e+00
1.960840e+03 5.69585518e+00
1.962190e+03 5.66662688e+00
1.963550e+03 5.64781092e+00
1.964910e+03 5.63472502e+00
1.967620e+03 5.61748751e+00
1.968750e+03 5.61279259e+00
1.970330e+03 5.60624085e+00
1.973050e+03 5.59791749e+00
1.975760e+03 5.59124543e+00
1.976560e+03 5.58969680e+00
1.981180e+03 5.58090255e+00
1.984380e+03 5.57651227e+00
1.986610e+03 5.57371087e+00
1.989320e+03 5.57181570e+00
1.992040e+03 5.57246923e+00
1.992190e+03 5.57281676e+00
1.993390e+03 5.57594994e+00
1.994070e+03 5.57967316e+00
1.994750e+03 5.58648636e+00
1.995430e+03 5.60071149e+00
1.995770e+03 5.61441244e+00
1.996090e+03 5.63768150e+00
1.996100e+03 5.63841271e+00
1.996440e+03 5.68636360e+00
1.996610e+03 5.73059563e+00
1.996780e+03 5.80376740e+00
1.996950e+03 5.93932687e+00
1.997040e+03 6.05417382e+00
1.997120e+03 6.22686123e+00
1.997210e+03 6.50931255e+00
1.997290e+03 7.00279098e+00
1.997380e+03 7.94323919e+00
1.997420e+03 8.71801966e+00
1.997460e+03 9.81461216e+00
1.997530e+03 1.23925435e+01
1.997600e+03 1.41344952e+01
1.997670e+03 1.24397945e+01
1.997740e+03 9.87387195e+00
1.997810e+03 8.20926328e+00
1.997880e+03 7.28354770e+00
1.997950e+03 6.75268636e+00
1.998020e+03 6.43289567e+00
1.998050e+03 6.34291842e+00
1.998090e+03 6.22297219e+00
1.998160e+03 6.08242832e+00
1.998310e+03 5.90892245e+00
1.998450e+03 5.81087779e+00
1.998590e+03 5.75113821e+00
1.998870e+03 5.68491142e+00
1.999150e+03 5.65120131e+00
1.999440e+03 5.63216360e+00
2.000000e+03 5.61323847e+00
2.000750e+03 5.60535580e+00
2.001490e+03 5.60489405e+00
2.002460e+03 5.61124262e+00
2.002990e+03 5.61627401e+00
2.003690e+03 5.62859012e+00
2.004480e+03 5.64629982e+00
2.004920e+03 5.66179538e+00
2.005540e+03 5.68803564e+00
2.005970e+03 5.71038082e+00
2.006150e+03 5.72293075e+00
2.006720e+03 5.77201106e+00
2.006770e+03 5.77742503e+00
2.007380e+03 5.86515051e+00
2.007470e+03 5.88253475e+00
2.007690e+03 5.93408274e+00
2.008000e+03 6.02610662e+00
2.008210e+03 6.11427542e+00
2.008300e+03 6.15893875e+00
2.008610e+03 6.37727122e+00
2.008920e+03 6.74949235e+00
2.008960e+03 6.83232575e+00
2.009070e+03 7.07966404e+00
2.009230e+03 7.59264097e+00
2.009380e+03 8.45631055e+00
2.009530e+03 1.01147111e+01
