37-Rb_n-g
>  37-Rb-85:0.721700
>  37-Rb-87:0.278300
7.988930e+02 2.56165883e+01
7.989610e+02 4.14719043e+01
7.990310e+02 6.63717090e+01
7.991000e+02 8.29408584e+01
7.991690e+02 6.63375004e+01
7.992390e+02 4.14777500e+01
7.992880e+02 2.92816695e+01
7.993370e+02 2.11951653e+01
7.993860e+02 1.58193664e+01
7.994350e+02 1.21583988e+01
7.995330e+02 7.73026407e+00
7.996310e+02 5.30782026e+00
7.997290e+02 3.85423706e+00
7.997630e+02 3.53048582e+00
7.998270e+02 2.92107180e+00
8.000230e+02 1.83951071e+00
8.002190e+02 1.26255504e+00
8.004150e+02 9.20101359e-01
8.006110e+02 7.00415340e-01
8.008070e+02 5.51365709e-01
8.011990e+02 3.67855808e-01
8.015910e+02 2.63553203e-01
8.019840e+02 1.98677071e-01
8.023760e+02 1.55603494e-01
8.031600e+02 1.03760185e-01
8.039440e+02 7.49412716e-02
8.047280e+02 5.72807781e-02
8.055130e+02 4.56781632e-02
8.070810e+02 3.18553923e-02
8.086490e+02 2.42419118e-02
8.117860e+02 1.65606860e-02
8.149230e+02 1.29442911e-02
8.180600e+02 1.09509995e-02
8.228220e+02 9.42096825e-03
8.243340e+02 8.94550614e-03
8.368820e+02 7.57527666e-03
8.458810e+02 7.31103971e-03
8.494290e+02 7.29950975e-03
8.516450e+02 7.37285662e-03
8.574100e+02 7.93004412e-03
8.602920e+02 8.71331722e-03
8.631750e+02 1.09413812e-02
8.646160e+02 1.40332416e-02
8.653370e+02 1.71155405e-02
8.660570e+02 2.27304536e-02
8.667780e+02 3.46596033e-02
8.671380e+02 4.64353052e-02
8.674980e+02 6.76570657e-02
8.676780e+02 8.53250774e-02
8.678590e+02 1.11959079e-01
8.680390e+02 1.54881425e-01
8.682190e+02 2.30544373e-01
8.683090e+02 2.92199997e-01
8.683990e+02 3.83242988e-01
8.684890e+02 5.25704687e-01
8.685790e+02 7.66331145e-01
8.686690e+02 1.22111780e+00
8.687140e+02 1.61582509e+00
8.687590e+02 2.23413808e+00
8.688040e+02 3.27861743e+00
8.688490e+02 5.21096561e+00
8.688720e+02 6.83423383e+00
8.688940e+02 9.25288345e+00
8.689170e+02 1.29582810e+01
8.689390e+02 1.86495716e+01
