37-Rb_n-tot
>  37-Rb-85:0.721700
>  37-Rb-87:0.278300
5.945300e+02 7.48335978e+00
5.947690e+02 7.35110081e+00
5.952480e+02 7.20312241e+00
5.957260e+02 7.12206062e+00
5.962050e+02 7.06924559e+00
5.971620e+02 6.99936190e+00
5.981190e+02 6.94958477e+00
5.990770e+02 6.90836644e+00
6.009910e+02 6.83740594e+00
6.048200e+02 6.71424857e+00
6.086490e+02 6.60214765e+00
6.163070e+02 6.39237980e+00
6.239650e+02 6.18459662e+00
6.316230e+02 5.95568207e+00
6.354510e+02 5.82258747e+00
6.383520e+02 5.70645023e+00
6.392800e+02 5.66944221e+00
6.411950e+02 5.58447233e+00
6.431090e+02 5.49582942e+00
6.450240e+02 5.41209364e+00
6.469380e+02 5.36340403e+00
6.478960e+02 5.37980239e+00
6.488530e+02 5.46300893e+00
6.498100e+02 5.68945848e+00
6.507670e+02 6.25009844e+00
6.512460e+02 6.79930559e+00
6.517240e+02 7.70644749e+00
6.522030e+02 9.27804372e+00
6.526820e+02 1.21994282e+01
6.531600e+02 1.82351652e+01
6.534000e+02 2.38164756e+01
6.536390e+02 3.29687580e+01
6.538780e+02 4.91531408e+01
6.539980e+02 6.21529281e+01
6.541170e+02 8.08298967e+01
6.542370e+02 1.08668702e+02
6.543570e+02 1.51689189e+02
6.544760e+02 2.20592003e+02
6.545960e+02 3.31743856e+02
6.547480e+02 5.47764480e+02
6.549000e+02 7.09070139e+02
6.550520e+02 5.89542121e+02
6.552040e+02 3.84040869e+02
6.553270e+02 2.67593801e+02
6.554500e+02 1.93105649e+02
6.555730e+02 1.45198429e+02
6.556960e+02 1.13341096e+02
6.559420e+02 7.55787618e+01
6.561870e+02 5.51352794e+01
6.564330e+02 4.28601415e+01
6.566790e+02 3.49095022e+01
6.571710e+02 2.55241642e+01
6.576620e+02 2.03547093e+01
6.581540e+02 1.71736097e+01
6.586460e+02 1.50569454e+01
6.591370e+02 1.35661398e+01
6.601210e+02 1.16322917e+01
6.611040e+02 1.04516102e+01
6.620870e+02 9.66490470e+00
6.630710e+02 9.10697770e+00
6.650370e+02 8.37278113e+00
6.670040e+02 7.91311883e+00
6.689710e+02 7.59828728e+00
6.709370e+02 7.36854458e+00
6.748710e+02 7.05328288e+00
6.788040e+02 6.84403932e+00
6.827370e+02 6.69228639e+00
6.844700e+02 6.64070581e+00
6.866700e+02 6.57542775e+00
6.945370e+02 6.40278858e+00
7.024040e+02 6.27664855e+00
7.181370e+02 6.09408504e+00
7.305870e+02 5.98733835e+00
7.338700e+02 5.95938378e+00
7.496030e+02 5.85046834e+00
7.653360e+02 5.75711998e+00
7.732030e+02 5.71615069e+00
7.751700e+02 5.70755198e+00
7.767050e+02 5.70316573e+00
7.771360e+02 5.70194788e+00
7.781190e+02 5.70291951e+00
7.791030e+02 5.71387923e+00
7.795940e+02 5.73208651e+00
7.798400e+02 5.75037366e+00
7.800860e+02 5.78266901e+00
7.803320e+02 5.84640161e+00
7.804550e+02 5.90381248e+00
7.805780e+02 5.99689699e+00
7.807010e+02 6.16127823e+00
7.808240e+02 6.48851108e+00
7.808850e+02 6.78486269e+00
7.809460e+02 7.25971236e+00
7.810080e+02 8.06298581e+00
7.810690e+02 9.44673724e+00
7.811350e+02 1.17096841e+01
7.812000e+02 1.32136193e+01
7.812650e+02 1.17012815e+01
7.813310e+02 9.44039619e+00
7.814000e+02 7.93334029e+00
7.814690e+02 7.11519755e+00
7.815370e+02 6.65475122e+00
7.816060e+02 6.37834538e+00
7.816750e+02 6.20136814e+00
7.817440e+02 6.08224959e+00
7.818820e+02 5.93775411e+00
7.820200e+02 5.85701360e+00
7.821570e+02 5.80750129e+00
7.824330e+02 5.75226895e+00
7.827080e+02 5.72354489e+00
7.829840e+02 5.70649048e+00
7.835350e+02 5.68752317e+00
7.846370e+02 5.67043123e+00
7.857380e+02 5.66162465e+00
7.879420e+02 5.65123523e+00
7.901460e+02 5.64649672e+00
7.923500e+02 5.65099598e+00
7.934520e+02 5.66126369e+00
7.945540e+02 5.68450757e+00
7.951050e+02 5.70586885e+00
7.956560e+02 5.73970832e+00
7.962070e+02 5.79637517e+00
7.967580e+02 5.89961331e+00
7.970330e+02 5.98554573e+00
7.973090e+02 6.11450567e+00
7.975840e+02 6.32009595e+00
7.978590e+02 6.67608850e+00
7.981350e+02 7.37227577e+00
7.982730e+02 7.99964565e+00
7.984100e+02 9.01962779e+00
7.985480e+02 1.08362582e+01
7.986170e+02 1.23205622e+01
7.986860e+02 1.45019562e+01
7.987550e+02 1.78753100e+01
7.988240e+02 2.33752250e+01
7.988930e+02 3.29027311e+01
7.989610e+02 4.98231880e+01
7.990310e+02 7.63999182e+01
7.991000e+02 9.40923773e+01
7.991690e+02 7.63811212e+01
7.992390e+02 4.98516290e+01
7.992880e+02 3.68346032e+01
7.993370e+02 2.82029874e+01
7.993860e+02 2.24644503e+01
7.994350e+02 1.85560723e+01
7.995330e+02 1.38281923e+01
7.996310e+02 1.12412354e+01
7.997290e+02 9.68861891e+00
7.997630e+02 9.34272800e+00
7.998270e+02 8.69164037e+00
8.000230e+02 7.53550602e+00
8.002190e+02 6.91822897e+00
8.004150e+02 6.55138903e+00
8.006110e+02 6.31568199e+00
8.008070e+02 6.15542869e+00
8.011990e+02 5.95735848e+00
8.015910e+02 5.84393646e+00
8.019840e+02 5.77265429e+00
8.023760e+02 5.72469047e+00
8.031600e+02 5.66545404e+00
8.039440e+02 5.63085646e+00
8.047280e+02 5.60821023e+00
8.055130e+02 5.59205907e+00
8.070810e+02 5.56983214e+00
8.086490e+02 5.55428815e+00
8.117860e+02 5.53136237e+00
8.149230e+02 5.51288949e+00
8.180600e+02 5.49622085e+00
8.228220e+02 5.47265412e+00
8.243340e+02 5.46520294e+00
8.368820e+02 5.40642597e+00
8.458810e+02 5.36490658e+00
8.494290e+02 5.34865929e+00
8.516450e+02 5.33829276e+00
8.574100e+02 5.31172758e+00
8.602920e+02 5.29898437e+00
8.631750e+02 5.28775894e+00
8.646160e+02 5.28423295e+00
8.653370e+02 5.28408741e+00
8.660570e+02 5.28661806e+00
8.667780e+02 5.29580113e+00
8.671380e+02 5.30652448e+00
8.674980e+02 5.32721375e+00
8.676780e+02 5.34500291e+00
8.678590e+02 5.37224976e+00
8.680390e+02 5.41668893e+00
8.682190e+02 5.49567626e+00
8.683090e+02 5.56031155e+00
8.683990e+02 5.65596615e+00
8.684890e+02 5.80588647e+00
8.685790e+02 6.05941510e+00
8.686690e+02 6.53899291e+00
8.687140e+02 6.95538821e+00
8.687590e+02 7.60779861e+00
8.688040e+02 8.71008095e+00
8.688490e+02 1.07495664e+01
8.688720e+02 1.24629557e+01
8.688940e+02 1.50160084e+01
8.689170e+02 1.89273833e+01
8.689390e+02 2.49352522e+01
8.689700e+02 3.67664802e+01
8.690000e+02 4.46213623e+01
8.690300e+02 3.67275257e+01
8.690610e+02 2.49384865e+01
8.690930e+02 1.70692147e+01
8.691250e+02 1.27965809e+01
8.691570e+02 1.03920079e+01
8.691890e+02 8.95065911e+00
8.692210e+02 8.02628038e+00
8.692530e+02 7.40449724e+00
8.693170e+02 6.65166848e+00
8.693810e+02 6.23171436e+00
8.694440e+02 5.97540515e+00
8.695720e+02 5.69183251e+00
8.697000e+02 5.54683101e+00
8.698280e+02 5.46290801e+00
8.699560e+02 5.40994311e+00
8.700840e+02 5.37433856e+00
