46-Pd_n-g
> 46-Pd-102:0.011554
> 46-Pd-104:0.126189
> 46-Pd-105:0.252945
> 46-Pd-106:0.309583
> 46-Pd-108:0.299728
9.660680e+01 1.31313097e+00
9.669740e+01 1.28213203e+00
9.773790e+01 9.29373058e-01
9.834870e+01 8.03010168e-01
9.886890e+01 6.97004491e-01
9.917430e+01 6.56550344e-01
1.000000e+02 5.52445012e-01
1.002540e+02 5.36333782e-01
1.005080e+02 5.27607792e-01
1.006340e+02 5.31566137e-01
1.007610e+02 5.53122561e-01
1.008250e+02 5.81345857e-01
1.008880e+02 6.40022311e-01
1.009200e+02 6.92961802e-01
1.009520e+02 7.76284562e-01
1.009830e+02 9.12144111e-01
1.010150e+02 1.13510272e+00
1.010530e+02 1.53129544e+00
1.010900e+02 1.79510432e+00
1.011280e+02 1.52838339e+00
1.011650e+02 1.12908384e+00
1.011940e+02 9.16498918e-01
1.012240e+02 7.81418849e-01
1.012530e+02 6.95357101e-01
1.012830e+02 6.39013300e-01
1.013410e+02 5.74982637e-01
1.014000e+02 5.45918533e-01
1.014590e+02 5.38671709e-01
1.015180e+02 5.54551409e-01
1.015760e+02 6.12917374e-01
1.015800e+02 6.21139204e-01
1.016060e+02 6.75397278e-01
1.016350e+02 7.76666479e-01
1.016730e+02 9.70403386e-01
1.017100e+02 1.09883395e+00
1.017480e+02 9.63795246e-01
1.017850e+02 7.63116311e-01
1.018190e+02 6.44267313e-01
1.018520e+02 5.73002158e-01
1.019190e+02 5.00907417e-01
1.019860e+02 4.68116057e-01
1.020520e+02 4.50640829e-01
1.021860e+02 4.33518862e-01
1.023200e+02 4.26649775e-01
1.024120e+02 4.27294332e-01
1.025870e+02 4.28605277e-01
1.028550e+02 4.52439056e-01
1.031220e+02 5.20802132e-01
1.031610e+02 5.41740194e-01
1.032560e+02 5.95004192e-01
1.033890e+02 7.27187053e-01
1.035230e+02 9.86072635e-01
1.035900e+02 1.21786084e+00
1.036570e+02 1.59018285e+00
1.037240e+02 2.24130609e+00
1.037900e+02 3.51237018e+00
1.038240e+02 4.64000322e+00
1.038570e+02 6.41378981e+00
1.038910e+02 9.32984641e+00
1.039240e+02 1.42014779e+01
1.039620e+02 2.26221069e+01
1.040000e+02 2.82643103e+01
1.040380e+02 2.26113734e+01
1.040760e+02 1.41863091e+01
1.041010e+02 1.02917870e+01
1.041260e+02 7.65103818e+00
1.041770e+02 4.60870733e+00
1.042270e+02 3.06917946e+00
1.042770e+02 2.21035487e+00
1.043270e+02 1.68701653e+00
1.043780e+02 1.34764770e+00
1.044780e+02 9.49375737e-01
1.045780e+02 7.33520246e-01
1.046790e+02 6.03446004e-01
