K-39(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
55795.7 0.0224466
55799.8 0.0345485
55801.8 0.0450077
55803.9 0.0612806
55805.9 0.0883993
55808.0 0.137806
55809.0 0.178583
55810.0 0.238309
55811.0 0.327847
55812.0 0.461970
55813.5 0.738064
55815.0 0.919155
55816.4 0.732455
55817.9 0.457582
55818.8 0.338989
55819.6 0.256325
55821.4 0.156354
55823.2 0.103622
55824.9 0.0734354
55826.7 0.0546030
55828.5 0.0422734
55832.0 0.0275910
55835.5 0.0195642
55839.1 0.0147408
55846.1 0.00947331
55860.3 0.00528941
55874.4 0.00369954
55902.7 0.00250545
55930.9 0.00207732
55987.4 0.00178507
56043.9 0.00170819
56157.0 0.00172085
56270.0 0.00181275
56383.1 0.00195022
56496.1 0.00213377
56609.1 0.00239643
56665.6 0.00267939
56693.9 0.00332426
56708.0 0.00547139
56715.1 0.0126623
56718.6 0.0335799
56720.4 0.0805201
56721.3 0.151920
56722.2 0.347246
56723.1 0.691817
56724.1 0.347285
56725.0 0.154489
56725.8 0.0820775
56727.6 0.0345471
56731.0 0.0130634
56738.0 0.00566707
56751.8 0.00352122
56779.5 0.00301411
56834.8 0.00305091
56945.6 0.00347901
57056.3 0.00408849
57167.1 0.00491559
57277.8 0.00605362
57388.5 0.00764645
57499.3 0.00989806
57610.0 0.0130390
57798.0 0.0201929
57986.0 0.0238403
58174.0 0.0183033
58362.0 0.0115635
58584.1 0.00695554
58695.1 0.00582356
58750.6 0.00619388
58778.4 0.00936653
58792.3 0.0215412
58799.2 0.0615222
58801.0 0.0952984
58802.7 0.169424
58804.4 0.381637
58805.3 0.663158
58806.2 1.28428
58806.8 2.05907
58807.4 2.56694
58808.0 2.05022
58808.6 1.28778
58809.2 0.833959
58809.7 0.567578
58810.8 0.299897
58813.0 0.122949
58815.2 0.0671784
58817.3 0.0430638
58826.0 0.0154956
58843.5 0.00726003
58878.3 0.00483398
58948.0 0.00387914
59087.4 0.00316462
59366.2 0.00255219
59505.6 0.00254663
59644.9 0.00296421
59714.6 0.00359634
59784.3 0.00507253
59819.2 0.00658349
59854.0 0.00931071
59888.9 0.0147318
59906.3 0.0194369
59923.7 0.0263348
59950.1 0.0412782
59976.4 0.0514555
60002.8 0.0416454
60029.1 0.0265822
60046.4 0.0196045
60063.7 0.0148207
60098.3 0.00927022
60132.9 0.00644504
60167.5 0.00485455
60236.6 0.00324141
60305.8 0.00248151
60375.0 0.00205991
60444.2 0.00179837
60582.5 0.00149654
60859.2 0.00122223
61135.9 0.00109415
61689.3 0.000987980
61966.0 0.00103076
62104.4 0.00131428
62173.6 0.00245207
62190.9 0.00359729
62208.2 0.00673006
62216.8 0.0108798
62225.4 0.0217314
62229.8 0.0353473
62234.1 0.0680642
62236.3 0.104916
62238.4 0.181521
62239.5 0.254264
62240.6 0.377293
62241.7 0.601066
62242.7 1.02906
62243.7 1.64776
62244.7 2.05886
62245.7 1.65045
62246.6 1.03116
62247.3 0.725863
62248.0 0.522702
62248.7 0.388603
62249.4 0.297816
62250.8 0.188777
62252.2 0.129428
62255.0 0.0712985
62257.8 0.0451344
62263.4 0.0228811
62269.0 0.0139976
62280.2 0.00706835
62291.4 0.00447384
62313.8 0.00253781
62336.1 0.00183651
62425.6 0.00113921
62604.7 0.000955858
62962.7 0.000908041
63678.7 0.000921004
64394.8 0.000986438
65110.8 0.00111592
65826.9 0.00135864
66542.9 0.00184320
66900.9 0.00227326
67259.0 0.00294673
67617.0 0.00404851
67975.0 0.00589362
68373.9 0.00914339
68573.3 0.0109243
68673.0 0.0117405
68722.9 0.0125580
68747.8 0.0148787
68760.3 0.0232691
68766.5 0.0526472
68769.6 0.144033
68770.4 0.217323
68771.2 0.370855
68772.0 0.768338
68772.4 1.22849
68772.8 2.09801
68773.1 3.32641
68773.5 4.10272
68773.8 3.21941
68774.1 2.01465
68774.6 1.15414
68775.0 0.721145
68775.8 0.348970
68776.6 0.204012
68777.4 0.135821
68779.0 0.0751954
68780.6 0.0502559
68787.0 0.0226507
68799.7 0.0148592
68812.4 0.0133244
68837.8 0.0125233
68888.6 0.0121669
68990.3 0.0117384
69193.5 0.0102661
69600.0 0.00668263
69944.9 0.00455632
70289.8 0.00325501
70634.7 0.00245652
70979.6 0.00194715
71669.4 0.00137193
72359.2 0.00107691
73049.0 0.000907202
73738.8 0.000801007
75118.4 0.000680803
76498.0 0.000618549
77877.6 0.000584588
79257.1 0.000576094
79946.9 0.000611888
80291.8 0.000742544
80464.3 0.00119098
80550.5 0.00280543
80593.6 0.00850176
80615.2 0.0266702
80626.0 0.0740087
80631.4 0.163139
80634.0 0.274518
80636.7 0.508986
80640.9 1.02618
