64-Gd_n-g
> 64-Gd-152:0.002000
> 64-Gd-154:0.021800
> 64-Gd-155:0.148000
> 64-Gd-156:0.204700
> 64-Gd-157:0.156500
> 64-Gd-158:0.248400
> 64-Gd-160:0.218600
1.936460e+01 1.03414708e+01
1.937500e+01 1.06593300e+01
1.947610e+01 1.37766778e+01
1.948400e+01 1.40205000e+01
1.954760e+01 1.72531518e+01
1.956060e+01 1.82848950e+01
1.961120e+01 2.25046204e+01
1.967490e+01 3.15794748e+01
1.970670e+01 3.89329575e+01
1.973850e+01 4.98448042e+01
1.975660e+01 5.96593793e+01
1.977030e+01 6.71700581e+01
1.980210e+01 9.67296885e+01
1.983390e+01 1.51330771e+02
1.985460e+01 2.20784917e+02
1.986570e+01 2.58113211e+02
1.989290e+01 4.06515576e+02
1.992000e+01 5.05612422e+02
1.993630e+01 4.65195121e+02
1.995260e+01 3.75730620e+02
1.997430e+01 2.60905172e+02
2.000000e+01 1.71060832e+02
2.003040e+01 1.13292665e+02
2.006080e+01 8.27951270e+01
2.006380e+01 8.11111044e+01
2.009120e+01 6.62718751e+01
2.012170e+01 5.68779680e+01
2.012760e+01 5.58286921e+01
2.015210e+01 5.23082975e+01
2.016000e+01 5.18013256e+01
2.018250e+01 5.03574187e+01
2.019140e+01 5.03922503e+01
2.022330e+01 5.18653437e+01
2.024330e+01 5.36716909e+01
2.025520e+01 5.53500551e+01
2.028110e+01 6.06851692e+01
2.028590e+01 6.16763596e+01
2.028710e+01 6.19242278e+01
2.030410e+01 6.71380080e+01
2.031890e+01 7.21129068e+01
2.031990e+01 7.26069461e+01
2.035080e+01 8.78727612e+01
2.036500e+01 9.87149341e+01
2.038270e+01 1.12608415e+02
2.041460e+01 1.53345028e+02
2.042580e+01 1.78584460e+02
2.044650e+01 2.25645976e+02
2.046250e+01 2.83592373e+02
2.047840e+01 3.66037422e+02
2.048660e+01 4.27348244e+02
2.049440e+01 4.85850852e+02
2.051030e+01 6.59021750e+02
2.053520e+01 1.04144162e+03
2.054740e+01 1.16679589e+03
2.056000e+01 1.29667044e+03
2.056220e+01 1.27432963e+03
2.057180e+01 1.17685146e+03
2.058490e+01 1.04383580e+03
2.060830e+01 6.86058832e+02
2.060970e+01 6.64726771e+02
2.062510e+01 4.99813200e+02
2.063990e+01 3.88785493e+02
2.064040e+01 3.85034557e+02
2.066910e+01 2.59362787e+02
2.067120e+01 2.50364072e+02
2.070190e+01 1.84859127e+02
2.072990e+01 1.53554811e+02
2.073260e+01 1.50867067e+02
2.076030e+01 1.37646615e+02
2.076330e+01 1.36621028e+02
2.079070e+01 1.35127482e+02
2.079400e+01 1.35643443e+02
2.082110e+01 1.45954156e+02
2.084320e+01 1.61907628e+02
2.085160e+01 1.67987547e+02
2.085550e+01 1.73157293e+02
2.085760e+01 1.76249621e+02
2.088200e+01 2.12183025e+02
2.091240e+01 2.90551471e+02
2.091690e+01 3.11916193e+02
2.094280e+01 4.36700603e+02
2.097320e+01 7.11502423e+02
2.097840e+01 7.86418174e+02
2.100060e+01 1.10732150e+03
2.100160e+01 1.12177676e+03
2.103000e+01 1.39409503e+03
2.105840e+01 1.11685525e+03
2.108680e+01 7.03055881e+02
2.110130e+01 5.56108026e+02
2.110650e+01 5.03562846e+02
2.112430e+01 3.82997400e+02
2.112620e+01 3.70133496e+02
2.114350e+01 2.91649406e+02
2.114590e+01 2.80761775e+02
2.116560e+01 2.19463634e+02
2.117920e+01 1.93648336e+02
2.120500e+01 1.44676950e+02
2.121500e+01 1.34139155e+02
2.122410e+01 1.24550337e+02
2.123280e+01 1.15517088e+02
2.124440e+01 1.03473194e+02
2.125070e+01 9.95295106e+01
2.126480e+01 9.07038065e+01
2.126860e+01 8.83390106e+01
2.127970e+01 8.14319087e+01
2.128380e+01 7.88806372e+01
