In-113(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
236.036 109.467
236.047 143.274
236.059 190.373
236.080 303.922
236.100 379.542
236.120 303.862
236.141 190.277
236.165 107.438
236.190 65.8563
236.214 43.7768
236.238 31.0666
236.263 23.1278
236.287 17.8928
236.336 11.6778
236.385 8.26930
236.433 6.21143
236.531 3.95129
236.628 2.79956
236.726 2.13293
236.921 1.42971
237.116 1.08810
237.311 0.904006
237.700 0.760438
238.090 0.815830
238.285 0.941310
238.480 1.19829
238.675 1.75697
238.773 2.29964
238.870 3.24838
238.967 5.13406
239.016 6.86066
239.065 9.72465
239.114 14.9911
239.138 19.4357
239.162 26.1611
239.187 37.0576
239.211 55.9150
239.235 91.7636
239.248 121.575
239.260 163.368
239.280 261.245
239.300 326.002
239.320 260.710
239.340 163.352
239.358 105.581
239.377 71.2619
239.395 50.5314
239.413 37.4808
239.449 22.7514
239.485 15.2660
239.521 10.9730
239.557 8.31191
239.630 5.32562
239.702 3.79146
239.774 2.91031
239.919 2.01513
240.063 1.63093
240.208 1.48154
240.497 1.58670
240.642 1.82973
240.786 2.25851
240.931 3.00008
241.076 4.35467
241.220 7.13860
241.292 9.75922
241.365 14.2192
241.437 22.7060
241.473 30.1486
241.509 41.8682
241.546 61.8898
241.564 77.5526
241.582 99.5189
241.600 131.766
241.618 180.328
241.636 256.711
241.654 376.201
241.677 602.045
241.700 752.682
241.723 601.966
241.746 376.107
241.760 278.215
241.774 209.733
241.802 127.457
241.830 83.9512
241.858 59.0544
241.887 43.5858
241.915 33.4521
241.971 21.4192
242.027 14.8660
242.083 10.9193
242.195 6.61777
242.307 4.44736
242.419 3.20391
242.531 2.42441
242.644 1.90427
242.868 1.27299
243.092 0.918640
243.317 0.699279
243.541 0.553664
243.990 0.377490
244.438 0.278248
245.335 0.174766
246.233 0.123633
247.130 0.0941023
248.924 0.0623440
250.719 0.0461588
252.513 0.0367413
256.102 0.0272636
259.692 0.0247180
261.486 0.0259871
263.281 0.0302319
265.075 0.0411680
265.972 0.0526360
266.870 0.0738811
267.318 0.0918995
267.767 0.119497
268.216 0.164861
268.664 0.247275
268.889 0.316488
269.113 0.421766
269.337 0.593454
269.561 0.901966
269.674 1.15820
269.786 1.54340
269.898 2.16246
270.010 3.24856
270.066 4.13003
270.122 5.42636
270.178 7.44362
270.234 10.8213
270.290 17.1316
