92-U_n-g
>  92-U-235:0.007204
>  92-U-238:0.992796
1.680680e+01 6.57918062e-01
1.685210e+01 6.52109709e-01
1.689750e+01 6.54063968e-01
1.698830e+01 6.67814331e-01
1.707900e+01 6.86982439e-01
1.726050e+01 7.31173978e-01
1.744200e+01 7.79490246e-01
1.746550e+01 7.86384786e-01
1.754400e+01 8.27238649e-01
1.764500e+01 8.80355547e-01
1.771550e+01 9.19410815e-01
1.778600e+01 9.63412616e-01
1.782130e+01 9.88796069e-01
1.785650e+01 1.01810213e+00
1.789180e+01 1.05389030e+00
1.792700e+01 1.09985608e+00
1.797710e+01 1.18599374e+00
1.802000e+01 1.27440240e+00
1.805570e+01 1.30584544e+00
1.810200e+01 1.32216140e+00
1.810530e+01 1.32190052e+00
1.811300e+01 1.31936175e+00
1.813400e+01 1.30236617e+00
1.815490e+01 1.28565606e+00
1.819700e+01 1.27849170e+00
1.823920e+01 1.29322195e+00
1.832350e+01 1.34650120e+00
1.840770e+01 1.41152768e+00
1.848880e+01 1.47901868e+00
1.849200e+01 1.48412119e+00
1.858950e+01 1.64384045e+00
1.868700e+01 1.80875646e+00
1.878450e+01 1.98297686e+00
1.883330e+01 2.07759954e+00
1.888200e+01 2.18472718e+00
1.892410e+01 2.30985669e+00
1.894510e+01 2.41403559e+00
1.895560e+01 2.49655602e+00
1.896610e+01 2.61958385e+00
1.897790e+01 2.81736399e+00
1.898970e+01 2.96460607e+00
1.900050e+01 2.89170996e+00
1.900150e+01 2.88622816e+00
1.901320e+01 2.76119282e+00
1.902470e+01 2.70023180e+00
1.903610e+01 2.68795116e+00
1.905900e+01 2.73630661e+00
1.910480e+01 2.95812534e+00
1.912770e+01 3.11999963e+00
1.915060e+01 3.33422966e+00
1.917350e+01 3.63970543e+00
1.919640e+01 4.12250788e+00
1.921240e+01 4.62788017e+00
1.922840e+01 5.18204058e+00
1.923920e+01 5.49146738e+00
1.925640e+01 6.08128310e+00
1.926030e+01 6.22061266e+00
1.929650e+01 7.77913967e+00
1.931080e+01 7.76037857e+00
1.932510e+01 7.25932686e+00
1.935370e+01 5.92281730e+00
1.937390e+01 5.25506292e+00
1.938430e+01 5.04179499e+00
1.939410e+01 4.86728095e+00
1.941430e+01 4.67906882e+00
1.943450e+01 4.59878420e+00
1.944820e+01 4.60512129e+00
1.947490e+01 4.88818345e+00
1.948020e+01 4.96035133e+00
1.949620e+01 5.73581034e+00
1.950420e+01 6.72469247e+00
1.951220e+01 8.89150675e+00
1.951530e+01 1.01061509e+01
1.952370e+01 1.34094888e+01
1.953520e+01 9.01055497e+00
1.954250e+01 7.00589945e+00
1.954970e+01 6.05437108e+00
1.955570e+01 5.75329481e+00
1.956430e+01 5.32826509e+00
1.959330e+01 5.05845271e+00
1.959610e+01 5.06780299e+00
1.965140e+01 5.28379154e+00
1.967690e+01 5.49178223e+00
1.975760e+01 6.17920107e+00
1.976760e+01 6.26608549e+00
1.983840e+01 7.34712178e+00
1.991920e+01 8.58850630e+00
2.000000e+01 9.83555614e+00
2.007360e+01 1.18089526e+01
2.010690e+01 1.27086884e+01
2.011030e+01 1.28328361e+01
2.012870e+01 1.35102238e+01
2.014710e+01 1.41952931e+01
2.016030e+01 1.46938001e+01
2.017200e+01 1.52417516e+01
2.018430e+01 1.58098845e+01
2.020290e+01 1.66409862e+01
2.021380e+01 1.71240235e+01
2.022150e+01 1.75227722e+01
2.022710e+01 1.78149418e+01
2.023600e+01 1.83055801e+01
2.024050e+01 1.85542494e+01
2.025380e+01 1.93437260e+01
2.026720e+01 2.01863664e+01
2.026800e+01 2.02392279e+01
2.027390e+01 2.06289167e+01
2.028060e+01 2.10866345e+01
2.028400e+01 2.13305875e+01
2.028720e+01 2.15604320e+01
2.029390e+01 2.20511200e+01
2.030000e+01 2.25136839e+01
2.030060e+01 2.25592918e+01
2.030730e+01 2.30867480e+01
2.032060e+01 2.41998650e+01
2.033400e+01 2.53969457e+01
2.033890e+01 2.58685555e+01
2.034740e+01 2.66882196e+01
2.037410e+01 2.95910693e+01
2.037790e+01 3.00763127e+01
2.040080e+01 3.30041144e+01
2.042750e+01 3.70480782e+01
2.045420e+01 4.18916395e+01
2.045570e+01 4.22212259e+01
2.048090e+01 4.77628114e+01
2.049460e+01 5.14457055e+01
2.050770e+01 5.49708522e+01
2.053360e+01 6.36834898e+01
2.053440e+01 6.39529677e+01
2.055300e+01 7.18914739e+01
2.056110e+01 7.53537310e+01
2.057250e+01 8.16536487e+01
2.058780e+01 9.01288853e+01
2.059190e+01 9.31360033e+01
2.061140e+01 1.07490272e+02
2.061450e+01 1.09783938e+02
2.062830e+01 1.23618465e+02
2.064130e+01 1.36628536e+02
2.064510e+01 1.42020225e+02
2.066200e+01 1.65785207e+02
2.066800e+01 1.74191735e+02
2.067040e+01 1.79184048e+02
2.067880e+01 1.96665387e+02
2.068730e+01 2.14371451e+02
2.069470e+01 2.29799990e+02
2.069580e+01 2.33406979e+02
2.071290e+01 2.89513797e+02
2.072140e+01 3.17416611e+02
2.072990e+01 3.64918845e+02
2.074690e+01 4.59938095e+02
2.074810e+01 4.66646157e+02
2.076150e+01 5.83958584e+02
