63-Eu_n-tot
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
1.856680e+00 1.54583853e+02
1.857660e+00 1.52782158e+02
1.857950e+00 1.52252754e+02
1.859920e+00 1.48788810e+02
1.860500e+00 1.47782698e+02
1.864440e+00 1.41641042e+02
1.869220e+00 1.34393104e+02
1.873480e+00 1.29007821e+02
1.877940e+00 1.23673182e+02
1.891550e+00 1.11412870e+02
1.895380e+00 1.08321478e+02
1.927700e+00 9.35162791e+01
1.930250e+00 9.26351402e+01
1.965130e+00 8.80773341e+01
2.000000e+00 8.66658678e+01
2.095600e+00 1.02676615e+02
2.143400e+00 1.21290933e+02
2.191200e+00 1.51006064e+02
2.239000e+00 2.02716041e+02
2.286800e+00 2.99143975e+02
2.310700e+00 3.82563415e+02
2.334600e+00 5.10709686e+02
2.358500e+00 7.19744193e+02
2.370450e+00 8.75358328e+02
2.382400e+00 1.08368436e+03
2.382410e+00 1.08384677e+03
2.382420e+00 1.08398855e+03
2.382430e+00 1.08425021e+03
2.382440e+00 1.08443186e+03
2.382460e+00 1.08479555e+03
2.382470e+00 1.08501463e+03
2.382510e+00 1.08589039e+03
2.382540e+00 1.08648771e+03
2.382620e+00 1.08808060e+03
2.382680e+00 1.08933789e+03
2.382830e+00 1.09248120e+03
2.382960e+00 1.09515649e+03
2.383260e+00 1.10132989e+03
2.383530e+00 1.10691466e+03
2.384130e+00 1.11932639e+03
2.384650e+00 1.13057861e+03
2.385850e+00 1.15654668e+03
2.386890e+00 1.18051971e+03
2.389300e+00 1.23607754e+03
2.391390e+00 1.29108916e+03
2.396200e+00 1.41772034e+03
2.400370e+00 1.55987763e+03
2.410000e+00 1.88827915e+03
2.418340e+00 2.28614185e+03
2.433000e+00 2.98593637e+03
2.454280e+00 3.65861306e+03
2.456000e+00 3.71317142e+03
2.467500e+00 3.49717040e+03
2.479000e+00 2.98157790e+03
2.502000e+00 1.88963852e+03
2.519410e+00 1.32741743e+03
2.526150e+00 1.18771736e+03
2.536810e+00 9.69315109e+02
2.554220e+00 7.41789904e+02
2.562090e+00 6.74587957e+02
2.571630e+00 5.96899105e+02
2.598030e+00 4.79675160e+02
2.606440e+00 4.50295231e+02
2.633960e+00 4.22609882e+02
2.641250e+00 4.26454114e+02
2.651930e+00 4.44664318e+02
2.669900e+00 5.08321152e+02
2.676060e+00 5.41757976e+02
2.681680e+00 5.75764272e+02
2.693450e+00 6.58793418e+02
2.710880e+00 7.28873026e+02
2.717000e+00 7.56371290e+02
2.740550e+00 6.25803486e+02
2.764100e+00 4.36888359e+02
2.780500e+00 3.45331578e+02
2.782530e+00 3.34649245e+02
2.800960e+00 2.72232919e+02
2.837830e+00 2.04160840e+02
2.850130e+00 1.93064772e+02
2.874690e+00 1.75467245e+02
2.911550e+00 1.64074701e+02
2.919750e+00 1.63947163e+02
2.985280e+00 1.74188444e+02
2.989380e+00 1.76019484e+02
3.059000e+00 2.25936571e+02
3.059010e+00 2.25947115e+02
3.059020e+00 2.25959551e+02
3.059030e+00 2.25972376e+02
3.059050e+00 2.25989659e+02
3.059070e+00 2.26011378e+02
3.059090e+00 2.26035726e+02
3.059130e+00 2.26081582e+02
3.059180e+00 2.26136879e+02
3.059260e+00 2.26225354e+02
3.059360e+00 2.26338080e+02
3.059510e+00 2.26505078e+02
3.059730e+00 2.26748234e+02
3.060020e+00 2.27074906e+02
3.060450e+00 2.27561095e+02
3.061040e+00 2.28230946e+02
3.061900e+00 2.29212651e+02
3.063090e+00 2.30594185e+02
3.064800e+00 2.32614943e+02
3.067170e+00 2.35512247e+02
3.070600e+00 2.39835041e+02
3.075340e+00 2.46240669e+02
3.082190e+00 2.56082593e+02
3.091680e+00 2.71872589e+02
3.105380e+00 2.97655438e+02
3.124350e+00 3.47989605e+02
3.151750e+00 4.32427307e+02
3.157030e+00 4.56453844e+02
3.174940e+00 5.50947337e+02
3.189700e+00 6.57958502e+02
3.198130e+00 7.30305705e+02
3.221310e+00 1.01257246e+03
3.222380e+00 1.03239832e+03
3.244500e+00 1.50205124e+03
3.255050e+00 1.81107389e+03
3.269250e+00 2.28167849e+03
3.271390e+00 2.33581963e+03
3.287730e+00 2.82255078e+03
3.294000e+00 3.05322052e+03
3.304060e+00 3.11171025e+03
3.318750e+00 3.34882585e+03
3.320400e+00 3.36278621e+03
3.343500e+00 3.87498669e+03
3.344200e+00 3.89550594e+03
3.360790e+00 4.12699191e+03
3.368000e+00 4.26633727e+03
3.378080e+00 3.85110023e+03
3.391800e+00 3.33521065e+03
3.395370e+00 3.14797383e+03
3.412660e+00 2.28069775e+03
3.415600e+00 2.13894548e+03
3.431060e+00 1.60411951e+03
3.446530e+00 1.22453680e+03
3.447240e+00 1.21368900e+03
3.477450e+00 7.93188275e+02
3.481830e+00 7.60388017e+02
3.508380e+00 5.79465289e+02
3.516410e+00 5.50018838e+02
3.539300e+00 4.74744292e+02
3.550990e+00 4.59496625e+02
3.570230e+00 4.40784669e+02
3.601150e+00 4.69609219e+02
3.620150e+00 5.43435788e+02
3.632080e+00 5.93882108e+02
3.647540e+00 7.20027164e+02
3.663000e+00 9.10687034e+02
3.674750e+00 1.10658561e+03
3.686500e+00 1.33227939e+03
3.689310e+00 1.36609046e+03
3.710000e+00 1.62194117e+03
3.721750e+00 1.54049692e+03
3.723890e+00 1.50416567e+03
3.733500e+00 1.34470164e+03
3.757000e+00 9.29284806e+02
3.758480e+00 9.12441422e+02
3.778360e+00 6.99973061e+02
3.793060e+00 6.15683281e+02
3.799730e+00 5.86918854e+02
3.821090e+00 5.55736694e+02
3.827640e+00 5.56660180e+02
3.842450e+00 5.89520984e+02
3.844930e+00 5.98035302e+02
3.862220e+00 7.00566772e+02
3.879510e+00 8.72561566e+02
3.885180e+00 9.63918558e+02
3.896800e+00 1.16006616e+03
3.912350e+00 1.53274684e+03
3.927900e+00 1.93909269e+03
3.927910e+00 1.93930186e+03
3.927920e+00 1.93948497e+03
3.927930e+00 1.93986117e+03
3.927950e+00 1.94033202e+03
3.927960e+00 1.94056908e+03
3.928000e+00 1.94139302e+03
3.928030e+00 1.94201083e+03
3.928100e+00 1.94369117e+03
3.928150e+00 1.94489188e+03
3.928300e+00 1.94818842e+03
3.928410e+00 1.95060575e+03
3.928700e+00 1.95712913e+03
3.928910e+00 1.96185421e+03
3.929500e+00 1.97469836e+03
3.929910e+00 1.98362575e+03
3.931090e+00 2.00716718e+03
3.931930e+00 2.02394189e+03
3.934280e+00 2.06211776e+03
3.935950e+00 2.08930193e+03
3.940660e+00 2.12050200e+03
3.944000e+00 2.14282337e+03
3.953420e+00 2.04254325e+03
3.955800e+00 2.01743198e+03
3.967600e+00 1.72481110e+03
3.978930e+00 1.42636666e+03
3.991200e+00 1.10473790e+03
4.013490e+00 7.22054599e+02
4.029960e+00 5.56276409e+02
4.035780e+00 4.98474671e+02
4.058070e+00 3.65859508e+02
4.080360e+00 2.81721026e+02
4.124940e+00 1.85049787e+02
4.132030e+00 1.76678606e+02
4.169530e+00 1.35467661e+02
4.214110e+00 1.05780439e+02
4.234090e+00 9.68246249e+01
4.258690e+00 8.67626102e+01
4.336150e+00 6.72826682e+01
4.347850e+00 6.46454593e+01
4.437010e+00 5.34474920e+01
4.438210e+00 5.33583796e+01
4.526180e+00 4.95552501e+01
4.540280e+00 4.96783194e+01
4.591310e+00 5.25704995e+01
4.615340e+00 5.59697357e+01
4.642340e+00 6.25552389e+01
4.659920e+00 6.93768700e+01
4.667850e+00 7.36784576e+01
4.682210e+00 8.44745887e+01
4.693370e+00 9.53134719e+01
4.704500e+00 1.10805754e+02
4.718890e+00 1.33009412e+02
4.744400e+00 1.93972265e+02
4.750000e+00 2.13430047e+02
4.767200e+00 2.50989897e+02
4.790000e+00 2.79341967e+02
4.795500e+00 2.65273015e+02
4.812800e+00 2.23883330e+02
4.821060e+00 1.96213984e+02
4.835600e+00 1.50879024e+02
4.846630e+00 1.27225833e+02
4.856150e+00 1.08185623e+02
4.876700e+00 8.27969685e+01
4.897250e+00 6.65104777e+01
4.897750e+00 6.62386699e+01
4.917800e+00 5.67262917e+01
4.948880e+00 4.78742235e+01
4.958900e+00 4.52617490e+01
5.000000e+00 3.95549642e+01
5.043500e+00 3.65868656e+01
5.043510e+00 3.65864939e+01
5.043520e+00 3.65860766e+01
5.043530e+00 3.65855766e+01
5.043540e+00 3.65852070e+01
5.043570e+00 3.65838594e+01
5.043630e+00 3.65812174e+01
5.043640e+00 3.65807864e+01
5.043760e+00 3.65755328e+01
5.043780e+00 3.65746653e+01
5.044020e+00 3.65641391e+01
5.044050e+00 3.65628203e+01
5.044540e+00 3.65419340e+01
5.044610e+00 3.65389573e+01
5.045580e+00 3.64979161e+01
5.045710e+00 3.64924418e+01
5.047660e+00 3.64130399e+01
5.047910e+00 3.64029511e+01
5.051820e+00 3.62563028e+01
5.052330e+00 3.62375208e+01
5.060130e+00 3.59912700e+01
5.061150e+00 3.59603543e+01
5.076760e+00 3.56464859e+01
5.078800e+00 3.56098239e+01
5.110010e+00 3.56772409e+01
5.114100e+00 3.56994645e+01
5.176530e+00 3.92662222e+01
5.184700e+00 3.97710049e+01
5.220000e+00 4.52170048e+01
5.255300e+00 5.54866991e+01
5.290600e+00 7.61916908e+01
5.308250e+00 9.41792763e+01
5.309550e+00 9.61155293e+01
5.325900e+00 1.20556458e+02
5.352950e+00 1.78183172e+02
5.380000e+00 2.16693057e+02
5.407050e+00 1.78435381e+02
5.434100e+00 1.21044622e+02
5.442580e+00 1.09988903e+02
5.465090e+00 8.08070386e+01
5.496080e+00 6.04370804e+01
5.527060e+00 4.98025797e+01
5.558050e+00 4.40239467e+01
5.575600e+00 4.27198044e+01
5.620030e+00 4.00676947e+01
5.682000e+00 4.12984946e+01
5.708630e+00 4.36197493e+01
5.743980e+00 4.75370480e+01
5.775140e+00 5.46674877e+01
5.805950e+00 6.27686156e+01
5.836940e+00 7.69937493e+01
5.841650e+00 8.05447468e+01
5.867930e+00 1.02250456e+02
5.898910e+00 1.47222200e+02
5.908160e+00 1.73190451e+02
5.929900e+00 2.36606763e+02
5.941420e+00 2.90387942e+02
5.954950e+00 3.55470132e+02
5.974680e+00 4.21464240e+02
5.980000e+00 4.40632338e+02
6.005100e+00 3.83683707e+02
6.007930e+00 3.73105575e+02
6.030200e+00 3.01245571e+02
6.041190e+00 2.84040345e+02
6.058060e+00 2.76356251e+02
6.074440e+00 2.90196678e+02
6.085930e+00 3.18374056e+02
6.091070e+00 3.34318922e+02
6.107700e+00 4.14650721e+02
6.113790e+00 4.55152537e+02
6.120780e+00 5.03911652e+02
6.133850e+00 6.09229041e+02
6.141650e+00 6.47368860e+02
6.160000e+00 7.41193826e+02
6.186150e+00 5.96801161e+02
6.197380e+00 5.04654164e+02
6.212300e+00 3.84169191e+02
6.228780e+00 2.89430483e+02
6.245260e+00 2.22921868e+02
6.253100e+00 2.03878636e+02
6.278230e+00 1.44588225e+02
6.311190e+00 1.03604286e+02
6.344150e+00 7.97125733e+01
6.364550e+00 7.02905993e+01
6.377110e+00 6.49587046e+01
6.410080e+00 5.57494279e+01
6.476000e+00 4.47614318e+01
6.476010e+00 4.47604858e+01
6.476020e+00 4.47597225e+01
6.476030e+00 4.47582002e+01
6.476060e+00 4.47551437e+01
6.476070e+00 4.47539092e+01
6.476110e+00 4.47490188e+01
6.476130e+00 4.47470137e+01
6.476230e+00 4.47370068e+01
6.476260e+00 4.47336904e+01
6.476450e+00 4.47126167e+01
6.476520e+00 4.47050767e+01
6.476900e+00 4.46642685e+01
6.477030e+00 4.46504134e+01
6.477800e+00 4.45683108e+01
6.478070e+00 4.45397198e+01
