Sn-124(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
23264.2 8.21756
23272.3 7.20967
23280.3 6.63326
23284.3 6.44131
23288.4 6.30554
23292.4 6.24322
23294.4 6.26144
23296.4 6.34890
23298.4 6.59490
23299.4 6.85374
23300.4 7.31210
23301.5 8.23032
23302.0 9.05030
23302.5 10.3746
23303.0 12.7627
23303.5 17.4193
23303.7 21.6060
23304.0 28.2840
23304.2 39.4703
23304.5 58.5786
23304.7 90.0607
23305.0 110.838
23305.3 89.5450
23305.5 57.9271
23305.7 43.2140
23305.9 33.6727
23306.2 22.1827
23306.6 16.3258
23306.9 13.1068
23307.3 11.0728
23307.6 9.78225
23308.3 8.23399
23309.0 7.39292
23309.7 6.88514
23311.1 6.32511
23312.5 6.03271
23313.8 5.85864
23316.6 5.65903
23322.1 5.46442
23327.7 5.35416
23338.7 5.20955
23349.8 5.10758
23360.8 5.02814
23371.9 4.96357
23394.0 4.86404
23416.1 4.79052
23438.2 4.73385
23482.4 4.65215
23526.6 4.59606
23570.8 4.55522
23659.2 4.49994
23836.0 4.44077
24012.8 4.41365
24101.2 4.40808
24189.6 4.40840
24278.0 4.41731
24366.4 4.44211
24410.6 4.46600
24454.8 4.50445
24499.0 4.56944
24543.2 4.68865
24565.3 4.78827
24587.4 4.93820
24609.5 5.17792
24631.6 5.59456
24653.7 6.41221
24664.8 7.15099
24675.8 8.35621
24686.9 10.5082
24692.4 12.2732
24697.9 14.8732
24703.4 18.9088
24709.0 25.5148
24714.5 37.0272
24720.0 57.6024
24725.5 89.5984
24731.0 110.956
24736.5 89.7919
24742.0 57.8853
24746.2 41.0880
24750.5 30.3405
24754.7 23.4001
24758.9 18.8007
24767.4 13.3743
24775.9 10.4743
24784.4 8.76289
24792.8 7.67448
24809.8 6.42553
24826.7 5.76435
24843.6 5.37320
24860.6 5.12279
24877.5 4.95288
24911.4 4.74316
24945.3 4.62331
24979.1 4.54814
25013.0 4.49769
25080.7 4.43584
25148.5 4.40035
25216.2 4.37783
25284.0 4.36254
25419.5 4.34435
25487.2 4.33997
25555.0 4.33975
25622.7 4.34834
25656.6 4.36066
25690.5 4.38648
25707.4 4.40978
25724.4 4.44677
25741.3 4.50931
25758.2 4.62531
25766.7 4.72369
25775.2 4.87384
25783.6 5.11829
25792.1 5.55288
25796.3 5.90962
25800.6 6.43675
25804.8 7.26519
25809.0 8.66356
25813.3 11.3044
25815.4 13.5905
25817.5 17.1334
25819.6 23.0718
25821.7 33.8445
25822.8 42.7764
25823.9 55.8686
25824.9 75.5103
25826.0 104.628
25827.5 165.471
25829.0 206.542
25830.5 166.664
25832.0 106.139
25833.2 74.3031
25834.4 53.8787
25835.6 40.7153
25836.7 31.9664
25839.1 21.6492
25841.4 16.1276
25843.7 12.8642
25846.1 10.7857
25850.8 8.39826
25855.4 7.12836
25860.1 6.37528
25864.8 5.89209
25869.5 5.56401
25878.8 5.15741
25888.2 4.92470
25897.5 4.77845
25906.9 4.68047
25925.6 4.56066
25944.3 4.49250
25963.0 4.44968
25981.7 4.42082
26019.1 4.38506
26056.6 4.36416
26094.0 4.35057
26131.4 4.34103
26206.2 4.32844
26281.1 4.32031
26430.8 4.30993
26580.4 4.30306
26730.1 4.29782
27029.5 4.28970
27328.8 4.28318
27628.2 4.27749
28226.9 4.26741
28825.6 4.25831
29424.3 4.25034
29723.7 4.24786
29873.3 4.24795
30023.0 4.25040
30097.9 4.25351
30172.7 4.25917
30247.5 4.26968
30322.4 4.29059
30359.8 4.30908
30397.2 4.33808
30434.6 4.38671
30472.0 4.47636
30490.8 4.55208
30509.5 4.66739
30528.2 4.85484
30546.9 5.18846
30556.2 5.46203
30565.6 5.86728
30575.0 6.50474
30584.3 7.58632
30593.7 9.63995
30598.3 11.4308
30603.0 14.2376
30607.7 18.9894
30612.4 27.8034
30614.7 35.2417
30617.0 46.3535
30619.4 63.4281
30621.7 89.6040
30624.9 141.326
30628.0 175.948
30631.2 141.805
30634.3 90.4517
30637.7 55.4073
30641.1 36.6681
30644.5 26.2400
30647.9 20.0204
30651.3 16.0661
30654.8 13.4144
30661.6 10.2087
30668.4 8.42707
30675.2 7.33873
30688.9 6.13494
30702.5 5.51936
30716.1 5.16270
30729.8 4.93749
30743.4 4.78617
30770.7 4.60112
30798.0 4.49629
30825.2 4.43091
30852.5 4.38725
30907.1 4.33396
30961.6 4.30355
31016.2 4.28428
31070.7 4.27110
31179.8 4.25423
31288.9 4.24373
31398.0 4.23631
31507.1 4.23057
31725.3 4.22177
31943.6 4.21583
32052.7 4.21574
32107.2 4.21817
32161.8 4.22504
32216.3 4.24369
32243.6 4.26431
32270.9 4.30378
32284.5 4.33784
32298.1 4.39040
32311.8 4.47693
32325.4 4.63290
32332.2 4.76234
32339.1 4.95650
32345.9 5.26642
32352.7 5.80537
32359.5 6.86762
32362.9 7.83402
32366.3 9.42475
32369.7 12.3080
32371.5 14.7178
32373.2 18.3139
32374.9 24.0541
32376.6 33.7360
32378.3 51.3964
32380.0 85.0807
32381.5 133.461
32383.0 165.535
32384.5 133.015
32386.0 84.5347
32387.8 50.6263
32389.5 33.0242
32391.2 23.4470
32392.9 17.8520
32394.6 14.3123
32396.4 11.9613
32399.8 9.15426
32403.2 7.60577
32406.7 6.66994
32413.5 5.64085
32420.4 5.11764
32427.3 4.81417
32434.1 4.62073
32441.0 4.48808
32454.7 4.31852
32468.5 4.22715
32475.4 4.23271
32478.8 4.27647
32482.2 4.39306
32485.7 4.70209
32487.4 5.03650
32489.1 5.65372
32490.8 6.93655
32491.7 8.12677
32492.5 10.0876
32493.4 13.5825
32494.3 20.5159
32494.7 26.6962
32495.1 36.3985
32495.5 52.2255
32496.0 77.5774
32496.5 125.690
32497.0 161.221
32497.5 133.977
32498.0 87.9379
32498.5 62.5108
32498.9 46.0898
32499.3 35.4500
