56-Ba_n-tot
> 56-Ba-130:0.001060
> 56-Ba-132:0.001010
> 56-Ba-134:0.024170
> 56-Ba-135:0.065920
> 56-Ba-136:0.078540
> 56-Ba-137:0.112320
> 56-Ba-138:0.716980
1.775930e+02 3.52078677e+00
1.777800e+02 3.52032298e+00
1.779670e+02 3.51987595e+00
1.781550e+02 3.51944509e+00
1.783420e+02 3.51903914e+00
1.785290e+02 3.51865855e+00
1.787170e+02 3.51830411e+00
1.789040e+02 3.51798650e+00
1.790910e+02 3.51770819e+00
1.794660e+02 3.51729411e+00
1.798400e+02 3.51713854e+00
1.802150e+02 3.51734163e+00
1.805890e+02 3.51807155e+00
1.809640e+02 3.51958071e+00
1.813390e+02 3.52230005e+00
1.817130e+02 3.52698553e+00
1.820880e+02 3.53503349e+00
1.824620e+02 3.54930106e+00
1.828370e+02 3.57625454e+00
1.830240e+02 3.59900408e+00
1.832110e+02 3.63317884e+00
1.833990e+02 3.68718836e+00
1.835860e+02 3.77853835e+00
1.837730e+02 3.94869615e+00
1.838670e+02 4.09321782e+00
1.839610e+02 4.31290726e+00
1.840540e+02 4.66690384e+00
1.841480e+02 5.27639557e+00
1.842410e+02 6.41016631e+00
1.843350e+02 8.62468883e+00
1.844180e+02 1.18347330e+01
1.845000e+02 1.40866991e+01
1.845830e+02 1.21045877e+01
1.846650e+02 8.96360244e+00
1.847250e+02 7.36522744e+00
1.847850e+02 6.30754785e+00
1.848450e+02 5.60607065e+00
1.849050e+02 5.12881525e+00
1.850250e+02 4.55135493e+00
1.851440e+02 4.23357538e+00
1.852640e+02 4.04169430e+00
1.853840e+02 3.91728965e+00
1.856240e+02 3.77105653e+00
1.858630e+02 3.69131176e+00
