20-Ca_n-tot
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
4.629300e+03 2.67547814e+00
4.633980e+03 2.67526223e+00
4.642020e+03 2.67494819e+00
4.648380e+03 2.67576608e+00
4.651570e+03 2.68003310e+00
4.653160e+03 2.69475390e+00
4.653950e+03 2.73600837e+00
4.654350e+03 2.82202935e+00
4.654550e+03 2.94267676e+00
4.654750e+03 3.23245031e+00
4.655000e+03 3.79064255e+00
4.655260e+03 3.23250721e+00
4.655420e+03 2.97064095e+00
4.655590e+03 2.84865490e+00
4.655930e+03 2.75198838e+00
4.656600e+03 2.70123046e+00
4.657950e+03 2.68180092e+00
4.660640e+03 2.67560967e+00
4.666030e+03 2.67358001e+00
4.674650e+03 2.67266640e+00
4.676800e+03 2.67245659e+00
4.698350e+03 2.67113976e+00
4.741440e+03 2.66870961e+00
4.755990e+03 2.66790060e+00
4.827630e+03 2.66492629e+00
4.837330e+03 2.66452736e+00
4.877990e+03 2.66360312e+00
4.918660e+03 2.66358498e+00
4.959330e+03 2.66514350e+00
5.000000e+03 2.66968398e+00
5.034650e+03 2.67832364e+00
5.069300e+03 2.69626357e+00
5.086630e+03 2.71199801e+00
5.103950e+03 2.73575980e+00
5.121280e+03 2.77222677e+00
5.138600e+03 2.82790485e+00
5.163800e+03 2.94795146e+00
5.189000e+03 3.03392645e+00
5.214200e+03 2.96131089e+00
5.239400e+03 2.84335829e+00
5.266450e+03 2.76069245e+00
5.293500e+03 2.71446808e+00
5.320550e+03 2.68740369e+00
5.347600e+03 2.67026434e+00
5.374650e+03 2.65856411e+00
5.401700e+03 2.65004074e+00
5.455810e+03 2.63819408e+00
5.489460e+03 2.63306337e+00
5.509910e+03 2.62996795e+00
5.564010e+03 2.62356889e+00
5.672210e+03 2.61334296e+00
5.780410e+03 2.60471519e+00
5.888620e+03 2.59681325e+00
5.978910e+03 2.59062684e+00
6.000000e+03 2.58920395e+00
6.035560e+03 2.58680542e+00
6.105020e+03 2.58212177e+00
6.321430e+03 2.56809601e+00
6.468360e+03 2.55871872e+00
