Zr-94(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
23791.7 0.161217
23797.8 0.216754
23803.8 0.303288
23809.9 0.444026
23815.9 0.676026
23823.0 1.08355
23830.0 1.35549
23837.1 1.08239
23844.1 0.675304
23851.9 0.394610
23859.8 0.247411
23867.6 0.166669
23875.5 0.119053
23883.3 0.0889685
23891.1 0.0689422
23906.8 0.0448851
23922.5 0.0316300
23938.1 0.0236137
23969.5 0.0148900
24000.8 0.0105877
24032.2 0.00826455
24094.9 0.00640983
24157.5 0.00686912
24188.9 0.00815130
24220.2 0.0107812
24251.6 0.0163401
24267.3 0.0215121
24282.9 0.0300890
24298.6 0.0456712
24306.4 0.0586433
24314.3 0.0780359
24322.1 0.108697
24329.9 0.160262
24337.8 0.253558
24345.6 0.429075
24352.8 0.687896
24360.0 0.860855
24367.2 0.687093
24374.4 0.428475
24380.1 0.290721
24385.8 0.203928
24391.5 0.148709
24397.1 0.112373
24408.5 0.0699651
24419.9 0.0475043
24431.2 0.0343159
24442.6 0.0259692
24465.3 0.0164181
24488.0 0.0113752
24510.8 0.00839414
24556.2 0.00518372
24601.6 0.00357357
24647.1 0.00264673
24738.0 0.00166550
24828.9 0.00117681
24919.8 0.000895546
25101.6 0.000600742
25283.3 0.000469169
25465.1 0.000446663
25556.0 0.000510530
25646.9 0.000757658
25692.4 0.00112669
25737.8 0.00219143
25760.5 0.00367157
25771.9 0.00514339
25783.3 0.00781573
25794.6 0.0134579
25800.3 0.0189890
25806.0 0.0288778
25808.8 0.0370419
25811.7 0.0492584
25814.5 0.0687216
25817.3 0.102511
25820.2 0.168972
25821.6 0.229300
25823.0 0.328334
25824.4 0.507022
25825.1 0.655098
25825.9 0.876187
25826.6 1.22431
25827.3 1.80847
25828.0 2.85859
25828.7 4.82135
25829.4 7.72248
25830.0 9.61104
25830.7 7.67502
25831.3 4.82089
25831.8 3.36631
25832.3 2.41290
25832.8 1.78711
25833.2 1.36534
