45-Rh_n-g
> 45-Rh-103:1.000000
1.910180e+02 1.10412000e+00
1.917880e+02 7.79016000e-01
1.925570e+02 5.81008000e-01
1.933260e+02 4.51749000e-01
1.948650e+02 2.99620000e-01
1.964030e+02 2.19566000e-01
1.979420e+02 1.85802000e-01
1.987110e+02 2.11555000e-01
1.990950e+02 2.85804000e-01
1.992880e+02 3.84259000e-01
1.994800e+02 5.94072000e-01
1.996300e+02 8.70675000e-01
1.997800e+02 1.05456000e+00
1.999300e+02 8.66516000e-01
2.000800e+02 5.85329000e-01
2.002370e+02 3.98194000e-01
2.003940e+02 2.95154000e-01
2.007080e+02 1.99823000e-01
2.010210e+02 1.59374000e-01
2.013350e+02 1.38107000e-01
2.025900e+02 1.06102000e-01
2.032180e+02 1.02247000e-01
2.038450e+02 1.08632000e-01
2.041590e+02 1.22761000e-01
2.044730e+02 1.63504000e-01
2.046290e+02 2.14919000e-01
2.047080e+02 2.61029000e-01
2.047860e+02 3.35112000e-01
2.048650e+02 4.64494000e-01
2.049430e+02 7.16406000e-01
2.049820e+02 9.39129000e-01
2.050220e+02 1.28811000e+00
2.050610e+02 1.85859000e+00
2.051000e+02 2.80421000e+00
2.051450e+02 4.44074000e+00
2.051900e+02 5.53147000e+00
2.052350e+02 4.44112000e+00
2.052800e+02 2.80424000e+00
2.053250e+02 1.75417000e+00
2.053700e+02 1.16674000e+00
2.054150e+02 8.27018000e-01
2.054600e+02 6.19661000e-01
2.055500e+02 3.93893000e-01
2.056400e+02 2.82024000e-01
2.057290e+02 2.18874000e-01
2.058190e+02 1.79870000e-01
2.059990e+02 1.36137000e-01
2.063590e+02 9.96730000e-02
2.067180e+02 8.46023000e-02
2.081560e+02 6.49127000e-02
2.110320e+02 5.32923000e-02
2.167830e+02 4.50953000e-02
2.225350e+02 4.44576000e-02
2.282860e+02 4.97083000e-02
2.340370e+02 6.35764000e-02
2.369130e+02 7.66376000e-02
2.397890e+02 9.80032000e-02
2.426650e+02 1.36385000e-01
2.455400e+02 2.17330000e-01
2.469780e+02 2.98015000e-01
2.484160e+02 4.47282000e-01
2.491350e+02 5.76131000e-01
2.498540e+02 7.79902000e-01
2.505730e+02 1.14574000e+00
2.509320e+02 1.51074000e+00
2.511120e+02 1.95112000e+00
2.512020e+02 2.56463000e+00
2.512470e+02 3.26976000e+00
2.512920e+02 4.71549000e+00
2.513600e+02 7.78827000e+00
2.514280e+02 4.90101000e+00
2.514660e+02 3.71786000e+00
2.515040e+02 3.12676000e+00
2.515800e+02 2.68690000e+00
2.517320e+02 2.65437000e+00
2.520360e+02 3.33330000e+00
2.523400e+02 4.61013000e+00
2.526440e+02 6.90377000e+00
2.527960e+02 8.77940000e+00
2.529480e+02 1.15501000e+01
2.530990e+02 1.58883000e+01
2.532510e+02 2.32311000e+01
2.533270e+02 2.89741000e+01
2.534030e+02 3.71251000e+01
2.534790e+02 4.92194000e+01
2.535550e+02 6.81766000e+01
2.536310e+02 1.00239000e+02
2.536690e+02 1.25102000e+02
2.537070e+02 1.59810000e+02
2.537450e+02 2.10116000e+02
2.537830e+02 2.85381000e+02
2.538210e+02 4.01273000e+02
2.538590e+02 5.79667000e+02
2.539100e+02 9.26216000e+02
2.539600e+02 1.15669000e+03
2.540110e+02 9.25980000e+02
2.540610e+02 5.79396000e+02
2.540960e+02 4.10595000e+02
2.541320e+02 2.97922000e+02
2.541670e+02 2.22758000e+02
2.542030e+02 1.71434000e+02
2.542730e+02 1.09232000e+02
2.543440e+02 7.50721000e+01
2.544150e+02 5.45598000e+01
2.544860e+02 4.13620000e+01
2.546270e+02 2.60603000e+01
2.547690e+02 1.78883000e+01
2.549100e+02 1.30363000e+01
2.550520e+02 9.92266000e+00
2.551940e+02 7.81059000e+00
2.554770e+02 5.21018000e+00
2.557600e+02 3.73434000e+00
2.560430e+02 2.81794000e+00
2.563260e+02 2.21105000e+00
2.568920e+02 1.48466000e+00
2.574590e+02 1.08622000e+00
2.580250e+02 8.47715000e-01
2.585910e+02 6.97509000e-01
2.597240e+02 5.42012000e-01
2.608560e+02 5.13328000e-01
2.614220e+02 5.61577000e-01
2.619890e+02 7.29050000e-01
2.622720e+02 9.49702000e-01
2.624130e+02 1.15318000e+00
2.625550e+02 1.49164000e+00
2.626960e+02 2.11645000e+00
2.627670e+02 2.64727000e+00
2.628380e+02 3.45967000e+00
2.629090e+02 4.78967000e+00
2.629800e+02 7.15000000e+00
2.630500e+02 1.17669000e+01
2.630860e+02 1.57266000e+01
2.631210e+02 2.14550000e+01
2.631760e+02 3.39885000e+01
2.632300e+02 4.23243000e+01
2.632850e+02 3.40185000e+01
2.633390e+02 2.15103000e+01
2.633980e+02 1.29945000e+01
2.634570e+02 8.45158000e+00
2.635160e+02 5.93434000e+00
2.635750e+02 4.44868000e+00
2.636930e+02 2.92604000e+00
2.638100e+02 2.29579000e+00
2.639280e+02 2.14751000e+00
2.640460e+02 2.53285000e+00
2.641050e+02 3.12805000e+00
2.641640e+02 4.38565000e+00
2.641930e+02 5.52923000e+00
2.642230e+02 7.32988000e+00
2.642520e+02 1.02926000e+01
2.642820e+02 1.51835000e+01
2.643160e+02 2.37641000e+01
2.643500e+02 2.94612000e+01
2.643840e+02 2.36962000e+01
2.644180e+02 1.50987000e+01
2.644480e+02 1.00910000e+01
2.644780e+02 7.07919000e+00
2.645080e+02 5.23900000e+00
2.645380e+02 4.06686000e+00
2.645980e+02 2.73220000e+00
2.646580e+02 2.04012000e+00
2.647780e+02 1.38273000e+00
2.648980e+02 1.09024000e+00
2.651370e+02 8.43605000e-01
2.653770e+02 7.49864000e-01
2.658560e+02 7.02297000e-01
2.663360e+02 7.29095000e-01
2.672940e+02 9.09871000e-01
2.682530e+02 1.30276000e+00
2.687320e+02 1.64395000e+00
2.692110e+02 2.16747000e+00
2.696910e+02 3.02295000e+00
2.701700e+02 4.55561000e+00
2.704100e+02 5.82166000e+00
2.706490e+02 7.71478000e+00
2.708890e+02 1.07301000e+01
2.711290e+02 1.59563000e+01
2.712480e+02 2.01441000e+01
2.713680e+02 2.62206000e+01
2.714880e+02 3.55149000e+01
2.716080e+02 5.07376000e+01
2.716680e+02 6.22564000e+01
