Rb-85(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1675.23 15.3781
1675.64 14.7569
1676.05 14.4457
1676.25 14.5443
1676.46 15.1303
1676.56 15.8811
1676.66 17.3938
1676.71 18.7179
1676.76 20.7375
1676.82 23.8978
1676.87 28.8480
1676.93 38.4355
1677.00 44.8257
1677.07 38.3032
1677.13 28.5824
1677.19 22.9183
1677.25 19.5494
1677.31 17.4639
1677.37 16.1115
1677.48 14.5348
1677.60 13.6768
1677.72 13.1445
1677.83 12.7797
1678.06 12.2981
1678.53 11.7306
1678.99 11.3565
1679.92 10.8181
1680.85 10.4170
1682.71 9.83016
1684.56 9.41296
1688.28 8.85119
1691.99 8.48560
1695.71 8.22490
1699.42 8.02710
1706.85 7.74053
1714.28 7.53623
1721.71 7.37790
1736.56 7.13683
1766.28 6.79318
1795.99 6.52282
1825.71 6.27535
1855.42 6.02250
1870.28 5.88495
1885.14 5.73331
1892.56 5.65031
1899.99 5.56276
1903.71 5.51951
1907.42 5.48484
1909.28 5.48165
1910.21 5.49149
1911.14 5.52020
1912.06 5.59551
1912.53 5.67515
1912.99 5.82132
1913.23 5.94345
1913.46 6.12514
1913.69 6.41205
1913.92 6.90121
1914.15 7.83209
1914.27 8.64603
1914.39 9.92869
1914.50 12.1063
1914.62 16.1877
1914.68 19.6556
1914.73 24.8800
1914.79 32.9960
1914.85 45.6632
1914.93 70.0400
1915.00 86.0127
1915.08 69.7052
1915.15 45.6711
1915.20 34.8109
1915.25 27.2809
1915.34 18.4932
1915.44 13.9358
1915.53 11.3442
1915.63 9.73709
1915.72 8.69812
1915.91 7.47091
1916.10 6.80109
1916.29 6.40006
1916.67 5.96075
1917.06 5.73624
1917.44 5.60542
1918.20 5.46271
1918.96 5.38678
1919.72 5.33839
1921.24 5.27516
1922.76 5.22968
1924.29 5.19078
1927.33 5.11896
1933.42 4.97216
1939.51 4.80403
1945.60 4.60161
1951.69 4.34932
1957.78 4.02596
1959.30 3.93294
1960.82 3.84058
1961.59 3.80209
1962.35 3.79000
1962.73 3.81894
1963.11 3.93496
1963.30 4.09329
1963.49 4.46125
1963.58 4.84478
1963.68 5.55572
1963.73 6.15772
1963.77 7.03019
1963.82 8.38330
1963.87 10.3952
1963.93 14.4893
1964.00 17.2217
1964.07 14.4782
1964.13 10.3731
1964.21 7.48984
1964.28 5.99353
1964.36 5.17762
1964.43 4.69647
1964.58 4.18739
1964.73 3.93735
1965.03 3.70183
1965.33 3.58877
1965.93 3.46593
1966.53 3.38471
1968.93 3.12836
1971.33 2.89808
1973.73 2.75270
1974.93 2.78126
1976.13 2.97653
1977.32 3.52508
1978.52 4.87629
1979.12 6.17758
1979.72 8.27960
1980.32 11.8005
1980.92 18.0047
1981.52 29.8373
1981.82 39.8814
1982.12 54.9020
1982.42 78.4512
1982.72 117.003
1983.02 183.023
1983.32 297.746
1983.66 508.028
1984.00 677.824
1984.34 580.956
1984.68 389.237
1984.92 288.572
1985.16 219.222
1985.40 171.369
1985.64 137.964
1986.12 95.9795
1986.60 71.9198
1987.07 56.8287
1987.55 46.7361
1988.51 34.4169
1989.47 27.3657
1990.43 22.9032
1991.38 19.8604
1992.34 17.6760
1994.26 14.7732
1996.17 12.9512
1998.09 11.7098
2000.00 10.8127
2002.56 9.94418
2005.11 9.31129
2010.22 8.44720
2015.33 7.87870
2020.43 7.46924
2025.54 7.15338
2030.65 6.89634
2033.21 6.78373
2035.76 6.68200
2037.04 6.63843
2038.31 6.61033
2038.95 6.61539
2039.59 6.66977
2039.91 6.75773
2040.23 6.98963
2040.39 7.26430
2040.55 7.85106
2040.63 8.42833
2040.71 9.43562
2040.79 11.3489
2040.87 15.1282
2040.93 20.3004
2041.00 23.7395
2041.07 20.2964
2041.13 15.1194
2041.17 12.8822
2041.21 11.3009
2041.29 9.41444
2041.37 8.41031
2041.45 7.82877
2041.61 7.22339
2041.77 6.93667
2042.08 6.67816
2042.40 6.56504
2043.03 6.46104
2043.67 6.40689
2044.94 6.33668
2046.20 6.28112
2048.74 6.17992
2051.27 6.08063
2056.35 5.87088
2061.42 5.62497
2063.95 5.47690
2066.49 5.30187
2069.02 5.08673
2071.56 4.81126
2072.83 4.64178
2074.09 4.44600
2075.36 4.22361
2076.63 3.99175
2077.26 3.89420
2077.90 3.84561
2078.53 3.92175
2079.16 4.31729
2079.80 5.61238
2080.11 7.11268
2080.43 9.95183
2080.59 12.3159
2080.75 15.7483
2080.91 20.9611
2081.07 29.0967
2081.22 42.6164
2081.38 66.1751
2081.46 84.6286
2081.54 110.227
2081.62 146.069
2081.70 195.988
2081.85 335.941
2082.00 451.000
