Zn-70(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
60602.5 5.47481
60677.4 5.42784
60752.3 5.43732
60789.8 5.48640
60827.2 5.60162
60864.7 5.86655
60883.4 6.12322
60902.1 6.55705
60920.9 7.35581
60930.2 8.02299
60939.6 9.02167
60948.9 10.5954
60958.3 13.2220
60967.7 17.8985
60977.0 26.5190
60986.0 39.7171
60995.0 48.7825
61004.0 40.3309
61013.0 27.2949
61018.9 21.2750
61024.7 17.1209
61036.4 12.2642
61048.2 9.76924
61059.9 8.35613
61071.6 7.48534
61083.3 6.91304
61106.7 6.23096
61130.2 5.85263
61153.6 5.61870
61200.5 5.35001
61247.3 5.20099
61294.2 5.10486
61387.9 4.98285
61481.7 4.90262
61575.4 4.84142
61762.9 4.74634
61950.4 4.66957
62137.8 4.60211
62325.3 4.53976
62372.2 4.52625
62419.1 4.52030
62442.5 4.53026
62465.9 4.58238
62477.7 4.66921
62483.5 4.76023
62489.4 4.92811
62495.2 5.28067
62498.2 5.61684
62501.1 6.19188
62504.0 7.28390
62505.5 8.23550
62506.9 9.70761
62508.4 12.1743
62509.9 16.6074
62511.3 25.4660
62512.1 33.2048
62512.8 44.6134
62513.9 69.6784
62515.0 86.9116
62516.1 71.1796
62517.2 46.7902
62518.2 31.6780
62519.3 22.8635
62520.3 17.5588
62521.3 14.2080
62523.4 10.4314
62525.4 8.50765
62527.4 7.39327
62529.5 6.69716
62533.6 5.90307
62537.7 5.48179
62541.7 5.23136
62549.9 4.95727
62558.1 4.81640
62566.2 4.73309
62582.6 4.64109
62615.3 4.56118
62648.0 4.52352
62713.3 4.48211
62778.7 4.45502
62909.4 4.41338
63040.2 4.37784
63301.6 4.31362
63563.1 4.25385
64086.1 4.14050
64609.0 4.03002
65654.9 3.80068
66700.8 3.53167
67746.7 3.16918
68269.7 2.91960
68792.6 2.58725
69315.6 2.11347
69577.0 1.79063
69838.5 1.38236
70100.0 0.865371
70361.5 0.269749
70426.8 0.139470
70459.5 0.0862746
70492.2 0.0457926
70524.9 0.0231032
70557.6 0.0251218
70590.3 0.0612186
70622.9 0.144216
70655.6 0.291795
70688.3 0.528221
70721.0 0.887437
70753.7 1.41614
70786.4 2.17965
70819.0 3.26643
70851.7 4.79528
70884.4 6.91620
70932.6 11.4744
70980.7 18.0439
71077.0 33.3748
71125.2 37.2388
71173.3 37.0287
71269.6 30.6615
71384.2 23.1294
71498.9 18.2179
71613.5 15.0939
71728.1 13.0126
71842.7 11.5532
71957.3 10.4838
72186.6 9.03420
72415.8 8.10401
72645.1 7.45863
73103.6 6.62136
73562.1 6.09868
74020.5 5.73714
74937.5 5.25636
75854.5 4.92951
76771.5 4.65549
77230.0 4.50790
77459.2 4.42021
77688.5 4.31179
77917.7 4.16081
78032.3 4.05364
78146.9 3.90531
78204.3 3.80548
78261.6 3.67814
78318.9 3.50862
78376.2 3.26975
78404.8 3.10877
78433.5 2.90535
78462.2 2.63998
78490.8 2.28058
78519.5 1.77134
78533.8 1.43387
78548.1 1.02552
78562.4 0.550581
78576.8 0.111844
78583.9 0.0518889
78587.5 0.139010
78591.1 0.372420
78594.7 0.843997
78598.3 1.70314
78601.8 3.18906
78605.4 5.66453
78609.1 9.69628
78612.7 15.6122
78620.0 29.9602
78623.7 33.9157
78627.3 34.1346
78634.6 28.8178
78640.0 24.4027
78645.3 20.8657
78650.7 18.1741
78656.1 16.1379
78666.8 13.3418
78677.6 11.5627
78688.3 10.3515
78699.1 9.48127
78720.6 8.32359
78742.1 7.59335
78763.6 7.09266
78785.1 6.72856
78806.6 6.45201
78849.6 6.05961
78892.6 5.79415
78935.6 5.60209
78978.6 5.45622
79064.6 5.24810
79150.6 5.10527
79236.6 4.99989
79322.6 4.91797
79494.6 4.79645
79666.6 4.70793
80010.6 4.58052
80354.6 4.48610
80698.6 4.40775
81386.6 4.27218
82074.6 4.14205
82418.6 4.07214
82762.6 3.99401
83106.6 3.90085
83278.6 3.84490
83450.6 3.77921
83622.6 3.69940
83708.6 3.65230
83794.6 3.59937
83966.6 3.48619
84009.6 3.47589
84031.1 3.48738
84052.6 3.52789
84074.1 3.64129
84084.8 3.76372
84095.6 3.98862
84106.3 4.44753
84111.7 4.87088
84117.1 5.56724
84122.5 6.82234
84125.2 7.85482
84127.8 9.37441
84130.5 11.7375
84133.2 15.5922
84135.9 22.3003
84138.6 34.2094
84141.3 53.1123
84144.0 65.8900
84146.7 53.6296
84149.4 34.8873
84151.3 25.8730
84153.2 19.8216
84155.0 15.7206
84156.9 12.9105
84160.6 9.45752
84164.4 7.54102
84168.1 6.37341
84171.8 5.61415
84179.3 4.72030
84186.7 4.23016
84194.2 3.93003
84209.1 3.58734
84224.0 3.39597
84238.9 3.26910
84268.7 3.09375
84328.3 2.82292
84387.9 2.52288
84447.6 2.10766
84477.4 1.82252
84507.2 1.45613
84537.0 0.978610
84566.8 0.388220
84581.7 0.115659
84589.2 0.0378449
84596.6 0.0592939
84604.1 0.279333
84607.8 0.518830
84611.5 0.891532
84615.3 1.45395
84619.0 2.27858
84622.7 3.47264
84626.4 5.16187
84631.8 8.81145
84637.2 14.1603
84648.0 27.0804
84653.4 30.6112
84658.8 30.7716
84669.6 25.9254
84678.4 21.5572
84687.1 18.1689
84695.9 15.6758
84704.7 13.8331
84722.2 11.3697
84739.8 9.83909
84757.3 8.81270
84774.9 8.08450
84809.9 7.13345
84845.0 6.56764
84862.6 6.38730
84880.1 6.28390
84897.7 6.31062
84906.4 6.42393
84915.2 6.68267
84924.0 7.25974
84928.4 7.80248
84932.7 8.68804
84937.1 10.2406
84941.5 13.2155
84943.7 15.7938
84945.9 19.6998
84948.1 25.8224
84950.3 35.4701
84953.1 54.3600
84956.0 67.6743
84958.9 56.1691
84961.7 37.7446
84964.8 24.9930
84967.9 18.0798
84971.0 14.1712
84974.1 11.8052
84977.2 10.2750
84980.3 9.23764
84986.5 7.95549
84992.7 7.21744
84998.9 6.75018
85011.2 6.20060
85023.6 5.89027
85036.0 5.68917
85060.7 5.43669
85085.4 5.27647
85110.2 5.16001
85159.7 4.99271
85209.1 4.87180
85258.6 4.77699
85357.6 4.63344
85456.5 4.52686
85555.5 4.44276
85753.4 4.31494
85951.3 4.21861
86149.2 4.14022
86545.1 4.01227
86940.9 3.90252
87336.7 3.79807
87732.6 3.69015
87930.5 3.63765
87979.9 3.63275
88029.4 3.65485
88054.2 3.70643
88066.5 3.76461
88078.9 3.87595
88091.3 4.11561
88097.5 4.34765
88103.6 4.74741
88109.8 5.51408
88112.9 6.18210
88116.0 7.22646
88119.1 8.97068
88122.2 12.1407
88125.3 18.5244
88126.8 24.1611
88128.4 32.4614
88130.7 50.5902
88133.0 63.2536
88135.3 52.0921
88137.6 34.3800
88139.7 23.8690
88141.7 17.5083
88143.8 13.6047
88145.8 11.1027
88149.9 8.25078
88154.0 6.77021
88158.1 5.90494
88162.2 5.35839
88170.4 4.72877
88178.6 4.39197
88186.8 4.18927
88203.2 3.96466
88219.6 3.84664
88235.9 3.77513
88268.7 3.69268
88301.5 3.64525
88334.2 3.61292
88399.8 3.56783
88530.8 3.50470
88661.9 3.45148
88924.0 3.34753
89186.1 3.23490
89448.2 3.10595
89710.3 2.95252
89841.4 2.86292
89972.5 2.76160
90103.5 2.64635
90169.0 2.60235
