53-I_n-tot
>  53-I-127:1.000000
1.416660e+02 1.19711000e+01
1.420390e+02 9.92525000e+00
1.424130e+02 8.60541000e+00
1.427860e+02 7.69611000e+00
1.435320e+02 6.54319000e+00
1.442780e+02 5.86588000e+00
1.446510e+02 5.64385000e+00
1.450240e+02 5.52431000e+00
1.452110e+02 5.55615000e+00
1.453970e+02 5.79785000e+00
1.454900e+02 6.15948000e+00
1.455370e+02 6.49579000e+00
1.455840e+02 7.04313000e+00
1.456300e+02 7.99945000e+00
1.456770e+02 9.82862000e+00
1.457000e+02 1.14049000e+01
1.457230e+02 1.38028000e+01
1.457470e+02 1.75654000e+01
1.457700e+02 2.34980000e+01
1.458000e+02 3.48187000e+01
1.458300e+02 4.26173000e+01
1.458600e+02 3.55004000e+01
1.458900e+02 2.43361000e+01
1.459210e+02 1.69243000e+01
1.459510e+02 1.27851000e+01
1.459820e+02 1.03939000e+01
1.460130e+02 8.92613000e+00
1.460740e+02 7.31515000e+00
1.461350e+02 6.50396000e+00
1.461960e+02 6.03520000e+00
1.462580e+02 5.73769000e+00
1.463800e+02 5.38635000e+00
1.466250e+02 5.05418000e+00
1.468700e+02 4.88326000e+00
1.473600e+02 4.68043000e+00
1.478500e+02 4.54327000e+00
1.498100e+02 4.18979000e+00
1.517700e+02 3.96462000e+00
1.527500e+02 3.90721000e+00
1.529950e+02 3.92196000e+00
1.532400e+02 3.99562000e+00
1.533630e+02 4.10120000e+00
1.534850e+02 4.35925000e+00
1.535460e+02 4.64206000e+00
1.536080e+02 5.19692000e+00
1.536380e+02 5.69150000e+00
1.536690e+02 6.46639000e+00
1.536990e+02 7.73623000e+00
1.537300e+02 9.84589000e+00
1.537650e+02 1.34867000e+01
1.538000e+02 1.59116000e+01
1.538350e+02 1.34830000e+01
1.538700e+02 9.83670000e+00
1.538990e+02 7.81890000e+00
1.539280e+02 6.56856000e+00
1.539560e+02 5.78080000e+00
1.539850e+02 5.26933000e+00
1.540430e+02 4.67623000e+00
1.541000e+02 4.36399000e+00
1.542150e+02 4.06244000e+00
1.543300e+02 3.92476000e+00
1.545600e+02 3.79956000e+00
1.547890e+02 3.73922000e+00
1.557090e+02 3.62409000e+00
1.575470e+02 3.48299000e+00
1.593860e+02 3.37374000e+00
1.612240e+02 3.31762000e+00
1.621430e+02 3.33752000e+00
1.630630e+02 3.43038000e+00
1.639820e+02 3.67590000e+00
1.649010e+02 4.27631000e+00
1.653610e+02 4.86534000e+00
1.658200e+02 5.84701000e+00
1.662800e+02 7.57934000e+00
1.667400e+02 1.09093000e+01
1.669690e+02 1.37889000e+01
1.671990e+02 1.82242000e+01
1.674290e+02 2.54794000e+01
1.676590e+02 3.83636000e+01
1.677740e+02 4.88258000e+01
1.678890e+02 6.41356000e+01
1.680040e+02 8.76736000e+01
1.681180e+02 1.26268000e+02
1.682330e+02 1.95280000e+02
1.682910e+02 2.51745000e+02
1.683480e+02 3.34529000e+02
1.684060e+02 4.61924000e+02
1.684630e+02 6.67577000e+02
1.685210e+02 1.01833000e+03
1.685780e+02 1.62785000e+03
1.686390e+02 2.63406000e+03
1.687000e+02 3.33293000e+03
1.687610e+02 2.70703000e+03
1.688220e+02 1.71961000e+03
1.688640e+02 1.24253000e+03
1.689050e+02 9.18477000e+02
1.689470e+02 6.97979000e+02
1.689880e+02 5.45560000e+02
1.690710e+02 3.57401000e+02
1.691540e+02 2.52038000e+02
1.692380e+02 1.87751000e+02
1.693210e+02 1.45813000e+02
1.694870e+02 9.63378000e+01
1.696530e+02 6.93253000e+01
1.698190e+02 5.29550000e+01
1.699850e+02 4.22459000e+01
1.701510e+02 3.48446000e+01
1.704840e+02 2.54980000e+01
1.708160e+02 2.00010000e+01
1.711480e+02 1.64687000e+01
1.714810e+02 1.40501000e+01
1.721450e+02 1.10264000e+01
1.728100e+02 9.32576000e+00
1.731420e+02 8.84687000e+00
1.734740e+02 8.81252000e+00
1.736410e+02 9.26413000e+00
1.737240e+02 9.81215000e+00
1.738070e+02 1.08371000e+01
1.738900e+02 1.29002000e+01
1.739310e+02 1.47444000e+01
1.739730e+02 1.76558000e+01
1.740150e+02 2.25818000e+01
1.740560e+02 3.16043000e+01
