Zn-67(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
3316.62 0.765903
3316.74 1.33882
3316.85 2.65838
3316.92 4.23864
3317.00 5.29421
3317.08 4.23880
3317.15 2.65864
3317.23 1.66740
3317.30 1.11024
3317.45 0.580939
3317.74 0.246549
3318.03 0.144868
3318.32 0.101784
3319.49 0.0534788
3321.83 0.0404512
3326.51 0.0392844
3335.88 0.0449361
3354.60 0.0666981
3354.60 0.0667014
3354.61 0.0667097
3354.61 0.0667163
3354.62 0.0667295
3354.63 0.0667561
3354.67 0.0668108
3354.73 0.0669189
3354.86 0.0671361
3355.12 0.0675740
3355.64 0.0684647
3356.68 0.0703096
3358.76 0.0742632
3362.93 0.0834026
3371.25 0.108506
3379.58 0.148800
3387.90 0.219657
3396.23 0.362227
3400.39 0.495056
3404.55 0.719473
3408.71 1.14306
3410.80 1.51093
3412.88 2.08731
3414.96 3.05848
3417.04 4.85890
3418.08 6.37286
3419.12 8.62737
3420.16 12.0862
3421.20 17.3950
3422.60 27.7968
3424.00 34.7085
3425.40 27.7689
3426.80 17.3680
3427.91 11.7818
3429.02 8.25197
3430.13 6.00685
3431.24 4.53042
3433.46 2.80919
3435.68 1.89941
3437.90 1.36624
3440.12 1.02924
3444.56 0.644758
3449.00 0.442942
3453.44 0.324401
3462.31 0.198372
3471.19 0.136856
3480.07 0.103388
3488.95 0.0885051
3491.17 0.0908474
3493.39 0.104724
3494.50 0.126547
3495.61 0.188082
3496.16 0.269031
3496.72 0.475262
3497.00 0.723929
3497.13 0.942532
3497.27 1.28599
3497.41 1.87744
3497.55 2.98961
3497.62 3.96032
3497.69 5.42017
3497.76 7.71769
3497.83 11.3591
3497.91 18.1518
3498.00 22.6874
3498.09 18.1517
3498.17 11.3590
3498.23 8.19339
3498.29 6.04025
3498.41 3.56690
3498.52 2.32163
3498.64 1.62728
3498.87 0.932915
3499.10 0.613780
3499.57 0.339692
3500.03 0.228787
3500.96 0.141014
3501.88 0.107382
3503.74 0.0811271
3505.59 0.0706369
3513.01 0.0570900
3520.43 0.0563259
3524.14 0.0737511
3525.06 0.0924812
3525.99 0.143399
3526.46 0.209416
3526.92 0.375216
3527.15 0.572715
3527.38 1.01460
3527.50 1.47067
3527.61 2.31948
3527.67 3.03557
3527.73 4.10681
3527.79 5.75593
3527.85 8.24846
3527.92 13.2250
3528.00 16.4947
3528.08 13.1570
3528.16 8.24866
3528.22 5.65176
3528.28 3.99569
3528.34 2.93363
3528.40 2.23058
3528.52 1.40531
3528.63 0.968693
3528.87 0.545596
3529.11 0.357253
3529.59 0.199219
3530.07 0.136407
3531.03 0.0875009
3531.98 0.0690960
3535.81 0.0496361
3543.46 0.0431590
3558.76 0.0403967
3589.37 0.0422824
3619.97 0.0509123
3650.58 0.0690148
3665.88 0.0841816
3681.18 0.106454
3696.49 0.140577
3711.79 0.196109
3727.09 0.294497
3734.74 0.374377
3742.40 0.491164
3750.05 0.669900
3757.70 0.958064
3765.35 1.44777
3773.00 2.29889
3781.00 3.66505
3789.00 4.56355
3797.00 3.64500
3805.00 2.27940
3814.01 1.32552
3823.02 0.827881
3832.03 0.556128
3841.04 0.396247
3850.06 0.295635
3859.07 0.228712
3877.09 0.148553
3895.11 0.104511
3913.13 0.0779244
3949.18 0.0492662
3985.22 0.0360528
4021.26 0.0323324
