Sb-121(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
175.739 0.0810596
175.977 0.104522
176.097 0.136490
176.157 0.166551
176.216 0.217160
176.276 0.311838
176.306 0.392799
176.335 0.517581
176.365 0.723682
176.395 1.09098
176.425 1.81575
176.440 2.44243
176.455 3.35839
176.477 5.34780
176.500 6.66659
176.523 5.33877
176.545 3.35852
176.561 2.39221
176.577 1.75140
176.593 1.32110
176.609 1.02906
176.640 0.673607
176.672 0.478236
176.704 0.360792
176.736 0.285128
176.799 0.197242
176.862 0.150033
176.926 0.121843
177.052 0.0910708
177.306 0.0661075
177.559 0.0558760
178.573 0.0421224
180.600 0.0338586
182.627 0.0343645
183.134 0.0387242
183.641 0.0521947
183.894 0.0707840
184.021 0.0888723
184.148 0.120781
184.275 0.184967
184.338 0.244655
184.401 0.344939
184.465 0.533109
184.496 0.695315
184.528 0.946390
184.560 1.36536
184.591 2.12776
184.607 2.75876
184.623 3.67633
184.639 5.04880
184.655 7.10021
184.677 11.3415
184.700 14.1679
184.723 11.3429
184.745 7.10189
184.760 5.19036
184.774 3.87448
184.803 2.32543
184.832 1.52571
184.861 1.07247
184.890 0.793686
184.918 0.612332
184.976 0.398783
185.034 0.283026
185.091 0.213740
185.207 0.138430
185.322 0.100657
185.437 0.0790949
185.668 0.0567352
185.898 0.0460469
186.129 0.0402059
186.590 0.0346548
187.513 0.0324850
188.435 0.0360407
189.357 0.0473815
189.818 0.0595695
190.280 0.0822506
190.510 0.101481
190.741 0.130862
190.971 0.178887
191.202 0.265186
191.317 0.336795
191.432 0.444413
191.548 0.616850
191.663 0.918652
191.778 1.51990
191.836 2.07384
191.894 2.99532
191.951 4.69944
191.980 6.14317
192.009 8.35024
192.038 11.9410
192.067 18.2578
192.095 30.4363
192.110 40.7337
192.124 55.5123
192.147 88.8909
192.170 111.013
192.193 88.7252
192.216 55.4988
192.231 39.9600
192.246 29.4408
192.277 17.3112
192.307 11.1805
192.338 7.75363
192.368 5.67111
192.398 4.31982
192.459 2.73932
192.520 1.88820
192.581 1.38089
192.703 0.831948
192.824 0.557278
192.946 0.400856
193.067 0.303360
193.189 0.238528
193.432 0.160354
193.676 0.116839
193.919 0.0901219
194.162 0.0725533
194.649 0.0515761
195.135 0.0399845
196.108 0.0282406
197.081 0.0227131
198.054 0.0197866
199.027 0.0186045
199.514 0.0195840
199.757 0.0221917
200.000 0.0342732
200.127 0.0679378
200.191 0.134481
200.223 0.221972
200.255 0.417306
200.277 0.658947
200.300 0.819280
200.323 0.657846
200.345 0.417322
200.372 0.244932
200.398 0.157267
200.451 0.0824907
200.556 0.0403065
200.767 0.0233028
201.188 0.0176532
202.030 0.0157957
203.715 0.0153034
207.085 0.0176423
208.770 0.0215653
209.612 0.0253405
210.454 0.0319372
211.297 0.0453634
211.718 0.0582942
212.139 0.0813318
212.560 0.129275
212.771 0.175950
212.982 0.259159
213.087 0.327793
213.192 0.430510
213.297 0.594315
213.403 0.879298
213.508 1.44214
213.561 1.95610
213.613 2.80276
213.666 4.34625
213.692 5.63424
213.719 7.57358
213.745 10.6781
213.771 15.9619
213.798 25.7017
213.824 44.5445
213.847 71.3531
213.870 89.1345
213.893 71.2215
213.916 44.5350
213.933 31.1873
213.949 22.4557
213.966 16.6940
213.983 12.7930
214.016 8.10653
214.049 5.55463
214.082 4.03073
214.115 3.05400
214.182 1.92519
214.248 1.32501
214.315 0.969291
214.447 0.587276
214.580 0.397761
214.713 0.290446
214.846 0.224019
214.979 0.180199
215.244 0.128151
215.510 0.100088
216.041 0.0738860
216.572 0.0647124
217.104 0.0634947
218.166 0.0768292
218.697 0.0925306
219.229 0.118212
219.760 0.161636
220.291 0.241272
220.557 0.308142
220.822 0.409515
221.088 0.573767
221.354 0.865723
221.486 1.10529
221.619 1.46158
221.752 2.02451
221.885 2.99010
222.018 4.85395
222.084 6.51212
222.150 9.17619
222.217 13.8318
222.283 22.9674
222.316 31.1155
222.350 44.0064
222.383 65.3667
222.416 101.391
222.435 129.906
222.453 162.564
222.490 203.484
222.527 162.536
222.564 101.356
222.588 73.7277
222.612 54.6899
222.659 32.4674
222.707 21.0926
222.754 14.6818
222.802 10.7641
222.850 8.21194
222.945 5.21752
223.040 3.59890
223.135 2.62996
223.325 1.57990
223.516 1.05361
223.706 0.753482
223.896 0.566349
224.087 0.441928
224.467 0.292080
224.848 0.208931
225.229 0.158276
225.609 0.125416
226.371 0.0879548
227.132 0.0716512
227.513 0.0703491
227.893 0.0780363
228.084 0.0911048
228.274 0.125930
228.369 0.168903
228.417 0.207536
228.464 0.270299
228.512 0.382738
228.560 0.612546
228.583 0.827111
228.607 1.18365
228.631 1.81610
228.655 2.97200
228.677 4.72097
228.700 5.88104
228.723 4.71455
228.745 2.97525
228.771 1.74165
228.797 1.10851
228.823 0.765731
228.849 0.565464
228.901 0.357336
228.953 0.259755
229.005 0.207556
229.056 0.177562
229.160 0.149120
229.368 0.144679
229.575 0.179068
229.782 0.269212
229.886 0.359545
229.990 0.518875
230.093 0.835686
230.145 1.12565
230.197 1.60358
230.249 2.47477
230.275 3.20129
230.301 4.29432
230.327 6.03335
230.353 8.99500
230.378 14.4350
230.404 24.9053
230.427 39.8488
230.450 49.7449
230.473 39.7748
230.496 24.8995
230.519 15.3205
230.542 9.96103
230.564 6.87440
230.587 4.98918
230.610 3.77058
230.633 2.94371
230.679 1.93424
230.725 1.36589
230.770 1.01665
230.862 0.628983
230.954 0.429952
231.045 0.314703
231.228 0.193044
231.411 0.133415
231.594 0.0997040
231.961 0.0647131
232.327 0.0476376
232.693 0.0379018
233.425 0.0276083
234.158 0.0226024
234.890 0.0204728
235.622 0.0241045
235.806 0.0292727
235.989 0.0434255
236.080 0.0612742
236.172 0.103806
236.218 0.151004
236.263 0.246600
236.286 0.335160
236.309 0.480677
236.332 0.734561
236.355 1.18842
236.377 1.89525
236.400 2.36412
236.423 1.89203
236.445 1.18849
236.463 0.807865
236.482 0.568431
236.518 0.317168
236.554 0.201428
236.590 0.140478
236.662 0.0820514
236.735 0.0562344
236.879 0.0345685
237.024 0.0258928
237.314 0.0189738
237.603 0.0162069
238.760 0.0127605
241.075 0.0116341
242.232 0.0124741
243.390 0.0158678
243.969 0.0207570
244.547 0.0342727
244.837 0.0523352
244.981 0.0698035
245.126 0.100598
245.271 0.162903
245.343 0.221303
245.415 0.320434
245.488 0.509463
245.524 0.675302
245.560 0.936924
245.596 1.38520
245.632 2.23178
245.650 2.96101
245.669 4.07245
245.687 5.82501
245.705 8.58889
245.727 13.7409
245.750 17.1782
245.773 13.7423
245.795 8.59067
245.818 5.29014
245.841 3.44851
245.863 2.38134
245.886 1.73171
245.909 1.30953
245.931 1.02417
245.977 0.674156
246.022 0.477590
246.067 0.356819
246.158 0.222798
246.248 0.154312
246.339 0.114856
246.520 0.0738877
246.701 0.0546921
246.883 0.0448579
247.245 0.0383776
247.607 0.0439167
247.789 0.0530643
247.970 0.0711689
248.151 0.110050
248.242 0.147581
248.332 0.212791
248.423 0.340488
248.468 0.455599
248.513 0.642991
248.559 0.976726
248.581 1.25028
248.604 1.65146
248.627 2.27447
248.649 3.28891
248.672 5.05589
248.695 8.19441
248.717 13.1101
248.740 16.3899
248.763 13.1111
248.785 8.19564
248.810 4.82763
248.835 3.04820
248.860 2.05988
248.885 1.47554
248.910 1.10384
248.935 0.856348
248.984 0.557471
249.034 0.392067
249.084 0.291382
249.183 0.180570
249.282 0.124129
249.382 0.0915771
249.580 0.0574019
249.779 0.0407091
249.978 0.0313040
250.375 0.0215803
251.170 0.0142266
251.965 0.0114920
253.555 0.00950880
255.145 0.00901341
256.735 0.00926234
258.325 0.0106136
259.120 0.0124741
259.915 0.0174372
260.312 0.0239944
260.710 0.0416328
260.909 0.0647997
261.008 0.0868886
261.107 0.125175
261.207 0.200581
261.256 0.269107
261.306 0.381472
261.356 0.584965
261.381 0.754402
261.405 1.00696
261.430 1.40761
261.455 2.08032
261.480 3.29642
261.505 5.58760
261.527 8.94053
261.550 11.1622
261.573 8.92560
261.595 5.58866
261.611 3.95981
261.627 2.87398
261.643 2.15035
261.659 1.65917
261.691 1.06131
261.722 0.732776
261.754 0.534908
261.786 0.408033
261.849 0.260786
261.913 0.182100
261.976 0.135448
262.103 0.0852689
262.230 0.0603675
262.357 0.0463278
262.610 0.0320760
263.118 0.0225145
263.625 0.0210672
264.133 0.0243741
264.640 0.0372302
264.894 0.0552277
265.021 0.0727368
265.147 0.103568
265.274 0.165592
265.338 0.223152
265.401 0.319997
265.465 0.501797
265.496 0.658304
265.528 0.901490
265.560 1.30635
265.591 2.04329
265.607 2.65345
265.623 3.54112
265.639 4.88000
265.655 6.87271
265.677 10.9945
265.700 13.7246
265.723 10.9761
265.745 6.87392
265.762 4.81998
265.778 3.46837
265.795 2.57789
265.811 1.97888
265.844 1.25529
265.876 0.862950
265.909 0.628101
265.942 0.478129
266.007 0.304768
266.073 0.212470
266.138 0.157865
266.269 0.0992002
266.400 0.0701231
266.531 0.0537207
266.793 0.0370156
267.316 0.0255353
267.840 0.0232238
268.364 0.0257467
268.887 0.0370305
269.149 0.0530520
269.280 0.0686660
269.411 0.0962256
269.542 0.151737
269.607 0.203457
269.673 0.290572
269.738 0.454693
269.771 0.596532
269.804 0.817821
269.837 1.18987
269.869 1.87177
269.886 2.44164
269.902 3.27838
269.918 4.55462
269.935 6.47942
269.957 10.3652
269.980 12.9588
270.003 10.3661
270.025 6.48055
270.044 4.32442
270.063 2.99690
270.082 2.16236
270.100 1.62360
270.138 1.00162
270.175 0.676801
270.213 0.488038
270.250 0.369314
270.325 0.234562
270.400 0.164139
270.475 0.122874
270.625 0.0790719
270.775 0.0575950
270.925 0.0455829
271.225 0.0335341
271.825 0.0257086
272.425 0.0248236
273.025 0.0279155
273.625 0.0387206
273.925 0.0533985
274.075 0.0675855
274.225 0.0925874
274.375 0.143210
274.450 0.190700
274.525 0.271613
274.600 0.426283
274.637 0.562507
274.675 0.779069
274.712 1.15172
274.750 1.86534
274.769 2.48754
274.787 3.44095
274.806 4.96354
274.825 7.41810
274.847 11.8544
274.870 14.8112
274.893 11.8554
274.915 7.41950
274.931 5.34116
274.946 3.93629
274.976 2.31930
275.006 1.50160
275.036 1.04701
275.067 0.770219
275.097 0.591412
275.157 0.382359
275.218 0.269856
