Ti-49(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
73006.2 0.00348721
73060.4 0.00260342
73114.5 0.00208201
73222.7 0.00153210
73439.3 0.00114252
73655.8 0.00104993
74088.8 0.00114314
74521.9 0.00146237
74954.9 0.00209535
75387.9 0.00340357
75604.5 0.00460695
75821.0 0.00656210
75929.2 0.00800444
76037.5 0.00991374
76145.8 0.0124535
76254.0 0.0157994
76365.5 0.0201739
76477.0 0.0251611
76700.0 0.0313092
76811.5 0.0294097
76923.0 0.0249684
77146.0 0.0156100
77296.3 0.0112212
77446.6 0.00825178
77596.8 0.00624714
77747.1 0.00486830
78047.7 0.00323498
78198.0 0.00296598
78273.1 0.00378669
78310.7 0.00762096
78329.5 0.0216614
78334.2 0.0347106
78338.8 0.0669250
78341.2 0.104528
78343.5 0.186373
78344.7 0.268662
78345.9 0.414906
78347.1 0.704169
78347.7 0.957531
78348.2 1.32383
78349.1 2.12080
78350.0 2.64577
78350.9 2.12072
78351.8 1.32377
78352.8 0.759447
78353.8 0.470472
78354.8 0.314468
78355.9 0.223379
78357.9 0.128236
78359.9 0.0832228
78364.0 0.0434773
78368.1 0.0270783
78376.3 0.0140251
78384.5 0.00904704
78417.2 0.00387284
78482.6 0.00238073
78613.5 0.00180107
78875.2 0.00136524
79398.5 0.000916359
79921.9 0.000671006
80445.3 0.000520630
81492.1 0.000354195
82538.8 0.000270644
84632.4 0.000199950
