Se-78(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
9404.12 0.0227215
9449.96 0.0137901
9495.80 0.00935584
9541.63 0.00684833
9587.47 0.00530178
9633.31 0.00428820
9724.98 0.00310544
9816.65 0.00249963
10000.0 0.00205592
10127.5 0.00208619
10255.0 0.00235279
10382.5 0.00293599
10510.0 0.00408481
10637.5 0.00651141
10701.3 0.00881427
10765.0 0.0127455
10828.8 0.0202441
10844.7 0.0231850
10852.7 0.0249041
10860.6 0.0268226
10868.6 0.0289723
10876.6 0.0313912
10884.5 0.0341251
10892.5 0.0372260
10900.5 0.0407703
10908.4 0.0448393
10916.4 0.0495386
10924.4 0.0550012
10932.4 0.0613953
10940.3 0.0689360
10956.3 0.0886348
10972.2 0.117520
10988.1 0.161489
11004.1 0.230697
11020.0 0.340224
11040.0 0.542604
11060.0 0.675843
11070.0 0.635482
11080.0 0.540055
11100.0 0.337757
11114.1 0.239059
11128.1 0.173324
11142.2 0.129519
11156.3 0.0996328
11184.4 0.0634364
11212.5 0.0435871
11240.6 0.0316731
11268.8 0.0240153
11325.0 0.0151363
11381.3 0.0104019
11437.5 0.00759003
11493.8 0.00578702
11550.0 0.00456283
11662.5 0.00305516
11775.0 0.00219708
11887.5 0.00166229
12000.0 0.00130634
12000.0 0.185184
15000.0 0.161276
17000.0 0.148873
20000.0 0.133556
25000.0 0.114102
30000.0 0.100423
35000.0 0.0902281
40000.0 0.0821830
50000.0 0.0701064
60000.0 0.0624430
70000.0 0.0577183
80000.0 0.0537011
99999.9 0.0482928
100000 0.0481543
150000 0.0418308
200000 0.0396032
250000 0.0390167
300000 0.0391955
500000 0.0418194
560873 0.0428346
621746 0.0437660
660873 0.0324684
700000 0.0245045
750000 0.0226295
800000 0.0210057
850000 0.0204179
900000 0.0198788
950000 0.0197585
1.00000E+06 0.0196450
1.06250E+06 0.0200155
1.12500E+06 0.0203713
1.18750E+06 0.0207136
1.25000E+06 0.0210437
1.32554E+06 0.0217211
1.32554E+06 0.0217211
1.36916E+06 0.0209598
1.41277E+06 0.0202479
1.45639E+06 0.0195807
1.50000E+06 0.0189542
1.51800E+06 0.0189284
1.51800E+06 0.0189284
1.52205E+06 0.0188222
1.52205E+06 0.0188222
1.57904E+06 0.0179423
1.63603E+06 0.0171326
1.69301E+06 0.0163853
1.75000E+06 0.0156938
1.78147E+06 0.0156587
1.82974E+06 0.0155879
1.87800E+06 0.0155193
1.87800E+06 0.0155193
1.93900E+06 0.0150997
2.00000E+06 0.0147039
2.02184E+06 0.0146656
2.07365E+06 0.0143264
2.12546E+06 0.0140032
2.12546E+06 0.0140032
2.16826E+06 0.0137526
2.21106E+06 0.0135113
2.25385E+06 0.0132788
2.29665E+06 0.0130545
2.29665E+06 0.0130545
2.32957E+06 0.0128001
2.32957E+06 0.0128001
2.35743E+06 0.0126019
2.36492E+06 0.0124853
2.36492E+06 0.0124853
2.39075E+06 0.0122559
2.39076E+06 0.0122559
2.46541E+06 0.0118208
2.54006E+06 0.0114134
2.54006E+06 0.0114134
2.57025E+06 0.0112197
2.57156E+06 0.0112054
2.57157E+06 0.0112054
2.62672E+06 0.0108759
2.68187E+06 0.0105626
2.68188E+06 0.0105626
2.71479E+06 0.0104381
2.71480E+06 0.0104381
2.71682E+06 0.0104198
2.71682E+06 0.0104198
2.75440E+06 0.0102307
2.75440E+06 0.0102307
2.78317E+06 0.0100504
2.83738E+06 0.00977006
2.89159E+06 0.00950263
2.94579E+06 0.00924727
3.00000E+06 0.00900326
3.06931E+06 0.00868247
3.13861E+06 0.00837991
3.20792E+06 0.00809416
3.27723E+06 0.00782395
3.34653E+06 0.00756813
3.41584E+06 0.00732567
3.48514E+06 0.00709562
3.55445E+06 0.00687711
3.61014E+06 0.00670935
3.66584E+06 0.00654816
3.72153E+06 0.00639318
3.77723E+06 0.00624409
3.83292E+06 0.00610059
3.88861E+06 0.00596238
3.94431E+06 0.00582921
4.00000E+06 0.00570081
4.12500E+06 0.00539900
4.25000E+06 0.00512148
4.37500E+06 0.00486566
4.50000E+06 0.00462930
4.62500E+06 0.00441043
4.75000E+06 0.00420735
4.87500E+06 0.00401853
5.00000E+06 0.00384265
5.06250E+06 0.00374239
5.12500E+06 0.00364593
5.18750E+06 0.00355309
5.25000E+06 0.00346367
5.31250E+06 0.00337753
5.37500E+06 0.00329450
5.43750E+06 0.00321443
5.50000E+06 0.00313719
5.56250E+06 0.00306265
5.62500E+06 0.00299068
5.68750E+06 0.00292118
5.75000E+06 0.00285402
5.81250E+06 0.00278910
5.87500E+06 0.00272634
5.93750E+06 0.00266563
6.00000E+06 0.00260688
6.10936E+06 0.00247706
6.32445E+06 0.00224614
6.53954E+06 0.00204343
6.76585E+06 0.00185598
